Term ID	Term Name	Functional group	class_name	FDR	Fold Enrichment	Overlap Count
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	Sensory system	LINE	6.91e-10	2.97	59.0
GO:0004984	olfactory receptor activity	Sensory system	LINE	6.91e-10	2.98	59.0
GO:0007608	sensory perception of smell	Sensory system	LINE	3.06e-09	2.81	60.0
GO:0045922	negative regulation of fatty acid metabolic process	Lipids metabolism	LINE	0.00099	12.74	7.0
GO:0004930	G protein-coupled receptor activity	Signaling pathways	LINE	0.00145	1.85	74.0
GO:0007186	G protein-coupled receptor signaling pathway	Signaling pathways	LINE	0.00392	1.68	85.0
GO:0051552	flavone metabolic process	Carbohydrates metabolism	LINE	0.00516	36.17	3.0
GO:0005515	protein binding	Too general	SINE	6.44e-12	1.24	548.0
GO:0005737	cytoplasm	Too general	SINE	5.30e-11	1.21	586.0
GO:0005654	nucleoplasm	Too general	SINE	2.91e-08	1.26	461.0
GO:0016020	membrane	Too general	SINE	2.91e-08	1.17	589.0
GO:0000785	chromatin	Chromatin structure	SINE	4.22e-07	1.37	274.0
GO:0005886	plasma membrane	Too general	SINE	4.22e-07	1.19	497.0
GO:0045944	positive regulation of transcription by RNA polymerase II	Transcription and its regulation	SINE	1.12e-06	1.33	297.0
GO:0005829	cytosol	Too general	SINE	1.12e-06	1.27	386.0
GO:0007165	signal transduction	Signaling pathways	SINE	1.26e-06	1.21	478.0
GO:0030154	cell differentiation	Embryogenesis	SINE	1.26e-06	1.21	462.0
GO:0003723	RNA binding	Transcription and its regulation	SINE	1.77e-06	1.26	394.0
GO:0045893	positive regulation of DNA-templated transcription	Transcription and its regulation	SINE	1.77e-06	1.31	306.0
GO:0042802	identical protein binding	Too general	SINE	3.44e-06	1.35	250.0
GO:0045202	synapse	Nervous system	SINE	3.44e-06	1.26	377.0
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	Transcription and its regulation	SINE	3.63e-06	1.44	201.0
GO:0005634	nucleus	Too general	SINE	6.11e-06	1.13	642.0
GO:0005794	Golgi apparatus	Potential new group	SINE	6.11e-06	1.24	383.0
GO:0006811	monoatomic ion transport	Potential new group	SINE	7.55e-06	1.32	276.0
GO:0034220	monoatomic ion transmembrane transport	Potential new group	SINE	7.55e-06	1.33	274.0
GO:0032991	protein-containing complex	Too general	SINE	1.17e-05	1.15	569.0
GO:0070062	extracellular exosome	Too general	SINE	1.17e-05	1.18	471.0
GO:1990837	sequence-specific double-stranded DNA binding	Transcription and its regulation	SINE	1.17e-05	1.42	193.0
GO:0000166	nucleotide binding	Too general	SINE	2.18e-05	1.24	353.0
GO:0031666	positive regulation of lipopolysaccharide-mediated signaling pathway	Other immune processes	SINE	2.18e-05	2.41	55.0
GO:0098978	glutamatergic synapse	Nervous system	SINE	2.40e-05	1.48	158.0
GO:0005515	protein binding	Too general	LTR	4.47e-13	1.28	434.0
GO:0005737	cytoplasm	Too general	LTR	1.68e-11	1.23	459.0
GO:0016020	membrane	Too general	LTR	4.54e-11	1.22	475.0
GO:0005739	mitochondrion	Potential new group	LTR	1.97e-08	1.39	245.0
GO:0005654	nucleoplasm	Too general	LTR	3.06e-08	1.29	365.0
GO:0005743	mitochondrial inner membrane	Potential new group	LTR	3.29e-08	1.66	144.0
GO:0005886	plasma membrane	Too general	LTR	3.29e-08	1.21	391.0
GO:0005819	spindle	Cell cycle/cell division	LTR	4.60e-08	1.77	123.0
GO:0005634	nucleus	Too general	LTR	8.90e-08	1.15	503.0
GO:1990904	ribonucleoprotein complex	Too general	LTR	1.01e-07	1.40	218.0
GO:0005829	cytosol	Too general	LTR	1.77e-07	1.31	307.0
GO:0005794	Golgi apparatus	Potential new group	LTR	3.42e-07	1.30	311.0
GO:0000387	spliceosomal snRNP assembly	RNA splicing and processing	LTR	4.22e-07	2.84	49.0
GO:0003723	RNA binding	Transcription and its regulation	LTR	4.69e-07	1.31	314.0
GO:0000398	mRNA splicing, via spliceosome	RNA splicing and processing	LTR	4.95e-07	1.81	103.0
GO:0006412	translation	Ribosome biogenesis and translation itself	LTR	4.95e-07	1.60	138.0
GO:0015031	protein transport	Too general	LTR	4.95e-07	1.42	194.0
GO:0003677	DNA binding	Transcription and its regulation	LTR	5.85e-07	1.26	357.0
GO:0032991	protein-containing complex	Too general	LTR	1.19e-06	1.16	440.0
GO:0006298	mismatch repair	DNA repair	LTR	1.45e-06	4.15	29.0
GO:0005874	microtubule	Cytoskeleton	LTR	1.51e-06	1.58	133.0
GO:0016887	ATP hydrolysis activity	Potential new group	LTR	1.51e-06	1.85	89.0
GO:0005524	ATP binding	Too general	LTR	2.16e-06	1.30	284.0
GO:0071016	U12-type precatalytic spliceosome	RNA splicing and processing	LTR	2.16e-06	5.43	20.0
GO:0005813	centrosome	Cell cycle/cell division	LTR	2.65e-06	1.54	143.0
GO:0007144	female meiosis I	Cell cycle/cell division	LTR	3.29e-06	4.37	25.0
GO:0000388	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	RNA splicing and processing	LTR	4.21e-06	5.16	20.0
GO:0005759	mitochondrial matrix	Too general	LTR	4.21e-06	1.54	139.0
GO:0006352	DNA-templated transcription initiation	Transcription and its regulation	LTR	4.21e-06	1.86	82.0
GO:0080025	phosphatidylinositol-3,5-bisphosphate binding	Signaling pathways	LTR	4.21e-06	10.60	9.0
GO:0034719	SMN-Sm protein complex	RNA splicing and processing	LTR	4.88e-06	5.69	18.0
GO:0016021	integral component of membrane	Too general	LTR	4.92e-06	1.14	483.0
