,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
7,GO:0042612,MHC class I protein complex,CC,6.157148535240404e-08,0.0011542190644161661,95.00165289256199,4,10,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['B2M', 'HFE', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'MR1']",Charlie9,DNA
10,GO:0030881,beta-2-microglobulin binding,MF,1.4418945554926064e-07,0.00135148776686322,79.168044077135,4,12,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['CD1D', 'FCGRT', 'HFE', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'MICA', 'MR1']",Charlie9,DNA
1,GO:0002476,antigen processing and presentation of endogenous peptide antigen via MHC class Ib,BP,2.896883036989324e-07,0.0013576242352850466,67.85832349468713,4,14,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['AZGP1', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'RAET1E', 'RAET1G', 'RAET1L', 'ULBP1', 'ULBP2', 'ULBP3']",Charlie9,DNA
0,GO:0002486,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",BP,2.896883036989324e-07,0.0013576242352850466,67.85832349468713,4,14,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['AZGP1', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'RAET1E', 'RAET1G', 'RAET1L', 'ULBP1', 'ULBP2', 'ULBP3']",Charlie9,DNA
2,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,BP,6.820682958914465e-07,0.002557210454956211,55.883325230918814,4,17,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['ABCB9', 'ACE', 'B2M', 'ERAP1', 'ERAP2', 'HFE', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'LNPEP', 'MR1', 'SAR1B', 'TAPBP']",Charlie9,DNA
3,GO:0002477,antigen processing and presentation of exogenous peptide antigen via MHC class Ib,BP,2.5170986654383524e-06,0.005898191447788419,101.7874852420307,3,7,"['HLA-A', 'HLA-F', 'HLA-G']","['B2M', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G']",Charlie9,DNA
8,GO:0032398,MHC class Ib protein complex,CC,2.5170986654383524e-06,0.005898191447788419,101.7874852420307,3,7,"['HLA-A', 'HLA-F', 'HLA-G']","['B2M', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G']",Charlie9,DNA
4,GO:0002715,regulation of natural killer cell mediated immunity,BP,2.5170986654383524e-06,0.005898191447788419,101.7874852420307,3,7,"['HLA-A', 'HLA-F', 'HLA-G']","['B2M', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G']",Charlie9,DNA
5,GO:0030261,chromosome condensation,BP,7.528311120444154e-06,0.015680635584871788,31.667217630853994,4,30,"['CBX5', 'H1-6', 'HMGA2', 'NCAPH2']","['CBX5', 'CDK1', 'EHMT2', 'FBXO30', 'H1-0', 'H1-1', 'H1-10', 'H1-2', 'H1-3', 'H1-4', 'H1-5', 'H1-6', 'H1-7', 'H1-8', 'H1-9P', 'HMGA2', 'NCAPD2', 'NCAPD3', 'NCAPG', 'NCAPG2', 'NCAPH', 'NCAPH2', 'PHF13', 'PRM1', 'PRM2', 'PRM3', 'SMC2', 'SMC4', 'SMC5', 'TOP2A']",Charlie9,DNA
6,GO:0001916,positive regulation of T cell mediated cytotoxicity,BP,1.2575057488248061e-05,0.01964433563955818,27.941662615459407,4,34,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['AZGP1', 'B2M', 'CD1A', 'CD1B', 'CD1C', 'CD1D', 'CD1E', 'CYRIB', 'FADD', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-DRA', 'HLA-DRB1', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'IL12A', 'IL12B', 'IL12RB1', 'IL23A', 'IL23R', 'P2RX7', 'PTPRC', 'RAET1E', 'RAET1G', 'RAET1L', 'STX7', 'TAP2', 'ULBP1', 'ULBP2', 'ULBP3', 'XCL1']",Charlie9,DNA
9,GO:0098553,lumenal side of endoplasmic reticulum membrane,CC,1.2575057488248061e-05,0.01964433563955818,27.941662615459407,4,34,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['ALG10B', 'ALG12', 'ALG3', 'ALG6', 'ALG8', 'ALG9', 'BCAP31', 'CALR', 'CANX', 'CD74', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DQA1', 'HLA-DQA2', 'HLA-DQB1', 'HLA-DQB2', 'HLA-DRA', 'HLA-DRB1', 'HLA-DRB3', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'HM13', 'PKD2', 'SPPL2A', 'SPPL2B', 'SPPL2C', 'SPPL3', 'TAPBP', 'UGT8']",Charlie9,DNA
11,GO:0042605,peptide antigen binding,MF,1.1131785956978479e-05,0.01964433563955818,28.788379664412723,4,33,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['B2M', 'CD209', 'CLEC4M', 'DHCR24', 'FCGRT', 'HFE', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-DMA', 'HLA-DMB', 'HLA-DOA', 'HLA-DOB', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DQA1', 'HLA-DQA2', 'HLA-DQB1', 'HLA-DQB2', 'HLA-DRA', 'HLA-DRB1', 'HLA-DRB3', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'MAML1', 'SLC7A5', 'SLC7A8', 'SLC7A9', 'TAP1', 'TAP2', 'TAPBP']",Charlie9,DNA
