,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
0,GO:0002312,B cell activation involved in immune response,BP,3.022594327675844e-07,0.0022652791278384,220.49616368286442,3,17,"['IFNA1', 'IFNA14', 'IFNA5']","['GPR183', 'IFNA1', 'IFNA10', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA2', 'IFNA21', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNB1', 'IFNE', 'IFNK', 'IFNW1']",L1M2c,LINE
1,GO:0002323,natural killer cell activation involved in immune response,BP,3.6252199848048647e-07,0.0022652791278384,208.2463768115942,3,18,"['IFNA1', 'IFNA14', 'IFNA5']","['CD244', 'IFNA1', 'IFNA10', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA2', 'IFNA21', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNB1', 'IFNE', 'IFNK', 'IFNW1', 'IL12B']",L1M2c,LINE
10,GO:0005132,type I interferon receptor binding,MF,2.4904952770667477e-07,0.0022652791278384,234.27717391304347,3,16,"['IFNA1', 'IFNA14', 'IFNA5']","['IFNA1', 'IFNA10', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA2', 'IFNA21', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNB1', 'IFNE', 'IFNK', 'IFNW1']",L1M2c,LINE
2,GO:0050817,coagulation,BP,6.127065857406714e-07,0.0028714494140736563,1249.4782608695652,2,2,"['SEMG1', 'SEMG2']","['SEMG1', 'SEMG2']",L1M2c,LINE
3,GO:0002286,T cell activation involved in immune response,BP,7.847459339770318e-07,0.0029421694556666877,162.97542533081284,3,23,"['IFNA1', 'IFNA14', 'IFNA5']","['CD1C', 'CD74', 'EIF2AK4', 'F2RL1', 'IFNA1', 'IFNA10', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA2', 'IFNA21', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNB1', 'IFNE', 'IFNK', 'IFNW1', 'LCP1', 'MDK', 'PSEN1']",L1M2c,LINE
4,GO:1901318,negative regulation of flagellated sperm motility,BP,1.8372242367389573e-06,0.0049200865059869274,832.9855072463768,2,3,"['SEMG1', 'SEMG2']","['EPPIN', 'SEMG1', 'SEMG2']",L1M2c,LINE
5,GO:1900005,positive regulation of serine-type endopeptidase activity,BP,1.8372242367389573e-06,0.0049200865059869274,832.9855072463768,2,3,"['SEMG1', 'SEMG2']","['CR1', 'SEMG1', 'SEMG2']",L1M2c,LINE
11,GO:0005126,cytokine receptor binding,MF,2.187518036779254e-06,0.005125901639682987,117.13858695652173,3,32,"['IFNA1', 'IFNA14', 'IFNA5']","['CISH', 'DDT', 'IFNA1', 'IFNA10', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA2', 'IFNA21', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNB1', 'IFNE', 'IFNK', 'IFNW1', 'IL12B', 'IL13', 'IL15', 'IL17F', 'IL21', 'IL31', 'IL4', 'IL7', 'IL9', 'MIF', 'MYD88', 'SOCS1', 'SOCS2', 'SOCS3']",L1M2c,LINE
6,GO:0043330,response to exogenous dsRNA,BP,2.6363806413448198e-06,0.005491287944738888,110.24808184143221,3,34,"['IFNA1', 'IFNA14', 'IFNA5']","['CARD9', 'DDX1', 'DDX21', 'DHX36', 'IFNA1', 'IFNA10', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA2', 'IFNA21', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNB1', 'IFNE', 'IFNK', 'IFNW1', 'IRAK3', 'IRF3', 'KCNJ8', 'MAPK1', 'MAPK3', 'NFKBIA', 'RFTN1', 'RFTN2', 'RIGI', 'RIPK2', 'SLC22A4', 'SLC3A2', 'TICAM1', 'TLR3']",L1M2c,LINE
7,GO:0060337,type I interferon-mediated signaling pathway,BP,8.053782298229406e-06,0.015097620296260843,76.49866903283052,3,49,"['IFNA1', 'IFNA14', 'IFNA5']","['AZI2', 'CR2', 'GPR108', 'HDAC4', 'IFI27', 'IFIH1', 'IFITM1', 'IFITM2', 'IFITM3', 'IFNA1', 'IFNA10', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA2', 'IFNA21', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNAR1', 'IFNAR2', 'IFNB1', 'IFNE', 'IFNK', 'IFNW1', 'IKBKE', 'IRAK1', 'IRF3', 'IRF7', 'JAK1', 'MAVS', 'MYD88', 'OAS1', 'OAS2', 'OAS3', 'OASL', 'SIN3A', 'SP100', 'STAT1', 'STAT2', 'TANK', 'TBK1', 'TBKBP1', 'TRAF3', 'TREX1', 'TRIM65', 'TYK2']",L1M2c,LINE
