,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
7,GO:0042612,MHC class I protein complex,CC,4.181110839647409e-07,0.007837910380003033,58.94974358974359,4,10,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['B2M', 'HFE', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'MR1']",MLT1F1,LTR
10,GO:0030881,beta-2-microglobulin binding,MF,9.75106836459263e-07,0.009139676378132672,49.12478632478633,4,12,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['CD1D', 'FCGRT', 'HFE', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'MICA', 'MR1']",MLT1F1,LTR
1,GO:0002476,antigen processing and presentation of endogenous peptide antigen via MHC class Ib,BP,1.9510011018888947e-06,0.009143366664002305,42.10695970695971,4,14,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['AZGP1', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'RAET1E', 'RAET1G', 'RAET1L', 'ULBP1', 'ULBP2', 'ULBP3']",MLT1F1,LTR
0,GO:0002486,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",BP,1.9510011018888947e-06,0.009143366664002305,42.10695970695971,4,14,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['AZGP1', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'RAET1E', 'RAET1G', 'RAET1L', 'ULBP1', 'ULBP2', 'ULBP3']",MLT1F1,LTR
8,GO:0012507,ER to Golgi transport vesicle membrane,CC,2.7274831866018965e-06,0.01022587996320783,15.245623342175067,6,58,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H', 'SEC31A', 'TMED2']","['AREG', 'B2M', 'CD59', 'CD74', 'CNIH1', 'CNIH2', 'CNIH3', 'FOLR1', 'GOSR2', 'GRIA1', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DQA1', 'HLA-DQA2', 'HLA-DQB1', 'HLA-DQB2', 'HLA-DRA', 'HLA-DRB1', 'HLA-DRB3', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'LMAN1', 'MCFD2', 'PDCD6', 'PEF1', 'SAR1B', 'SCAP', 'SEC13', 'SEC16A', 'SEC16B', 'SEC22B', 'SEC23A', 'SEC23B', 'SEC23IP', 'SEC24A', 'SEC24B', 'SEC24C', 'SEC24D', 'SEC31A', 'SEC31B', 'SLC30A5', 'SREBF1', 'SREBF2', 'STX17', 'STX5', 'TGFA', 'TMED10', 'TMED2', 'TMED7', 'USO1', 'VMA21', 'VTI1A', 'VTI1B']",MLT1F1,LTR
2,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,BP,4.5652910246725516e-06,0.014263490924751942,34.6763197586727,4,17,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['ABCB9', 'ACE', 'B2M', 'ERAP1', 'ERAP2', 'HFE', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'LNPEP', 'MR1', 'SAR1B', 'TAPBP']",MLT1F1,LTR
3,GO:0002477,antigen processing and presentation of exogenous peptide antigen via MHC class Ib,BP,1.0553925714957194e-05,0.021982654605843064,63.16043956043956,3,7,"['HLA-A', 'HLA-F', 'HLA-G']","['B2M', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G']",MLT1F1,LTR
4,GO:0002715,regulation of natural killer cell mediated immunity,BP,1.0553925714957194e-05,0.021982654605843064,63.16043956043956,3,7,"['HLA-A', 'HLA-F', 'HLA-G']","['B2M', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G']",MLT1F1,LTR
9,GO:0032398,MHC class Ib protein complex,CC,1.0553925714957194e-05,0.021982654605843064,63.16043956043956,3,7,"['HLA-A', 'HLA-F', 'HLA-G']","['B2M', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G']",MLT1F1,LTR
5,GO:0045796,negative regulation of intestinal cholesterol absorption,BP,4.580768802088852e-05,0.0780646290581433,147.37435897435898,2,2,"['ABCG5', 'ABCG8']","['ABCG5', 'ABCG8']",MLT1F1,LTR
6,GO:0010949,negative regulation of intestinal phytosterol absorption,BP,4.580768802088852e-05,0.0780646290581433,147.37435897435898,2,2,"['ABCG5', 'ABCG8']","['ABCG5', 'ABCG8']",MLT1F1,LTR
