,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
0,GO:0071395,cellular response to jasmonic acid stimulus,BP,6.312598076377771e-06,0.029583990884944424,478.9666666666667,2,4,"['AKR1C1', 'AKR1C2']","['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']",MST-int,LTR
6,GO:0140169,3-alpha-hydroxysteroid 3-dehydrogenase [NAD(P)+] activity,MF,6.312598076377771e-06,0.029583990884944424,478.9666666666667,2,4,"['AKR1C1', 'AKR1C2']","['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']",MST-int,LTR
5,GO:0047115,"trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity",MF,3.15835056328618e-06,0.029583990884944424,638.6222222222223,2,3,"['AKR1C1', 'AKR1C2']","['AKR1C1', 'AKR1C2', 'DHDH']",MST-int,LTR
4,GO:0047718,indanol dehydrogenase activity,MF,3.15835056328618e-06,0.029583990884944424,638.6222222222223,2,3,"['AKR1C1', 'AKR1C2']","['AKR1B10', 'AKR1C1', 'AKR1C2']",MST-int,LTR
7,GO:0047086,ketosteroid monooxygenase activity,MF,1.0514163196018026e-05,0.03941970065451078,383.17333333333335,2,5,"['AKR1C1', 'AKR1C2']","['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'AKR1D1']",MST-int,LTR
10,GO:0032052,bile acid binding,MF,2.938233558844655e-05,0.06885015786762737,239.48333333333335,2,8,"['AKR1C1', 'AKR1C2']","['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'NAPEPLD', 'NR1H4', 'PLA2G1B', 'PYGL']",MST-int,LTR
9,GO:0047023,androsterone dehydrogenase [NAD(P)+] activity,MF,2.938233558844655e-05,0.06885015786762737,239.48333333333335,2,8,"['AKR1C1', 'AKR1C2']","['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'DHRS9', 'HSD17B6', 'RDH16', 'RDH5']",MST-int,LTR
8,GO:0031406,carboxylic acid binding,MF,2.938233558844655e-05,0.06885015786762737,239.48333333333335,2,8,"['AKR1C1', 'AKR1C2']","['AKR1C1', 'AKR1C2', 'GOT1', 'GRHPR', 'HIF1AN', 'PCK1', 'PGD', 'PHYH']",MST-int,LTR
1,GO:0044597,daunorubicin metabolic process,BP,3.7752756929886514e-05,0.07077131814076526,212.8740740740741,2,9,"['AKR1C1', 'AKR1C2']","['AKR1A1', 'AKR1B1', 'AKR1B10', 'AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'AKR7A2', 'CBR4']",MST-int,LTR
11,GO:0047044,"androstan-3-alpha,17-beta-diol dehydrogenase (NAD+) activity",MF,3.7752756929886514e-05,0.07077131814076526,212.8740740740741,2,9,"['AKR1C1', 'AKR1C2']","['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'DHRS9', 'HSD17B10', 'HSD17B6', 'RDH16', 'RDH5']",MST-int,LTR
2,GO:0044598,doxorubicin metabolic process,BP,4.716030316490173e-05,0.07367225359410398,191.58666666666667,2,10,"['AKR1C1', 'AKR1C2']","['AKR1A1', 'AKR1B1', 'AKR1B10', 'AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'AKR7A2', 'CBR4', 'SULT1C4']",MST-int,LTR
3,GO:0042448,progesterone metabolic process,BP,4.716030316490173e-05,0.07367225359410398,191.58666666666667,2,10,"['AKR1C1', 'AKR1C2']","['AFP', 'AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'CYP17A1', 'CYP46A1', 'DHRS9', 'SRD5A1', 'STAT5B']",MST-int,LTR
12,GO:0016655,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",MF,5.7602944372277286e-05,0.08306344578482384,174.16969696969696,2,11,"['AKR1C1', 'AKR1C2']","['AIFM2', 'AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'ALDH7A1', 'CBR1', 'CBR3', 'DCXR', 'DHRS4', 'NDUFS7']",MST-int,LTR
13,GO:0004032,aldose reductase (NADPH) activity,MF,6.907865349649908e-05,0.09249631703181226,159.65555555555557,2,12,"['AKR1C1', 'AKR1C2']","['ADH4', 'AKR1A1', 'AKR1B1', 'AKR1B10', 'AKR1B15', 'AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'AKR1D1', 'AKR1E2', 'AKR7A2']",MST-int,LTR
