,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
0,GO:0051552,flavone metabolic process,BP,4.225768197580839e-08,0.0007921625063185042,102.17955555555557,4,9,"['UGT1A3', 'UGT1A4', 'UGT1A7', 'UGT1A9']","['UGT1A1', 'UGT1A10', 'UGT1A3', 'UGT1A4', 'UGT1A5', 'UGT1A6', 'UGT1A7', 'UGT1A8', 'UGT1A9']",Tigger2,DNA
1,GO:0045922,negative regulation of fatty acid metabolic process,BP,1.0993090576741139e-07,0.0008141515803302412,83.60145454545454,4,11,"['UGT1A3', 'UGT1A4', 'UGT1A7', 'UGT1A9']","['INS', 'NCOR1', 'SLC22A13', 'UGT1A1', 'UGT1A10', 'UGT1A3', 'UGT1A4', 'UGT1A6', 'UGT1A7', 'UGT1A8', 'UGT1A9']",Tigger2,DNA
9,GO:0015020,glucuronosyltransferase activity,MF,1.3029204848984974e-07,0.0008141515803302412,41.05428571428572,5,28,"['EXT2', 'UGT1A3', 'UGT1A4', 'UGT1A7', 'UGT1A9']","['B3GAT3', 'B4GAT1', 'CSGALNACT1', 'EXT1', 'EXT2', 'EXTL1', 'LARGE1', 'LARGE2', 'UGT1A1', 'UGT1A10', 'UGT1A3', 'UGT1A4', 'UGT1A5', 'UGT1A6', 'UGT1A7', 'UGT1A8', 'UGT1A9', 'UGT2A1', 'UGT2A2', 'UGT2A3', 'UGT2B10', 'UGT2B11', 'UGT2B15', 'UGT2B17', 'UGT2B4', 'UGT2B7', 'UGT3A1', 'UGT3A2']",Tigger2,DNA
10,GO:0001972,retinoic acid binding,MF,5.539528975286189e-06,0.025961002542678725,34.05985185185185,4,27,"['UGT1A3', 'UGT1A4', 'UGT1A7', 'UGT1A9']","['CRABP1', 'CRABP2', 'CYP26A1', 'CYP26B1', 'CYP26C1', 'CYP27C1', 'CYP2W1', 'FABP5', 'IGF2R', 'LCN12', 'LRAT', 'NR2F2', 'RARA', 'RXRA', 'SERPINA5', 'UGT1A1', 'UGT1A10', 'UGT1A3', 'UGT1A4', 'UGT1A6', 'UGT1A7', 'UGT1A8', 'UGT1A9', 'UGT2B15', 'UGT2B17', 'UGT2B4', 'UGT2B7']",Tigger2,DNA
4,GO:0071385,cellular response to glucocorticoid stimulus,BP,1.265795640283095e-05,0.02978013493322283,27.867151515151516,4,33,"['UGT1A3', 'UGT1A4', 'UGT1A7', 'UGT1A9']","['ANXA1', 'BCL2L11', 'EDN1', 'ETNPPL', 'FAM107A', 'FLT3', 'GSK3A', 'GSTP1', 'HMGCS2', 'HNRNPU', 'ISL1', 'MYOD1', 'NEUROD1', 'NR3C1', 'REST', 'SSTR2', 'SSTR4', 'SSTR5', 'STC1', 'UBE2L3', 'UGT1A1', 'UGT1A10', 'UGT1A3', 'UGT1A4', 'UGT1A5', 'UGT1A6', 'UGT1A7', 'UGT1A8', 'UGT1A9', 'ZFP36', 'ZFP36L1', 'ZFP36L2', 'ZNF764']",Tigger2,DNA
5,GO:0008210,estrogen metabolic process,BP,1.4297514904459909e-05,0.02978013493322283,27.047529411764703,4,34,"['UGT1A3', 'UGT1A4', 'UGT1A7', 'UGT1A9']","['CHST10', 'CYP1A1', 'CYP1A2', 'CYP1B1', 'CYP2C8', 'CYP2C9', 'CYP2D6', 'CYP3A4', 'CYP3A5', 'CYP3A7', 'HSD17B10', 'HSD17B4', 'HSD17B8', 'PDGFRA', 'PLEKHA1', 'SGPL1', 'SULT1A1', 'SULT1E1', 'TIPARP', 'UGT1A1', 'UGT1A10', 'UGT1A3', 'UGT1A4', 'UGT1A5', 'UGT1A6', 'UGT1A7', 'UGT1A8', 'UGT1A9', 'UGT2B10', 'UGT2B11', 'UGT2B15', 'UGT2B17', 'UGT2B4', 'UGT2B7']",Tigger2,DNA
2,GO:0009812,flavonoid metabolic process,BP,9.427647881403059e-06,0.02978013493322283,68.9712,3,10,"['UGT1A3', 'UGT1A7', 'UGT1A9']","['CYP1A1', 'SULT1A1', 'SULT1A3', 'SULT1B1', 'SULT1C4', 'UGT1A1', 'UGT1A3', 'UGT1A7', 'UGT1A8', 'UGT1A9']",Tigger2,DNA
3,GO:0016125,sterol metabolic process,BP,9.79890650430607e-06,0.02978013493322283,29.665032258064517,4,31,"['UGT1A3', 'UGT1A4', 'UGT1A7', 'UGT1A9']","['ARV1', 'CYP11A1', 'CYP11B1', 'CYP11B2', 'CYP19A1', 'CYP1B1', 'CYP21A2', 'CYP27A1', 'CYP39A1', 'CYP46A1', 'CYP4V2', 'CYP51A1', 'CYP7A1', 'CYP7B1', 'CYP8B1', 'DHCR24', 'EBP', 'EBPL', 'LIPA', 'NPC1', 'NPC2', 'SQLE', 'UGT1A1', 'UGT1A10', 'UGT1A3', 'UGT1A4', 'UGT1A5', 'UGT1A6', 'UGT1A7', 'UGT1A8', 'UGT1A9']",Tigger2,DNA
11,GO:0004857,enzyme inhibitor activity,MF,1.3866043266343257e-05,0.02978013493322283,16.421714285714287,5,70,"['ECSIT', 'UGT1A3', 'UGT1A4', 'UGT1A7', 'UGT1A9']","['ANGPTL3', 'ANGPTL4', 'APBA3', 'ARRB1', 'ATP5IF1', 'BSN', 'C1QBP', 'CABP1', 'CCAR2', 'CLSTN3', 'CRIM1', 'CSN2', 'DTX3L', 'DYNLL1', 'ECSIT', 'EGLN1', 'ETFRF1', 'FETUB', 'FLCN', 'FRY', 'GCHFR', 'GMPPA', 'HSPBP1', 'IFIT1', 'KDM5A', 'LXN', 'MAPK7', 'MAPT', 'MRLN', 'NDUFA4L2', 'NGF', 'NOTCH1', 'PARP9', 'PDE6G', 'PDE6H', 'PHPT1', 'PLN', 'PPIF', 'PPP1R12A', 'PPP1R12B', 'PPP1R12C', 'PPP1R16A', 'PPP1R16B', 'PRPSAP1', 'PRPSAP2', 'PTP4A2', 'SCG5', 'SIRT1', 'SLN', 'SNCA', 'SPOCK3', 'SPRY2', 'TIMP1', 'TIMP2', 'TIMP3', 'TIMP4', 'TMX1', 'TXNIP', 'UGT1A1', 'UGT1A10', 'UGT1A3', 'UGT1A4', 'UGT1A5', 'UGT1A6', 'UGT1A7', 'UGT1A8', 'UGT1A9', 'WDTC1', 'WFIKKN1', 'WFIKKN2']",Tigger2,DNA
12,GO:0008194,UDP-glycosyltransferase activity,MF,1.6088160045712634e-05,0.0301588648216929,26.274742857142858,4,35,"['UGT1A3', 'UGT1A4', 'UGT1A7', 'UGT1A9']","['B3GALNT2', 'B3GNT6', 'B3GNT7', 'B3GNT9', 'GCNT1', 'GCNT2', 'GCNT3', 'GCNT4', 'GCNT7', 'GLT8D1', 'GLT8D2', 'PIGA', 'UGT1A1', 'UGT1A10', 'UGT1A3', 'UGT1A4', 'UGT1A5', 'UGT1A6', 'UGT1A7', 'UGT1A8', 'UGT1A9', 'UGT2A1', 'UGT2A2', 'UGT2A3', 'UGT2B10', 'UGT2B11', 'UGT2B15', 'UGT2B17', 'UGT2B4', 'UGT2B7', 'UGT3A1', 'UGT3A2', 'UGT8', 'XYLT1', 'XYLT2']",Tigger2,DNA
13,GO:0000340,RNA 7-methylguanosine cap binding,MF,2.22555829408191e-05,0.03792755980078135,53.05476923076923,3,13,"['CYFIP1', 'CYFIP2', 'EIF4E']","['AGO2', 'CYFIP1', 'CYFIP2', 'DCPS', 'EIF4E', 'EIF4E1B', 'EIF4E2', 'EIF4E3', 'GEMIN5', 'LARP1', 'NCBP1', 'NCBP2', 'NCBP3']",Tigger2,DNA
6,GO:0070640,vitamin D3 metabolic process,BP,5.614536713484082e-05,0.07517864659355185,153.26933333333335,2,3,"['UGT1A3', 'UGT1A4']","['FGFR1', 'UGT1A3', 'UGT1A4']",Tigger2,DNA
7,GO:0099578,"regulation of translation at postsynapse, modulating synaptic transmission",BP,5.614536713484082e-05,0.07517864659355185,153.26933333333335,2,3,"['CYFIP1', 'EIF4E']","['CYFIP1', 'EIF4A3', 'EIF4E']",Tigger2,DNA
8,GO:1903502,translation repressor complex,CC,5.614536713484082e-05,0.07517864659355185,153.26933333333335,2,3,"['CYFIP1', 'EIF4E']","['CYFIP1', 'EIF4E', 'FMR1']",Tigger2,DNA
