GO Term Name,Functional Group
protein binding,Too general
detection of chemical stimulus involved in sensory perception of smell,Sensory system
olfactory receptor activity,Sensory system
sensory perception of smell,Sensory system
cytoplasm,Too general
G protein-coupled receptor activity,Signaling pathways
cytosol,Too general
G protein-coupled receptor signaling pathway,Signaling pathways
type I interferon receptor binding,Other immune processes
B cell activation involved in immune response,Other immune processes
natural killer cell activation involved in immune response,Other immune processes
nucleoplasm,Too general
terpenoid metabolic process,Lipids metabolism
T cell activation involved in immune response,Other immune processes
extracellular exosome,Exosomes and vesicles
protein transport,Exosomes and vesicles
DNA damage response,DNA repair
potassium ion transport,Nervous system
voltage-gated potassium channel complex,Nervous system
protein kinase binding,Signaling pathways
potassium ion transmembrane transport,Nervous system
ventricular cardiac muscle cell differentiation,Embryogenesis
monoatomic ion channel complex,Signaling pathways
inward rectifier potassium channel activity,Nervous system
extracellular matrix structural constituent conferring tensile strength,Extracellular matrix
cell population proliferation,Cell cycle/cell division
very-low-density lipoprotein particle,Lipids metabolism
outflow tract septum morphogenesis,Embryogenesis
cell-cell adhesion,Cell adhesion
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Other
mitochondrion,Mitochondrion
signal transduction,Signaling pathways
nucleus,Too general
plasma membrane,Too general
calcium-dependent cell-cell adhesion,Cell adhesion
cell adhesion,Cell adhesion
nervous system development,Nervous system
postsynaptic membrane,Nervous system
chemical synaptic transmission,Nervous system
neuronal cell body,Nervous system
RNA binding,Too general
extracellular region,Extracellular matrix
glutamatergic synapse,Nervous system
nucleolus,Ribosome biogenesis and translation itself
inhibitory synapse assembly,Nervous system
extracellular space,Extracellular matrix
axon guidance,Nervous system
telencephalon development,Nervous system
positive regulation of MAPK cascade,Signaling pathways
growth factor activity,Signaling pathways
cell differentiation,Embryogenesis
dendrite,Nervous system
axon,Nervous system
synapse,Nervous system
monoatomic ion transport,Signaling pathways
voltage-gated potassium channel activity,Nervous system
monoatomic ion channel activity,Signaling pathways
presynaptic membrane,Nervous system
dendritic spine,Nervous system
GABA-gated chloride ion channel activity,Nervous system
axonogenesis,Nervous system
