GO Term Name,Functional Group
protein binding,Too general
nucleoplasm,Too general
cytoplasm,Too general
positive regulation of transcription by RNA polymerase II,Transcription and its regulation
cytosol,Too general
chromatin,Chromatin structure
cell differentiation,Embryogenesis
"DNA-binding transcription activator activity, RNA polymerase II-specific",Transcription and its regulation
nucleus,Too general
hair cycle,Other
bitter taste receptor activity,Sensory system
detection of chemical stimulus involved in sensory perception of bitter taste,Sensory system
intermediate filament,Cytoskeleton
keratin filament,Cytoskeleton
transcription regulator complex,Transcription and its regulation
RNA binding,Too general
cysteine-type endopeptidase inhibitor activity,Protein ubiquitination and degradation
lipid metabolic process,Lipids metabolism
fatty acid metabolic process,Lipids metabolism
membrane,Too general
plasma membrane,Too general
extracellular exosome,Exosomes and vesicles
positive regulation of cell population proliferation,Cell cycle/cell division
translation,Ribosome biogenesis and translation itself
"DNA-binding transcription factor activity, RNA polymerase II-specific",Transcription and its regulation
regulation of transcription by RNA polymerase II,Transcription and its regulation
translation activator activity,Ribosome biogenesis and translation itself
synapse,Nervous system
G protein-coupled receptor signaling pathway,Signaling pathways
response to cocaine,Nervous system
signal transduction,Signaling pathways
regulation of postsynaptic neurotransmitter receptor internalization,Nervous system
ventricular septum development,Embryogenesis
serine-type endopeptidase inhibitor activity,Protein ubiquitination and degradation
mitochondrion,Mitochondrion
"mRNA splicing, via spliceosome",RNA splicing and processing
ribonucleoprotein complex,RNA splicing and processing
mRNA processing,RNA splicing and processing
mitochondrial inner membrane,Mitochondrion
mismatch repair,DNA repair
spliceosomal complex,RNA splicing and processing
RNA splicing,RNA splicing and processing
ATP-dependent DNA damage sensor activity,DNA repair
DNA damage response,DNA repair
spliceosomal snRNP assembly,RNA splicing and processing
positive regulation of transcription elongation by RNA polymerase II,Transcription and its regulation
spindle,Cell cycle/cell division
mismatch repair complex,DNA repair
precatalytic spliceosome,RNA splicing and processing
protein localization to mitochondrion,Mitochondrion
female meiosis I,Cell cycle/cell division
protein transport,Exosomes and vesicles
regulation of cell cycle,Cell cycle/cell division
DNA-templated transcription initiation,Transcription and its regulation
extracellular region,Too general
nucleotide binding,Too general
male meiosis I,Cell cycle/cell division
DNA repair,DNA repair
mitotic recombination,DNA repair
protein kinase binding,Signaling pathways
DNA binding,Too general
U1 snRNP binding,RNA splicing and processing
oxidative phosphorylation,Mitochondrion
oogenesis,Cell cycle/cell division
in utero embryonic development,Embryogenesis
vitamin K metabolic process,Lipids metabolism
U1 snRNP,RNA splicing and processing
lipase inhibitor activity,Lipids metabolism
RNA polymerase I general transcription initiation factor activity,Transcription and its regulation
subcortical maternal complex,Embryogenesis
"chromosome, telomeric region",Cell cycle/cell division
G protein-coupled receptor activity,Signaling pathways
U12-type precatalytic spliceosome,RNA splicing and processing
spliceosome conformational change to release U4 (or U4atac) and U1 (or U11),RNA splicing and processing
endosome membrane,Exosomes and vesicles
protein branched polyubiquitination,Protein ubiquitination and degradation
ATP hydrolysis activity,Too general
mitochondrial matrix,Mitochondrion
olfactory receptor activity,Sensory system
MHC class I protein complex,Other immune processes
beta-2-microglobulin binding,Other immune processes
spliceosome conformational change to release U4 (or U4atac) and U1 (or U11),Other immune processes
detection of chemical stimulus involved in sensory perception of smell,Sensory system
sensory perception of smell,Sensory system
extracellular space,Too general
lipid binding,Lipids metabolism
cytoskeleton,Cytoskeleton
cellular response to zinc ion,Metals metabolism
potassium ion transmembrane transport,Nervous system
voltage-gated potassium channel complex,Nervous system
positive regulation of inflammatory response,Other immune processes
extracellular matrix,Other
basolateral plasma membrane,Other
intracellular zinc ion homeostasis,Metals metabolism
voltage-gated potassium channel activity,Nervous system
potassium ion transport,Nervous system
protein-arginine deiminase activity,Other metabolism
transmembrane transport,Signaling pathways
sensory perception of sound,Sensory system
transmembrane transporter binding,Other
macrophage activation,Other immune processes
actin binding,Cytoskeleton
"phosphatidylinositol-4,5-bisphosphate binding",Lipids metabolism
negative regulation of response to cytokine stimulus,Other immune processes
cellular response to cadmium ion,Metals metabolism
detoxification of copper ion,Metals metabolism
complement component C1q complex,Other immune processes
neuromuscular junction,Nervous system
cell junction,Cell adhesion
actin filament binding,Cytoskeleton
odorant binding,Sensory system
negative regulation of fatty acid metabolic process,Lipids metabolism
sensory perception of chemical stimulus,Sensory system
nervous system development,Nervous system
cell migration,Cell migration
DNA-binding transcription factor activity,Transcription and its regulation
adaptive immune response,Other immune processes
flavone metabolic process,Other metabolism
calcium ion binding,Metals metabolism
sequence-specific double-stranded DNA binding,Transcription and its regulation
zinc ion binding,Metals metabolism
regulation of DNA-templated transcription,Transcription and its regulation
metal ion binding,Metals metabolism
RNA polymerase II cis-regulatory region sequence-specific DNA binding,Transcription and its regulation
xenobiotic metabolic process,Other metabolism
Cul2-RING ubiquitin ligase complex,Protein ubiquitination and degradation
Wnt signaling pathway,Signaling pathways
alcohol metabolic process,Other metabolism
arylsulfatase activity,Other metabolism
N-acylphosphatidylethanolamine metabolic process,Lipids metabolism
chromatin binding,Chromatin structure
succinyl-CoA catabolic process,
lysosome,Exosomes and vesicles
host-mediated suppression of symbiont invasion,Other immune processes
medium-chain fatty aldehyde dehydrogenase (NAD+) activity,Lipids metabolism
long-chain fatty aldehyde dehydrogenase (NAD+) activity,Lipids metabolism
glutamatergic synapse,Nervous system
termination of RNA polymerase II transcription,Transcription and its regulation
enzyme binding,Too general
axonal transport of mitochondrion,Nervous system
