,Term Name,Term ID,class_name,divergence_group
0,protein binding,GO:0005515,LINE,lowest
1,detection of chemical stimulus involved in sensory perception of smell,GO:0050911,LINE,lowest
2,olfactory receptor activity,GO:0004984,LINE,lowest
3,sensory perception of smell,GO:0007608,LINE,lowest
4,cytoplasm,GO:0005737,LINE,lowest
5,G protein-coupled receptor activity,GO:0004930,LINE,lowest
6,cytosol,GO:0005829,LINE,lowest
7,G protein-coupled receptor signaling pathway,GO:0007186,LINE,lowest
8,type I interferon receptor binding,GO:0005132,LINE,lowest
9,B cell activation involved in immune response,GO:0002312,LINE,lowest
10,natural killer cell activation involved in immune response,GO:0002323,LINE,lowest
11,nucleoplasm,GO:0005654,LINE,lowest
12,terpenoid metabolic process,GO:0006721,LINE,lowest
13,T cell activation involved in immune response,GO:0002286,LINE,lowest
14,extracellular exosome,GO:0070062,LINE,lowest
15,protein transport,GO:0015031,LINE,lowest
16,DNA damage response,GO:0006974,LINE,lowest
17,potassium ion transport,GO:0006813,LINE,highest
18,voltage-gated potassium channel complex,GO:0008076,LINE,highest
19,protein kinase binding,GO:0019901,LINE,highest
20,potassium ion transmembrane transport,GO:0071805,LINE,highest
21,ventricular cardiac muscle cell differentiation,GO:0055012,LINE,highest
22,protein binding,GO:0005515,LINE,highest
23,monoatomic ion channel complex,GO:0034702,LINE,highest
24,inward rectifier potassium channel activity,GO:0005242,LINE,highest
25,extracellular matrix structural constituent conferring tensile strength,GO:0030020,LINE,highest
26,cell population proliferation,GO:0008283,LINE,highest
27,very-low-density lipoprotein particle,GO:0034361,LINE,highest
28,outflow tract septum morphogenesis,GO:0003148,LINE,highest
29,cell-cell adhesion,GO:0098609,LINE,highest
30,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",GO:0016712,LTR,lowest
31,mitochondrion,GO:0005739,LTR,lowest
32,signal transduction,GO:0007165,LTR,highest
33,G protein-coupled receptor signaling pathway,GO:0007186,LTR,highest
34,G protein-coupled receptor activity,GO:0004930,LTR,highest
35,detection of chemical stimulus involved in sensory perception of smell,GO:0050911,LTR,highest
36,olfactory receptor activity,GO:0004984,LTR,highest
37,sensory perception of smell,GO:0007608,LTR,highest
38,nucleus,GO:0005634,LTR,highest
39,plasma membrane,GO:0005886,LTR,highest
40,calcium-dependent cell-cell adhesion,GO:0016339,LTR,highest
41,cell adhesion,GO:0007155,LTR,highest
42,extracellular exosome,GO:0070062,SINE,lowest
43,protein binding,GO:0005515,SINE,lowest
44,cytoplasm,GO:0005737,SINE,lowest
45,plasma membrane,GO:0005886,SINE,highest
46,nervous system development,GO:0007399,SINE,highest
47,G protein-coupled receptor activity,GO:0004930,SINE,highest
48,postsynaptic membrane,GO:0045211,SINE,highest
49,G protein-coupled receptor signaling pathway,GO:0007186,SINE,highest
50,signal transduction,GO:0007165,SINE,highest
51,olfactory receptor activity,GO:0004984,SINE,highest
52,detection of chemical stimulus involved in sensory perception of smell,GO:0050911,SINE,highest
53,sensory perception of smell,GO:0007608,SINE,highest
54,chemical synaptic transmission,GO:0007268,SINE,highest
55,neuronal cell body,GO:0043025,SINE,highest
56,RNA binding,GO:0003723,SINE,highest
57,extracellular region,GO:0005576,SINE,highest
58,mitochondrion,GO:0005739,SINE,highest
59,glutamatergic synapse,GO:0098978,SINE,highest
60,cytosol,GO:0005829,SINE,highest
61,nucleolus,GO:0005730,SINE,highest
62,nucleus,GO:0005634,SINE,highest
63,inhibitory synapse assembly,GO:1904862,SINE,highest
64,outflow tract septum morphogenesis,GO:0003148,SINE,highest
65,extracellular space,GO:0005615,SINE,highest
66,axon guidance,GO:0007411,SINE,highest
67,telencephalon development,GO:0021537,SINE,highest
68,positive regulation of MAPK cascade,GO:0043410,SINE,highest
69,growth factor activity,GO:0008083,SINE,highest
70,cell differentiation,GO:0030154,SINE,highest
71,dendrite,GO:0030425,SINE,highest
72,potassium ion transmembrane transport,GO:0071805,SINE,highest
73,axon,GO:0030424,SINE,highest
74,synapse,GO:0045202,SINE,highest
75,monoatomic ion transport,GO:0006811,SINE,highest
76,voltage-gated potassium channel activity,GO:0005249,SINE,highest
77,monoatomic ion channel activity,GO:0005216,SINE,highest
78,presynaptic membrane,GO:0042734,SINE,highest
79,cell adhesion,GO:0007155,SINE,highest
80,voltage-gated potassium channel complex,GO:0008076,SINE,highest
81,dendritic spine,GO:0043197,SINE,highest
82,GABA-gated chloride ion channel activity,GO:0022851,SINE,highest
83,axonogenesis,GO:0007409,SINE,highest
84,gamma-aminobutyric acid signaling pathway,GO:0007214,SINE,highest
85,GABA-A receptor activity,GO:0004890,SINE,highest
86,GABA-A receptor complex,GO:1902711,SINE,highest
87,chloride transport,GO:0006821,SINE,highest
88,positive regulation of neuron differentiation,GO:0045666,SINE,highest
89,negative chemotaxis,GO:0050919,SINE,highest
90,regulation of postsynapse organization,GO:0099175,SINE,highest
91,transferase activity,GO:0016740,SINE,highest
92,potassium ion transport,GO:0006813,SINE,highest
93,embryonic hindlimb morphogenesis,GO:0035116,SINE,highest
94,postsynaptic density membrane,GO:0098839,SINE,highest
95,positive regulation of cell differentiation,GO:0045597,SINE,highest
96,adrenergic receptor signaling pathway,GO:0071875,SINE,highest
97,presynaptic active zone membrane,GO:0048787,SINE,highest
98,neuron migration,GO:0001764,SINE,highest
99,Schaffer collateral - CA1 synapse,GO:0098685,SINE,highest
100,DNA damage response,GO:0006974,SINE,highest
101,GABA-ergic synapse,GO:0098982,SINE,highest
102,extracellular matrix,GO:0031012,SINE,highest
103,aortic valve morphogenesis,GO:0003180,SINE,highest
104,nucleoplasm,GO:0005654,SINE,highest
105,positive regulation of cartilage development,GO:0061036,SINE,highest
106,intercalated disc,GO:0014704,SINE,highest
107,chloride transmembrane transport,GO:1902476,SINE,highest
108,cell-cell signaling,GO:0007267,SINE,highest
109,monoatomic ion transmembrane transport,GO:0034220,SINE,highest
110,positive regulation of cell population proliferation,GO:0008284,SINE,highest
111,positive regulation of cell-substrate adhesion,GO:0010811,SINE,highest
112,dendritic spine morphogenesis,GO:0060997,SINE,highest
113,action potential,GO:0001508,SINE,highest
114,pulmonary valve morphogenesis,GO:0003184,SINE,highest
115,neuron projection,GO:0043005,SINE,highest
116,dendrite membrane,GO:0032590,SINE,highest
117,epithelial to mesenchymal transition involved in endocardial cushion formation,GO:0003198,SINE,highest
118,positive regulation of synapse assembly,GO:0051965,SINE,highest
119,regulation of postsynaptic membrane potential,GO:0060078,SINE,highest
120,heparin binding,GO:0008201,SINE,highest
121,cytoplasm,GO:0005737,SINE,highest
122,positive regulation of bone mineralization,GO:0030501,SINE,highest
123,adrenergic receptor activity,GO:0004935,SINE,highest
124,regulation of heart rate by cardiac conduction,GO:0086091,SINE,highest
125,neurogenesis,GO:0022008,SINE,highest
126,chondrocyte differentiation,GO:0002062,SINE,highest
127,cell surface,GO:0009986,SINE,highest
128,cytokine activity,GO:0005125,SINE,highest
129,membrane,GO:0016020,SINE,highest
130,nucleotide binding,GO:0000166,SINE,highest
131,hippocampus development,GO:0021766,SINE,highest
132,synapse organization,GO:0050808,SINE,highest
133,lung development,GO:0030324,SINE,highest
134,sequence-specific DNA binding,GO:0043565,SINE,highest
135,peptidase inhibitor activity,GO:0030414,SINE,highest
136,chloride channel complex,GO:0034707,SINE,highest
137,transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential,GO:1904315,SINE,highest
138,ATP binding,GO:0005524,SINE,highest
139,modulation of chemical synaptic transmission,GO:0050804,SINE,highest
140,neurotransmitter secretion,GO:0007269,SINE,highest
141,cardiac muscle cell differentiation,GO:0055007,SINE,highest
142,"regulation of synaptic transmission, GABAergic",GO:0032228,SINE,highest
143,"synaptic transmission, GABAergic",GO:0051932,SINE,highest
144,translation,GO:0006412,SINE,highest
145,regulation of vasoconstriction,GO:0019229,SINE,highest
146,neurotransmitter transport,GO:0006836,SINE,highest
147,transmembrane signaling receptor activity,GO:0004888,SINE,highest
148,potassium channel activity,GO:0005267,SINE,highest
