GO Term Name,Functional Group,,,
protein binding,Too general,,protein binding,Match
nucleus,Too general,,nucleus,Match
nucleoplasm,Too general,,nucleoplasm,Match
cytosol,Too general,,cytosol,Match
RNA binding,Too general,,RNA binding,Match
protein transport,Other,,protein transport,Match
cytoplasm,Too general,,cytoplasm,Match
DNA damage response,DNA repair,,DNA damage response,Match
plasma membrane,Too general,,plasma membrane,Match
DNA repair,DNA repair,,DNA repair,Match
protein kinase binding,Signaling pathways,,protein kinase binding,Match
G protein-coupled receptor signaling pathway,Signaling pathways,,G protein-coupled receptor signaling pathway,Match
G protein-coupled receptor activity,Signaling pathways,,G protein-coupled receptor activity,Match
mitochondrion,Mitochondrion,,mitochondrion,Match
GBAF complex,Chromatin structure,,GBAF complex,Match
coenzyme A biosynthetic process,Central metabolism,,coenzyme A biosynthetic process,Match
glutathione catabolic process,Sulfur metabolism,,glutathione catabolic process,Match
sensory perception of smell,Sensory system,,sensory perception of smell,Match
cholesterol binding,Lipids metabolism,,cholesterol binding,Match
detection of chemical stimulus involved in sensory perception of smell,Sensory system,,detection of chemical stimulus involved in sensory perception of smell,Match
olfactory receptor activity,Sensory system,,olfactory receptor activity,Match
glutathione hydrolase activity,Sulfur metabolism,,glutathione hydrolase activity,Match
late endosome,Exosomes and vesicles,,late endosome,Match
precatalytic spliceosome,RNA splicing and processing,,precatalytic spliceosome,Match
U2-type prespliceosome,RNA splicing and processing,,U2-type prespliceosome,Match
extracellular exosome,Exosomes and vesicles,,extracellular exosome,Match
DNA metabolic process,Too general,,DNA metabolic process,Match
mRNA binding,Too general,,mRNA binding,Match
nucleotide binding,Too general,,nucleotide binding,Match
intracellularly calcium-gated chloride channel activity,Signaling pathways,,intracellularly calcium-gated chloride channel activity,Match
cell division,Cell cycle/cell division,,cell division,Match
nucleolus,Ribosome biogenesis and translation itself,,nucleolus,Match
ATP binding,Too general,,ATP binding,Match
kinetochore,Cell cycle/cell division,,kinetochore,Match
mitochondrial matrix,Mitochondrion,,mitochondrial matrix,Match
DNA-directed RNA polymerase activity,Transcription and its regulation,,DNA-directed RNA polymerase activity,Match
spindle,Cell cycle/cell division,,spindle,Match
DNA damage checkpoint signaling,DNA repair,,DNA damage checkpoint signaling,Match
Sin3-type complex,Chromatin structure,,Sin3-type complex,Match
DNA-directed RNA polymerase complex,Transcription and its regulation,,DNA-directed RNA polymerase complex,Match
histone binding,Chromatin structure,,histone binding,Match
chromosome,Cell cycle/cell division,,chromosome,Match
positive regulation of double-strand break repair,DNA repair,,positive regulation of double-strand break repair,Match
mitotic sister chromatid cohesion,Cell cycle/cell division,,mitotic sister chromatid cohesion,Match
metal ion binding,Metals metabolism,,metal ion binding,Match
zinc ion binding,Metals metabolism,,zinc ion binding,Match
mitotic spindle,Cell cycle/cell division,,mitotic spindle,Match
regulation of DNA-templated transcription,Transcription and its regulation,,regulation of DNA-templated transcription,Match
DNA binding,Too general,,DNA binding,Match
peptidyl-prolyl cis-trans isomerase activity,Aminoacids metabolism,,peptidyl-prolyl cis-trans isomerase activity,Match
cyclosporin A binding,Other immune processes,,cyclosporin A binding,Match
fibrillar center,Ribosome biogenesis and translation itself,,fibrillar center,Match
"mRNA splicing, via spliceosome",RNA splicing and processing,,"mRNA splicing, via spliceosome",Match
cell cortex,Cytoskeleton,,cell cortex,Match
transcription factor TFIID complex,Transcription and its regulation,,transcription factor TFIID complex,Match
autosome genomic imprinting,Transcription and its regulation,,autosome genomic imprinting,Match
regulation of DNA replication,DNA replication,,regulation of DNA replication,Match
transferase activity,Too general,,transferase activity,Match
Ino80 complex,Chromatin structure,,Ino80 complex,Match
regulation of embryonic development,Embryogenesis,,regulation of embryonic development,Match
Hsp70 protein binding,Protein folding,,Hsp70 protein binding,Match
regulation of chromosome organization,Cell cycle/cell division,,regulation of chromosome organization,Match
regulation of cellular response to heat,Protein folding,,regulation of cellular response to heat,Match
positive regulation of telomere maintenance in response to DNA damage,DNA repair,,positive regulation of telomere maintenance in response to DNA damage,Match
meiosis I,Cell cycle/cell division,,meiosis I,Match
regulation of DNA strand elongation,DNA replication,,regulation of DNA strand elongation,Match
Cul2-RING ubiquitin ligase complex,Protein ubiquitination and degradation,,Cul2-RING ubiquitin ligase complex,Match
RNA splicing,RNA splicing and processing,,RNA splicing,Match
mitochondrial inner membrane,Mitochondrion,,mitochondrial inner membrane,Match
regulation of signal transduction by p53 class mediator,Signaling pathways,,regulation of signal transduction by p53 class mediator,Match
negative regulation of cell differentiation,Embryogenesis,,negative regulation of cell differentiation,Match
proteasome-mediated ubiquitin-dependent protein catabolic process,Protein ubiquitination and degradation,,proteasome-mediated ubiquitin-dependent protein catabolic process,Match
extracellular region,Too general,,extracellular region,Match
subcortical maternal complex,Embryogenesis,,subcortical maternal complex,Match
mRNA processing,RNA splicing and processing,,mRNA processing,Match
negative regulation of transcription by RNA polymerase II,Transcription and its regulation,,negative regulation of transcription by RNA polymerase II,Match
melanosome,Other,,melanosome,Match
negative regulation of RIG-I signaling pathway,Other immune processes,,negative regulation of RIG-I signaling pathway,Match
signal transduction,Signaling pathways,,signal transduction,Match
nuclear envelope,Too general,,nuclear envelope,Match
nucleic acid binding,Too general,,nucleic acid binding,Match
unfolded protein binding,Protein folding,,unfolded protein binding,Match
translation,Ribosome biogenesis and translation itself,,translation,Match
ribonucleoprotein complex,Too general,,ribonucleoprotein complex,Match
protein folding,Protein folding,,protein folding,Match
spliceosomal complex,RNA splicing and processing,,spliceosomal complex,Match
chromatin remodeling,Chromatin structure,,chromatin remodeling,Match
autophagy,Protein ubiquitination and degradation,,autophagy,Match
mitotic spindle assembly,Cell cycle/cell division,,mitotic spindle assembly,Match
establishment of spindle localization,Cell cycle/cell division,,establishment of spindle localization,Match
ATP hydrolysis activity,Too general,,ATP hydrolysis activity,Match
ubiquitin-like ligase-substrate adaptor activity,Protein ubiquitination and degradation,,ubiquitin-like ligase-substrate adaptor activity,Match
ribosome-associated ubiquitin-dependent protein catabolic process,Protein ubiquitination and degradation,,ribosome-associated ubiquitin-dependent protein catabolic process,Match
negative regulation of DNA-templated transcription,Transcription and its regulation,,negative regulation of DNA-templated transcription,Match
negative regulation of double-strand break repair via homologous recombination,DNA repair,,negative regulation of double-strand break repair via homologous recombination,Match
phosphatidylethanolamine catabolic process,Lipids metabolism,,phosphatidylethanolamine catabolic process,Match
protein serine/threonine/tyrosine kinase activity,Signaling pathways,,protein serine/threonine/tyrosine kinase activity,Match
ATP-dependent DNA damage sensor activity,DNA repair,,ATP-dependent DNA damage sensor activity,Match
somatic recombination of immunoglobulin gene segments,Other immune processes,,somatic recombination of immunoglobulin gene segments,Match
ADP binding,Too general,,ADP binding,Match
neutral amino acid transport,Aminoacids metabolism,,neutral amino acid transport,Match
kinase activity,Signaling pathways,,kinase activity,Match
isomerase activity,Too general,,isomerase activity,Match
renal filtration,Other,,renal filtration,Match
protein ubiquitination,Protein ubiquitination and degradation,,protein ubiquitination,Match
catalytic activity,Too general,,catalytic activity,Match
