,family_name,class_name,Observed_TEs_number,Total_TEs_number,Observed_Odds_Ratio,Enrichment_p_value,Enrichment_p_value_adjusted,Average_divergence_genes,Average_divergence_all,Observed_TEs_number_log,Total_TEs_number_log,Random_Odds_Ratio_Mean,Random_Odds_Ratio_SD,Random_Odds_Ratio_Quantile_Of_Observed,p_raw_empirical,p_raw_empirical_clamped,p_adjusted_empirical_bh,family_label,neg_log10_adj_p,OR_Observed_to_Random
0,PIF-Harbinger,DNA,16,402,0.433191739,0.000272604,0.00046133,264.1875,266.9029851,1.204119983,2.604226053,1.656315298,0.344478267,1,0,0.003992016,0.0088,PIF-Harbinger (DNA),3.33598826,0.261539418
1,Merlin,DNA,10,232,0.470754552,0.014089258,0.022140262,197.7,222.5603448,1,2.365487985,1.566048261,0.446552366,0.998,0.004,0.004,0.0088,Merlin (DNA),1.654817243,0.300600284
2,hAT-hAT19,DNA,1,18,0.614750087,1,1,314,226.2222222,0,1.255272505,1.707785807,2.337326615,0.574,0.852,0.852,0.871813953,hAT-hAT19 (DNA),0,0.359969081
3,hAT-Tip100?,DNA,4,67,0.663539773,0.662150109,0.856900141,251,266.2835821,0.602059991,1.826074803,1.79860071,0.941392844,0.892,0.216,0.216,0.288,hAT-Tip100? (DNA),0.067069786,0.368919999
4,TcMar,DNA,16,223,0.807787544,0.476984676,0.655853929,273.9375,265.3946188,1.204119983,2.348304863,1.565922674,0.445092851,0.968,0.064,0.064,0.104296296,TcMar (DNA),0.183192875,0.515854044
5,Crypton-A,DNA,12,150,0.908760996,0.885015683,0.975017177,245.25,269.4266667,1.079181246,2.176091259,1.571204086,0.566022897,0.874,0.252,0.252,0.326117647,Crypton-A (DNA),0.010987733,0.578385076
6,TcMar-Pogo,DNA,3,37,0.922125131,1,1,213.6666667,250.9189189,0.477121255,1.568201724,1.638302321,1.272176714,0.6,0.8,0.8,0.858536585,TcMar-Pogo (DNA),0,0.562854071
7,Kolobok,DNA,33,404,0.929581661,0.791243328,0.967075179,258.8181818,252.529703,1.51851394,2.606381365,1.565891975,0.332222865,0.98,0.04,0.04,0.076521739,Kolobok (DNA),0.014539763,0.593643544
8,Crypton,DNA,25,305,0.933102806,0.839188923,0.975017177,257.6,258.0754098,1.397940009,2.484299839,1.520063994,0.360801682,0.948,0.104,0.104,0.163428571,Crypton (DNA),0.010987733,0.613857581
9,ERVL-MaLR,LTR,21431,259882,0.939265993,8.01E-19,1.96E-18,208.4044142,206.4698825,4.331042436,5.4147762,1.599066765,0.013065425,1,0,0.003992016,0.0088,ERVL-MaLR (LTR),17.7079971,0.58738385
10,ERVL,LTR,9949,116199,0.978582997,0.039142557,0.059388707,229.988039,237.0922469,3.997779431,5.065202391,1.697779597,0.020755987,1,0,0.003992016,0.0088,ERVL (LTR),1.226296127,0.576389891
11,PiggyBac,DNA,185,2156,0.980917809,0.848714464,0.975017177,130.5513514,127.0584416,2.267171728,3.333648757,1.565221119,0.136641904,1,0,0.003992016,0.0088,PiggyBac (DNA),0.010987733,0.626695997
12,L1-Tx1,LINE,13,151,0.984491082,1,1,265.5384615,281.615894,1.113943352,2.178976947,1.746393818,0.589621438,0.916,0.168,0.168,0.2464,L1-Tx1 (LINE),0,0.563727993
13,MULE-MuDR,DNA,212,2459,0.986007696,0.886379252,0.975017177,192.3301887,185.6283042,2.326335861,3.390758529,1.853409714,0.150036393,1,0,0.003992016,0.0088,MULE-MuDR (DNA),0.010987733,0.531996616
14,Gypsy,LTR,1622,18413,1.009536054,0.714767528,0.898564892,273.6892725,280.0096671,3.21005085,4.265124553,1.706530524,0.052540959,1,0,0.003992016,0.0088,Gypsy (LTR),0.046450554,0.591572222
15,hAT?,DNA,3,34,1.011363048,1,1,225.6666667,226.4411765,0.477121255,1.531478917,1.993731296,1.705125242,0.652,0.696,0.696,0.785230769,hAT? (DNA),0,0.507271491
16,hAT,DNA,275,3038,1.04015808,0.520538679,0.694051572,254.2254545,261.0941409,2.439332694,3.48258777,1.546458624,0.120019646,1,0,0.003992016,0.0088,hAT (DNA),0.158608258,0.672606472
