subfamily_name,subfamily_name,class_name,Observed_TEs_number,Total_TEs_number,Observed_Odds_Ratio,Enrichment_p_value,Enrichment_p_value_adjusted,Average_divergence_genes,Average_divergence_all,Observed_TEs_number_log,Total_TEs_number_log,Random_Odds_Ratio_Mean,Random_Odds_Ratio_SD,Random_Odds_Ratio_Quantile_Of_Observed,p_raw_empirical,p_raw_empirical_clamped,p_adjusted_empirical_bh
L1MC3,L1MC3,LINE,1035,6404,2.0146300074569345,7.501252038949902e-81,1.1586393352053699e-79,185.88888888888889,192.77311055590255,3.0149403497929366,3.8064513232472623,3.033173497470073,0.14343417403886802,1.0,0.0,0.003992015968063872,0.010707259953161602
LTR60B,LTR60B,LTR,19,201,1.0910125252373377,0.7071403393042195,0.7756827330371621,197.1578947368421,188.01990049751242,1.2787536009528289,2.303196057420489,1.6612833172797663,0.519001207399127,0.87,0.26,0.26,0.36962686567164177
MER34C_v,MER34C_v,LTR,26,420,0.6896434701406069,0.06901651191494046,0.11173636419090219,162.80769230769232,166.08809523809524,1.414973347970818,2.6232492903979003,1.676311412203167,0.34461481037686326,1.0,0.0,0.003992015968063872,0.010707259953161602
MSTA1,MSTA1,LTR,20,502,0.4336410993331694,4.901459092719936e-05,0.00013338970816616398,169.15,171.51195219123505,1.3010299956639813,2.7007037171450192,1.5846878333913335,0.30688898587130536,1.0,0.0,0.003992015968063872,0.010707259953161602
MER4A1,MER4A1,LTR,202,1778,1.3395001264885675,0.00015298936923506957,0.00039832995224529504,103.75742574257426,106.41676040494939,2.305351369446624,3.249931756634195,1.7199911836134278,0.17578208608415222,0.988,0.02400000000000002,0.02400000000000002,0.052351145038167984
MLT1I,MLT1I,LTR,671,8729,0.8702471676860386,0.0004519960498111661,0.0011182499673899628,278.09985096870344,285.0704548058197,2.826722520168992,3.9409644934927996,1.579306063453758,0.07253300474878029,1.0,0.0,0.003992015968063872,0.010707259953161602
L1M5,L1M5,LINE,5750,32019,2.2875836732607517,0.0,0.0,246.74121739130436,251.2081264249352,3.7596678446896306,4.50540776414594,2.663780257221313,0.061218068912961755,1.0,0.0,0.003992015968063872,0.010707259953161602
MLT1H2,MLT1H2,LTR,310,3839,0.9180313501209665,0.1529286358372957,0.22267188632105603,247.1516129032258,253.34983068507424,2.4913616938342726,3.584218112117405,1.6049007407677505,0.1118259540591449,1.0,0.0,0.003992015968063872,0.010707259953161602
L1MA4,L1MA4,LINE,827,6651,1.4839938273960327,5.030848293507213e-24,3.9117412241351997e-23,151.6541717049577,154.96662156066756,2.9175055095525466,3.8228869478341507,2.685618735848506,0.13040040864357133,1.0,0.0,0.003992015968063872,0.010707259953161602
AluY,AluY,SINE,17358,111981,1.917183751602156,0.0,0.0,71.24951031224795,81.13510327644869,4.239499684031626,5.049144341463508,1.535472727420903,0.020137564684509647,0.0,0.0,0.003992015968063872,0.010707259953161602
