,class_name,individual_name
0,LINE,L1MC3
1,LTR,LTR60B
3,LTR,MER34C_v
4,LTR,MSTA1
5,LTR,MER4A1
6,LTR,MLT1I
7,LINE,L1M5
8,LTR,MLT1H2
9,LINE,L1MA4
10,SINE,AluY
11,LTR,MER4D1
12,LTR,MER4A
14,SINE,MIRb
15,LTR,MER31B
16,SINE,AluJb
17,SINE,AluSx3
18,SINE,AluSx
20,DNA,MER112
21,DNA,Ricksha_0
23,SINE,MIR3
25,DNA,MER46C
26,DNA,Charlie20a
28,SINE,AluSg
29,LINE,L1MD3
30,LINE,L1ME1
32,LINE,L1MD
34,SINE,AluYf1
35,LTR,MER39B
38,SINE,AluSq2
39,SINE,AluSx1
40,LTR,MLT1K
41,LTR,LTR9B
43,DNA,MER5A
45,LTR,MER4E1
46,SINE,AluSx4
47,LINE,L2c
48,LINE,L1ME4a
49,SINE,MIRc
50,LTR,MLT1E3
51,DNA,Charlie4z
52,LINE,L2a
53,SINE,FRAM
55,DNA,MER5B
58,LTR,LTR37B
59,SINE,AluSq
60,LTR,MLT1O
61,LTR,MSTA
62,SINE,Alu
65,DNA,MER103C
67,LTR,LTR39
68,SINE,AluSz6
69,LINE,L1PA4
71,LINE,L5
72,LINE,L2
74,LTR,LTR33
75,SINE,MIR
76,SINE,AluSc
77,LTR,MLT1H
79,LINE,L3
82,LTR,MamRep605
83,SINE,AluSz
88,DNA,Tigger5
91,LTR,MSTB1
92,LINE,L1MC5a
94,LINE,L1ME3B
95,LINE,L1M4
96,LINE,HAL1M8
97,LINE,L1MA2
98,LINE,L1PA6
100,LINE,L1PA5
101,LINE,L1P4
103,LINE,L1ME3D
105,LINE,L1PA8A
106,LINE,L1PA10
107,LINE,L1MA8
112,LINE,L1PA8
125,LTR,LTR22C2
131,LINE,L1PA15-16
144,LINE,L1PA11
153,LINE,L1MEd
155,LINE,L1M3
156,LINE,L1MA7
157,LTR,ERVL-E-int
159,LINE,L1PA7
169,LINE,L1M7
170,LINE,L1PA14
171,SINE,FLAM_C
172,LINE,L2b
174,LTR,MLT1H1
175,LTR,THE1B
177,LTR,LTR64
181,LTR,MLT1F2
184,LTR,LTR33B
185,LTR,MER65D
186,LINE,L1MA5
187,LTR,MLT1D
188,LTR,THE1D
189,SINE,AluYa5
193,SINE,AluYk2
194,LINE,L1M2c
202,SINE,AluJo
207,LINE,L1ME4c
209,DNA,MER1A
210,LTR,LTR41
212,Retroposon,SVA_E
216,DNA,MER8
239,LTR,MER21C
241,SINE,AluJr
242,LINE,L1MB8
250,SINE,AluSp
255,DNA,Tigger12
259,SINE,FLAM_A
262,SINE,AluSq10
263,LTR,LTR37A
266,LINE,L1ME4b
271,SINE,AluJr4
276,LTR,MER11C
285,DNA,Charlie29b
290,LTR,MSTD
296,SINE,AluSg7
315,LINE,L1MC4
327,DNA,MER3
328,DNA,MER5A1
329,LINE,L1MEg
330,DNA,MER33
331,LINE,L1ME3
332,LTR,LTR104_Mam
335,DNA,MER94
337,LTR,LTR7
339,LTR,MER67C
341,LTR,LTR67B
342,DNA,Tigger4b
344,DNA,Charlie1a
345,LTR,LTR79
346,DNA,Charlie1b
348,DNA,Tigger3a
357,DNA,MER113A
358,LINE,L1MB3
361,DNA,MER44B
365,LTR,MLT1C2
366,DNA,Chap1a_Mam
367,LINE,L1M8
368,DNA,MER58A
369,DNA,MER102c
371,DNA,Tigger7
372,LINE,L1MC
373,LTR,MER41D
374,LINE,HAL1
376,LTR,MLT1A1
377,LTR,LTR78
378,DNA,Tigger19b
385,LTR,LTR16C
387,Retroposon,SVA_D
389,LINE,L1M4b
390,LINE,L1MC1
394,LTR,MLT1B
395,DNA,Charlie5
399,LINE,L1PA3
402,DNA,Charlie19a
405,LTR,LTR2C
415,LINE,L1MB4
420,LTR,LOR1-int
421,LTR,LTR57-int
423,LTR,HERVK9-int
428,LTR,LTR49-int
429,LTR,MER65-int
430,LTR,LTR41B
441,DNA,MER102a
442,LINE,L1MB5
444,LTR,MER67A
446,LTR,HERV16-int
449,LTR,MLT1A
450,DNA,MER2B
452,SINE,AluYk3
457,LINE,L2d
458,LINE,L1MEc
472,DNA,MER63B
475,DNA,MER53
478,SINE,AluYg6
504,SINE,AluYe5
506,SINE,MIR1_Amn
509,LTR,MLT1G3
533,LTR,LTR12C
547,LTR,LTR13A
553,LINE,L1MA10
557,LINE,L1MEf
570,LINE,L1ME2
584,LINE,L1PB1
586,LTR,MER49
588,LTR,MER50
597,LTR,MamRep1151
608,LTR,MER41B
609,DNA,MER30
615,DNA,Arthur1B
626,LTR,LTR46
632,LINE,L1MB7
642,LTR,MER9a1
671,LTR,LTR13
675,LTR,LTR13_v
681,LTR,MER54A
688,LINE,L3b
689,LTR,MER68
699,LTR,MER4B
731,SINE,AluSc8
732,SINE,AluSg4
743,SINE,AluYh3
751,DNA,MER20
753,DNA,hAT-1_Mam
755,DNA,MER63D
760,LTR,MER66-int
766,LTR,MER66C
769,LTR,MER66B
774,Retroposon,SVA_A
779,SINE,AluYi6_4d
791,SINE,AluYh9
816,LTR,MER74B
817,LTR,LTR5_Hs
820,LTR,LTR2B
823,LTR,LTR75
836,LTR,HERVIP10B3-int
840,LTR,HERVIP10F-int
847,LTR,LTR10A
853,DNA,MER131
880,LINE,L1MC4a
885,LTR,LTR7B
888,LTR,LTR7C
891,SINE,AluSc5
923,LTR,HERVIP10FH-int
962,DNA,Charlie22a
973,SINE,AluYa8
1011,DNA,MER47C
1036,LTR,MER65A
1039,LTR,MER52A
1053,LTR,MER52C
1069,LTR,MER83
1073,LTR,MER21B
1084,DNA,MER113
1095,LTR,THE1C
1096,LTR,LTR26C
1097,LTR,LTR42
1101,LTR,MER4D
1113,LINE,L1M4a2
1114,LINE,L1M4c
1122,SINE,AluYb9
1135,DNA,Tigger1a_Art
1146,LTR,MER65B
1154,SINE,AluYc3
1164,LINE,L1MC5
1182,DNA,MER47A
1205,DNA,ORSL-2b
1224,SINE,AluYm1
1226,DNA,Tigger1
1233,SINE,AluYi6
1322,DNA,Tigger16a
1326,DNA,Arthur1A
1337,LINE,L1ME3G
1347,LINE,L1MEb
1364,DNA,Tigger15a
1396,DNA,X26_DNA
1420,DNA,Charlie15a
1429,SINE,AluYb8
1436,DNA,Tigger2
1452,LINE,L1PA16
1462,DNA,MER119
1471,LINE,X7B_LINE
1487,LINE,L2d2
1499,DNA,MER1B
1511,DNA,Charlie1
1560,LTR,ERV3-16A3_I
1561,LINE,L1MB2
1566,LTR,LTR16E1
1567,LTR,MLT2D
1574,DNA,Charlie2a
1584,DNA,MER81
1602,LINE,L1MEi
1610,DNA,MER91B
1624,LTR,MER31A
1625,LTR,MLT1A0
1627,LTR,MSTB
1628,LTR,ERVL-int
1641,LTR,LTR18B
1669,LTR,MLT1C
1672,DNA,Charlie8
1688,LTR,ERV3-16A3_LTR
1720,LTR,LTR81B
1722,LTR,LTR81
1724,LTR,LTR40b
1755,DNA,MER58B
1757,LTR,MER74A
1765,DNA,MER63A
1787,LTR,LTR52
1803,SINE,AluYk4
1804,LTR,MLT-int
1808,DNA,Charlie16
1816,LTR,MLT2B3
1828,DNA,Tigger3c
1834,DNA,MER91A
1840,LTR,MLT2B1
1843,SINE,AluYc
1845,LINE,L1M2
1858,DNA,MER47B
1876,SINE,AmnSINE2
1931,LINE,MamRTE1
1950,LTR,THE1A
1958,DNA,MER45B
1977,LTR,LTR81C
1978,LTR,MLT1J
1986,DNA,Tigger2a
2010,LTR,LTR41C
2019,DNA,OldhAT1
2024,DNA,MER58C
2040,DNA,Charlie15b
2050,LTR,LTR26
2116,LINE,L1ME3A
2128,LTR,LTR40c
2130,LTR,MER34
2131,LTR,LTR19A
2140,LTR,MER89
2148,LINE,L1MCc
2151,SINE,AmnSINE1
2165,LTR,HERVL-int
