family_name,p_adj_bh,stars
Alu,0.0,***
L1,5.1438529592454256e-179,***
MIR,0.0,***
L2,0.0,***
ERVL-MaLR,1.00998742360757e-06,***
hAT-Charlie,2.2525275025007396e-69,***
ERV1,1.1725622495617926e-45,***
ERVL,6.375926705486954e-31,***
TcMar-Tigger,0.46510529357970587,ns
hAT-Tip100,2.298495967051089e-31,***
CR1,1.051030273131739e-31,***
Gypsy,5.929721415935674e-07,***
hAT-Blackjack,7.882707602209755e-13,***
TcMar-Mariner,0.7010079515555119,ns
RTE-X,9.218825712333593e-15,***
ERVK,9.644404883531019e-13,***
TcMar-Tc2,0.0020945304387435227,**
SVA,4.1087268493115615e-07,***
RTE-BovB,3.741908935656334e-05,***
tRNA-RTE,0.10579285955643689,ns
hAT-Ac,0.021372362663846938,*
hAT,0.084831192122557,ns
MULE-MuDR,0.5121608026382262,ns
PiggyBac,0.8536869930531614,ns
5S-Deu-L2,5.839583119799183e-05,***
Helitron,0.09666885034413926,ns
hAT-Tag1,0.5140853635433621,ns
tRNA,7.208773019356084e-08,***
Penelope,0.9033106927598618,ns
TcMar-Tc1,0.00030712725404736125,***
Dong-R4,0.4860781377057945,ns
tRNA-Deu,0.7010079515555119,ns
Kolobok,0.5233914342129555,ns
PIF-Harbinger,0.8536869930531614,ns
Crypton,0.8536869930531614,ns
Merlin,0.6778277403543971,ns
TcMar,0.4815543551529844,ns
L1-Tx1,0.2968024574153557,ns
Crypton-A,0.18405718787355893,ns
I-Jockey,0.935463319190817,ns
hAT-Tip100?,0.46510529357970587,ns
TcMar-Pogo,0.3943378621088907,ns
hAT?,0.8536869930531614,ns
hAT-hAT19,1.0,ns
