family_name,n_total,n_newly_resolved,fraction_newly_resolved
SVA,6274,161,0.025661459993624482
Alu,1164096,9922,0.00852335202594975
Crypton-A,150,1,0.006666666666666667
L1,565459,2971,0.005254138673184086
ERVK,7870,36,0.00457433290978399
ERVL,116199,325,0.002796925963218272
RTE-X,10790,23,0.0021316033364226134
CR1,49193,103,0.0020937938324558374
ERV1,116610,243,0.0020838693079495755
RTE-BovB,5031,10,0.0019876764062810573
hAT-Ac,3692,7,0.001895991332611051
L2,373176,627,0.0016801723583510194
TcMar-Tigger,106067,168,0.0015839045131850623
TcMar-Tc1,701,1,0.0014265335235378032
tRNA,1612,2,0.0012406947890818859
MULE-MuDR,2459,3,0.0012200081333875558
hAT-Tip100,57232,48,0.0008386916410399776
ERVL-MaLR,259882,212,0.0008157548425824027
Gypsy,18413,14,0.0007603323738662901
tRNA-RTE,4154,3,0.0007221954742416948
hAT-Charlie,232104,151,0.0006505704339434047
TcMar-Mariner,15617,10,0.0006403278478581034
MIR,534149,315,0.0005897230922457966
,20741,12,0.000578564196518972
hAT-Tag1,1849,1,0.0005408328826392645
Helitron,1869,1,0.0005350454788657035
5S-Deu-L2,2019,1,0.0004952947003467063
TcMar-Tc2,6918,3,0.0004336513443191674
hAT-Blackjack,16167,7,0.0004329807632832313
Dong-R4,503,0,0.0
Crypton,305,0,0.0
Penelope,779,0,0.0
PiggyBac,2156,0,0.0
L1-Tx1,151,0,0.0
Kolobok,404,0,0.0
I-Jockey,132,0,0.0
Merlin,232,0,0.0
TcMar,223,0,0.0
PIF-Harbinger,402,0,0.0
hAT,3038,0,0.0
TcMar-Pogo,37,0,0.0
hAT-hAT19,18,0,0.0
hAT-Tip100?,67,0,0.0
hAT?,34,0,0.0
tRNA-Deu,455,0,0.0
