seed,class_name,n,mean_divergence,sd_divergence
1,DNA,117743,228.24472792437766,62.6315579578116
1,LINE,313609,232.27922986904076,85.0561394403624
1,LTR,139199,205.460470261999,71.81163524476453
1,RC,448,271.75669642857144,42.82555144938076
1,Retroposon,1602,167.2234706616729,97.7322005260542
1,SINE,428901,177.84086770606737,85.38341769450524
2,DNA,118047,227.88058146331545,63.03887529824197
2,LINE,314567,231.97198371094234,84.89818217005849
2,LTR,138803,205.57748031382607,71.8243356847726
2,RC,451,278.00443458980044,40.59551139897874
2,Retroposon,1780,170.03202247191012,96.80726007782049
2,SINE,430166,177.90860505014342,85.39257864456876
3,DNA,117706,228.14953358367458,62.7445179028964
3,LINE,315204,231.53073247801424,85.06727670357225
3,LTR,139292,204.56263101972834,71.5695965611971
3,RC,453,273.22295805739515,43.76392824613048
3,Retroposon,1607,170.25948973242066,95.32787161631072
3,SINE,430323,177.575163307562,85.38652481096696
4,DNA,118299,228.36110195352455,62.74673223157486
4,LINE,314011,231.4874351535456,84.94914044646563
4,LTR,138759,205.6751850330429,71.72137930763809
4,RC,479,276.1544885177453,41.214915309206525
4,Retroposon,1827,163.26217843459222,97.30005790307573
4,SINE,429531,177.79878285851314,85.35233781242657
5,DNA,118618,228.14179972685426,62.895579404163975
5,LINE,314407,231.48299179089523,85.08066816057531
5,LTR,137739,205.3868330683394,71.649334951422
5,RC,464,270.97629310344826,41.97214642967512
5,Retroposon,1705,166.1325513196481,96.79085304752057
5,SINE,430492,177.90567536678964,85.35577549587532
6,DNA,118316,228.33193312823286,62.52187223290326
6,LINE,313095,231.44499592775355,85.19882502148059
6,LTR,139546,205.1433792441202,71.60549543933126
6,RC,492,268.0589430894309,42.92675011348639
6,Retroposon,1674,165.8327359617682,94.10565367609343
6,SINE,431237,177.7035899053189,85.26740141133342
7,DNA,117596,228.09012211299705,62.86667972589192
7,LINE,314464,231.30111554899767,85.07418734985423
7,LTR,138969,205.3401118235002,71.94492857224161
7,RC,501,272.52694610778445,40.341033384211634
7,Retroposon,1670,166.36347305389222,95.22688435576143
7,SINE,429803,177.593206655142,85.31835165340397
8,DNA,117426,227.92570640232998,63.00671159419424
8,LINE,314531,231.99702414070472,84.93006681944269
8,LTR,138642,206.02444425210254,71.73268276732081
8,RC,511,273.26223091976516,44.73236046217665
8,Retroposon,1713,167.47285464098073,95.60763057300034
8,SINE,428326,177.37507646045302,85.30966068755578
9,DNA,117256,228.2564389029133,62.84367963194042
9,LINE,314182,231.80958489028652,85.10673154924767
9,LTR,139493,205.8801445233811,71.57818940531034
9,RC,484,269.9152892561983,45.225822883556724
9,Retroposon,1693,161.05020673360897,96.23876567763094
9,SINE,429781,177.57393183970441,85.3559644025318
10,DNA,117154,227.99968417638323,62.90640732870178
10,LINE,314326,231.76860011580334,84.76153029397172
10,LTR,138284,205.7107402157878,71.796237683557
10,RC,496,271.7157258064516,41.07332441506851
10,Retroposon,1714,166.80338389731622,96.71118312122923
10,SINE,430011,177.74478094746414,85.38843179706282
11,DNA,117423,228.5427556781891,62.729145685472616
11,LINE,314511,231.53591448311823,85.15343271424884
11,LTR,138819,205.8007045145117,71.76234078638221
11,RC,461,271.85032537960956,40.21117446624589
11,Retroposon,1597,168.76205385097057,95.85522368455663
11,SINE,430031,177.5619711137104,85.2890620771966
12,DNA,118435,227.93685143749735,62.86838377506992
12,LINE,313993,231.50435837741605,85.21780163750162
12,LTR,139569,205.39783906168276,71.59374778585536
12,RC,473,266.6744186046512,46.83301857546991
12,Retroposon,1682,163.06302021403093,95.53254987451938
12,SINE,430700,178.03834687717668,85.23901053659584
13,DNA,118744,228.3405308899818,62.722454096082
13,LINE,314785,231.41504518957385,85.06161755959162
13,LTR,138809,205.6712244883257,71.51705508231895
13,RC,475,272.5705263157895,40.96628619958306
13,Retroposon,1638,161.32356532356533,95.09675206324522
13,SINE,428787,177.7738154375016,85.40151686793912
14,DNA,118123,227.75051429442192,62.899864415001346
14,LINE,314352,231.54777128823739,85.18102127012557
14,LTR,139557,205.6178264078477,71.46322447985634
14,RC,455,269.13626373626374,40.22091609517166
14,Retroposon,1704,164.99765258215962,94.86033095480865
14,SINE,430054,177.96097931887624,85.38540118384492
15,DNA,118421,228.08078803590578,62.57016214331464
15,LINE,314444,231.83425347597665,84.79821260690333
15,LTR,138739,205.94599211469017,71.47215146048553
15,RC,493,273.5070993914807,40.6566593012983
15,Retroposon,1638,165.06288156288156,96.0799503110293
15,SINE,430504,177.90611469347556,85.40378670223829
16,DNA,116849,227.6281525729788,63.12753331696987
16,LINE,314240,231.94625763747453,84.64597936587036
16,LTR,139492,205.3998437186362,71.56312379920493
16,RC,419,268.77326968973745,44.995079567124336
16,Retroposon,1766,162.99660249150622,96.64997962495062
16,SINE,429826,177.8496507889239,85.3110043635363
17,DNA,116987,228.23087180626908,62.43947485280754
17,LINE,313532,231.80249543906203,84.86206952210392
17,LTR,138135,205.64001882216672,71.63831200774692
17,RC,468,269.79487179487177,46.10876002973068
17,Retroposon,1678,168.79618593563765,96.31493922663311
17,SINE,431083,178.17084181004586,85.45833724529155
18,DNA,118389,228.16645972176468,62.715389938459445
18,LINE,314394,231.31985343231742,85.20471980314171
18,LTR,138643,205.81689663380047,71.7386368294733
18,RC,516,276.1007751937984,39.687948488338726
18,Retroposon,1696,162.12676886792454,96.47061137413512
