seed,DNA,LINE,LTR,RC,Retroposon,SINE,total_rows
1,32555,126276,39942,132,465,112508,311878
2,32626,126802,39647,109,550,113111,312845
3,32291,127382,39958,122,488,113030,313271
4,32741,126700,40238,129,537,111209,311554
5,32753,126709,39736,141,524,112318,312181
6,32599,126840,40000,163,491,112937,313030
7,32755,126704,40259,134,532,113212,313596
8,32294,127318,39595,141,566,112187,312101
9,32940,126740,40551,124,508,112938,313801
10,32497,127013,39413,128,524,112047,311622
11,32446,127414,40149,124,497,112206,312836
12,32590,127015,40138,130,529,112833,313235
13,32827,127143,40004,139,525,112939,313577
14,32652,127347,40189,129,538,112862,313717
15,32848,127403,40034,121,495,112455,313356
16,32409,127062,40203,108,543,112091,312416
17,32353,126796,39698,141,518,112735,312241
18,32923,127055,39794,153,534,112265,312724
19,32315,126977,39774,133,536,112578,312313
20,32175,126471,39953,145,544,113083,312371
21,32652,127830,39940,106,509,112350,313387
22,32588,127318,40007,120,506,112359,312898
23,32850,126525,40563,118,513,113186,313755
24,32546,127458,39995,125,511,112540,313175
25,32407,127161,40232,122,503,113220,313645
26,32865,126902,40513,136,516,111959,312891
27,32255,127788,39999,125,515,111902,312584
28,32873,126653,40326,127,469,112809,313257
29,32795,126642,40089,112,517,112847,313002
30,32476,126299,40215,124,476,112649,312239
31,32851,126641,39596,142,472,112741,312443
32,32142,126301,40260,122,526,112269,311620
33,32282,127196,40043,122,507,113294,313444
34,32705,126777,39795,132,469,112560,312438
35,32916,126480,40299,137,516,112819,313167
36,32428,127162,39933,128,506,112253,312410
37,32388,126998,40069,143,533,112814,312945
38,32422,127183,40397,117,540,112420,313079
39,32434,125834,39907,146,478,112463,311262
40,32792,127519,40120,121,515,113215,314282
41,32977,127086,39925,130,506,112389,313013
42,32631,126775,39765,126,523,111350,311170
43,32269,126756,39762,109,496,112797,312189
44,32190,126879,39968,131,502,112356,312026
45,32456,126339,40276,129,491,111975,311666
46,32796,126669,40045,112,553,113201,313376
47,32141,126243,39971,128,497,112809,311789
48,32101,126590,39896,146,530,111993,311256
49,32595,126072,40415,147,559,112805,312593
50,32680,126120,39774,124,522,112946,312166
