seed,,5S-Deu-L2,Alu,CR1,Crypton,Crypton-A,Dong-R4,ERV1,ERVK,ERVL,ERVL-MaLR,Gypsy,Helitron,I-Jockey,Kolobok,L1,L1-Tx1,L2,MIR,MULE-MuDR,Merlin,PIF-Harbinger,Penelope,PiggyBac,RTE-BovB,RTE-X,SVA,TcMar,TcMar-Mariner,TcMar-Pogo,TcMar-Tc1,TcMar-Tc2,TcMar-Tigger,hAT,hAT-Ac,hAT-Blackjack,hAT-Charlie,hAT-Tag1,hAT-Tip100,hAT-Tip100?,hAT-hAT19,hAT?,tRNA,tRNA-Deu,tRNA-RTE
1,1458,135,76429,5436,30,11,51,9810,653,8931,18214,1470,132,4,56,79150,12,39711,35517,215,15,34,67,128,538,1307,465,12,1122,1,47,469,7840,184,351,1098,16141,179,4019,3,3,3,120,36,271
2,1428,144,77030,5457,18,9,76,9680,679,9069,17942,1440,109,14,38,79253,11,40073,35535,222,14,33,33,163,579,1306,550,12,1055,6,51,438,7735,212,329,1070,16147,241,4232,7,1,2,88,33,281
3,1433,140,77029,5590,18,11,39,9792,685,9077,18083,1423,122,13,25,80115,14,39642,35422,197,11,25,57,143,511,1401,488,5,1029,5,43,472,7680,207,339,1109,16053,240,4135,2,1,6,122,35,282
4,1483,155,76152,5417,20,8,59,9856,600,9021,18340,1490,129,11,28,79763,17,39418,34526,195,21,46,58,158,544,1413,537,15,995,2,54,524,7614,197,343,1083,16536,209,4138,2,1,0,95,43,238
5,1498,143,76883,5257,13,9,66,9367,645,9221,18193,1375,141,6,22,79984,22,39488,34889,236,15,44,57,147,514,1315,524,13,1028,5,36,486,7885,231,356,1155,16022,202,4275,5,2,3,102,30,271
6,1482,143,76991,5246,23,9,54,9590,657,9076,18353,1394,163,4,27,79887,12,39734,35422,229,16,29,44,145,492,1367,491,14,1018,1,55,501,8059,203,352,1016,16186,189,3970,3,0,2,103,30,248
7,1505,137,77355,5392,18,14,39,9772,652,9031,18504,1378,134,9,31,79958,13,39320,35294,211,15,38,79,143,563,1331,532,8,1089,1,46,527,7990,212,349,1083,16079,175,4132,8,2,1,113,31,282
8,1472,139,76758,5388,14,14,36,9511,648,8954,18087,1452,141,5,26,79977,16,40044,34869,201,13,35,54,163,483,1315,566,9,1034,0,53,489,8015,165,378,1027,15843,194,4084,5,3,0,110,24,287
9,1587,147,77216,5415,20,5,52,9872,701,8801,18677,1489,124,22,30,79480,18,39785,35182,209,15,35,77,152,531,1360,508,19,1079,2,50,472,8017,181,397,1096,16220,156,4200,0,1,8,117,36,240
10,1553,151,76492,5202,18,8,55,9608,657,9057,17637,1472,128,7,21,80022,10,39864,34997,230,9,32,58,166,516,1279,524,7,996,2,58,495,7695,219,346,1054,16173,190,4197,2,2,6,109,31,267
11,1550,157,76502,5298,14,7,44,9681,609,9088,18315,1491,124,17,24,80336,10,39819,35159,208,14,28,51,152,509,1330,497,18,1111,4,60,520,7836,212,351,1061,15948,195,4087,7,1,3,90,36,262
12,1434,110,77106,5462,12,7,57,9681,665,8991,18502,1371,130,10,34,79634,8,39824,35183,245,9,29,57,168,614,1349,529,13,1103,0,52,491,8024,197,333,1031,16080,224,4023,6,0,3,107,38,289
13,1489,119,76897,5443,17,10,52,9786,618,8890,18385,1374,139,10,30,80249,12,39444,35536,197,15,35,52,175,558,1323,525,11,1065,3,43,530,7851,184,338,1205,16211,206,4150,10,0,3,118,18,251
14,1518,133,76677,5571,17,8,52,9662,609,9128,18457,1413,129,4,31,79825,6,39969,35612,201,9,29,60,165,512,1348,538,18,1119,2,46,483,7986,173,358,1109,15905,190,4195,4,2,4,118,25,297
15,1513,131,76584,5447,8,8,47,9724,619,8871,18438,1402,121,7,17,80474,12,39375,35280,194,17,36,55,166,525,1461,495,12,1020,5,56,572,7980,206,359,1105,16115,209,4215,6,5,4,115,31,314
16,1393,139,76702,5288,24,13,51,9763,677,9309,18248,1337,108,4,30,80118,5,39671,34849,203,15,31,68,170,545,1312,543,14,1077,3,46,488,7682,168,316,1077,16140,205,4175,5,2,1,102,35,264
17,1495,151,76861,5182,22,6,50,9647,655,8963,18046,1451,141,12,23,79848,12,39754,35316,233,16,27,59,124,587,1292,518,21,1090,5,42,474,7723,195,363,1125,15861,197,4233,10,1,3,109,19,279
18,1458,151,76647,5448,23,11,44,9920,657,8956,17912,1399,153,9,29,80136,18,39445,35039,239,27,27,60,133,579,1316,534,19,1016,2,59,500,8089,228,378,1086,16137,202,4200,3,3,4,114,22,292
19,1418,106,76689,5204,20,15,57,9583,607,8754,18535,1396,133,10,28,79969,8,39766,35359,218,14,37,68,170,520,1375,536,28,1019,0,41,551,7836,236,360,1044,15839,192,4144,4,0,0,112,30,282
20,1441,110,77576,5394,21,8,40,9635,597,8992,18405,1466,145,8,19,79703,13,39378,34986,222,20,35,35,149,557,1343,544,19,941,4,41,527,7831,184,316,1033,15864,175,4176,2,3,2,104,51,256
21,1537,121,76482,5280,25,19,62,9655,607,9021,18307,1435,106,8,24,80170,17,40338,35345,218,21,30,67,143,534,1354,509,14,1064,3,50,480,7802,199,341,1152,16005,174,4263,3,0,0,98,23,281
22,1434,152,76686,5345,26,13,48,9727,690,8962,18179,1532,120,7,27,80279,12,39710,35134,185,19,29,55,157,517,1345,506,18,1032,1,60,549,7786,230,314,1054,16219,208,4141,0,0,3,105,21,261
23,1555,154,77055,5316,17,19,50,9853,667,9159,18539,1357,118,17,27,79114,9,39974,35547,186,17,40,54,136,637,1354,513,10,960,1,46,540,7869,183,308,1187,16201,224,4301,3,0,8,98,35,297
24,1451,122,76690,5347,17,6,49,9597,737,9255,18096,1375,125,14,30,80273,7,39702,35332,226,15,33,48,133,586,1432,511,14,936,4,50,503,7969,208,360,1141,16083,176,4114,8,1,3,110,26,260
25,1539,130,77221,5423,13,10,52,9654,660,9155,18343,1440,122,10,40,80191,11,39600,35462,204,13,29,48,115,488,1338,503,18,1084,2,50,491,7632,221,323,1094,16073,204,4225,4,1,2,98,38,271
26,1454,148,76866,5477,20,9,50,9831,679,9154,18430,1527,136,10,15,79648,14,39750,34532,269,15,23,62,131,538,1353,516,21,1053,4,46,450,8000,196,386,1126,16287,170,4073,5,2,2,121,38,254
27,1378,139,77016,5347,18,8,54,9564,649,8972,18464,1456,125,17,27,80241,5,40090,34341,201,19,40,61,159,589,1384,515,18,1007,1,49,520,7688,213,328,1094,16032,222,4116,8,1,2,113,37,256
28,1469,157,76864,5495,14,4,50,9704,704,9082,18411,1486,127,8,20,79995,15,39160,35394,225,14,31,49,156,539,1342,469,13,1139,8,47,537,8115,191,336,1075,16022,187,4190,13,1,5,102,23,269
29,1490,138,77215,5384,28,13,59,9935,686,8951,18056,1516,112,10,24,79742,14,39626,35101,217,21,28,61,160,501,1245,517,15,1099,2,46,475,8009,220,334,1099,16112,169,4168,6,3,2,120,23,250
30,1398,139,76851,5300,16,8,63,9665,665,9198,18400,1435,124,8,20,79699,10,39334,35277,218,15,27,45,139,535,1305,476,23,1015,1,31,503,7940,196,352,1021,16016,190,4188,6,0,5,106,28,248
31,1460,123,76959,5188,10,10,63,9661,599,8907,18058,1477,142,4,41,79397,10,39955,35233,194,15,10,71,163,564,1389,472,14,1032,4,65,524,8052,214,338,1043,16100,207,4238,7,0,4,121,27,278
32,1483,142,76443,5291,18,5,53,9773,708,9066,18441,1321,122,5,23,79535,5,39480,35307,221,14,24,51,148,545,1336,526,12,1020,0,50,506,7554,233,303,1133,16029,176,4135,3,0,3,97,34,246
33,1472,117,77492,5277,23,12,62,9511,704,9131,18425,1344,122,13,23,79557,17,40282,35267,244,14,27,60,130,530,1398,507,17,1009,2,42,515,7821,228,321,1138,15951,187,4025,5,2,2,107,22,289
34,1449,144,76821,5330,16,4,55,9451,658,8972,18392,1432,132,6,20,79537,9,39893,35213,198,16,22,66,169,565,1316,469,10,1121,0,44,464,7928,177,348,1118,16160,246,4074,4,3,4,83,31,268
35,1482,157,77337,5443,24,12,44,9591,681,9174,18411,1518,137,13,23,79218,11,39844,34910,179,19,40,66,150,588,1253,516,9,1024,3,44,471,7990,197,356,1132,16355,185,4137,8,0,0,102,27,286
36,1476,142,76551,5421,22,8,49,9571,673,9072,18255,1436,128,8,31,79394,11,40291,35136,243,18,40,60,170,596,1332,506,15,1028,4,41,528,7902,193,345,1071,15890,213,4107,6,0,3,124,31,269
37,1461,146,77095,5452,22,9,70,9841,605,8993,18296,1445,143,5,33,79891,9,39618,35173,178,14,32,52,142,532,1369,533,12,1072,1,34,511,7871,212,312,1023,16017,202,4105,7,2,5,119,21,260
38,1412,158,76865,5332,19,5,52,9871,713,9048,18464,1407,117,2,20,79848,11,39921,34979,246,10,20,63,142,569,1385,540,13,1009,4,52,462,7863,199,369,1008,16100,207,4147,5,0,4,113,20,285
39,1465,155,76892,5417,24,17,68,9617,677,9037,18268,1389,146,8,25,78677,20,39808,35023,218,15,37,55,165,504,1277,478,10,1040,2,44,511,7911,186,330,1158,15888,196,4101,6,2,2,102,18,273
40,1484,146,77181,5590,15,13,64,9555,645,8950,18590,1459,121,4,44,80180,15,39728,35403,233,10,38,51,177,524,1363,515,23,1022,0,60,487,7918,217,371,1015,16283,186,4105,8,0,4,126,32,327
