level,window,percentile,n_groups,spearman_rho,spearman_p,concordance_permutation_p,mean_term_count_published,mean_term_count_cell
classes_count,5kb,5,6,0.8857142857142858,0.01884548104956266,0.02197802197802198,70.83333333333333,85.0
classes_count,5kb,10,7,0.9642857142857145,0.00045414916919416935,0.001998001998001998,60.714285714285715,117.42857142857143
classes_count,10kb,10,6,1.0,0.0,0.002997002997002997,70.83333333333333,129.83333333333334
classes_count,20kb,5,6,0.9856107606091623,0.00030908566784966984,0.001998001998001998,70.83333333333333,49.833333333333336
classes_count,20kb,10,7,0.9285714285714288,0.0025194724037946887,0.003996003996003996,60.714285714285715,77.71428571428571
classes_divergence,5kb,5,8,0.8554216867469879,0.0067597048147543075,0.007992007992007992,51.75,26.125
classes_divergence,5kb,10,8,0.8503146459584138,0.007471414639953466,0.005994005994005994,51.75,50.25
classes_divergence,10kb,10,9,0.9121418755437382,0.000606850679471499,0.001998001998001998,46.0,70.22222222222223
classes_divergence,20kb,5,9,0.9707197941566387,1.3744158988833828e-05,0.000999000999000999,46.0,33.666666666666664
classes_divergence,20kb,10,9,0.8870370532810664,0.0014260236511493703,0.001998001998001998,46.0,67.55555555555556
families,5kb,5,14,0.6137083760407277,0.01957309750335362,0.01998001998001998,10.0,9.785714285714286
families,5kb,10,14,0.6972379947121318,0.00557662976977344,0.002997002997002997,10.0,20.142857142857142
families,10kb,10,13,0.9571859726038534,2.917958634085157e-07,0.000999000999000999,10.76923076923077,24.692307692307693
families,20kb,5,18,0.9397605062045873,7.210654690096832e-09,0.000999000999000999,7.777777777777778,11.166666666666666
families,20kb,10,18,0.9732336151876637,1.2181225227659669e-11,0.000999000999000999,7.777777777777778,22.333333333333332
