level,window,percentile,is_published,n_terms,n_terms_published,n_shared,n_lost,n_gained,jaccard,fraction_of_published_preserved
classes_count,5kb,5,False,465,375,293,82,172,0.5356489945155393,0.7813333333333333
classes_count,5kb,10,False,728,375,333,42,395,0.43246753246753245,0.888
classes_count,10kb,5,True,375,375,375,0,0,1.0,1.0
classes_count,10kb,10,False,670,375,340,35,330,0.48226950354609927,0.9066666666666666
classes_count,20kb,5,False,249,375,207,168,42,0.49640287769784175,0.552
classes_count,20kb,10,False,419,375,254,121,165,0.4703703703703704,0.6773333333333333
classes_divergence,5kb,5,False,183,282,124,158,59,0.36363636363636365,0.4397163120567376
classes_divergence,5kb,10,False,312,282,167,115,145,0.3911007025761124,0.5921985815602837
classes_divergence,10kb,5,True,282,282,282,0,0,1.0,1.0
classes_divergence,10kb,10,False,390,282,234,48,156,0.5342465753424658,0.8297872340425532
classes_divergence,20kb,5,False,198,282,132,150,66,0.3793103448275862,0.46808510638297873
classes_divergence,20kb,10,False,352,282,187,95,165,0.41834451901565994,0.6631205673758865
families,5kb,5,False,77,95,51,44,26,0.4214876033057851,0.5368421052631579
families,5kb,10,False,181,95,63,32,118,0.29577464788732394,0.6631578947368421
families,10kb,5,True,95,95,95,0,0,1.0,1.0
families,10kb,10,False,212,95,75,20,137,0.3232758620689655,0.7894736842105263
families,20kb,5,False,136,95,68,27,68,0.4171779141104294,0.7157894736842105
families,20kb,10,False,260,95,75,20,185,0.26785714285714285,0.7894736842105263
