level,window,percentile,group,n_terms_published,n_terms,n_shared,jaccard,fraction_of_published_preserved
classes_count,5kb,5,LINE,6,6,5,0.7142857142857143,0.8333333333333334
classes_count,5kb,5,LTR,22,40,21,0.5121951219512195,0.9545454545454546
classes_count,5kb,5,SINE,32,24,15,0.36585365853658536,0.46875
classes_count,5kb,5,SVA,5,0,0,0.0,0.0
classes_count,5kb,5,TE_bottom,345,438,275,0.5413385826771654,0.7971014492753623
classes_count,5kb,5,TE_top,15,2,1,0.0625,0.06666666666666667
classes_count,5kb,10,DNA,0,2,0,0.0,
classes_count,5kb,10,LINE,6,10,6,0.6,1.0
classes_count,5kb,10,LTR,22,50,21,0.4117647058823529,0.9545454545454546
classes_count,5kb,10,SINE,32,73,27,0.34615384615384615,0.84375
classes_count,5kb,10,SVA,5,0,0,0.0,0.0
classes_count,5kb,10,TE_bottom,345,666,304,0.42998585572843,0.881159420289855
classes_count,5kb,10,TE_top,15,21,3,0.09090909090909091,0.2
classes_count,10kb,5,LINE,6,6,6,1.0,1.0
classes_count,10kb,5,LTR,22,22,22,1.0,1.0
classes_count,10kb,5,SINE,32,32,32,1.0,1.0
classes_count,10kb,5,SVA,5,5,5,1.0,1.0
classes_count,10kb,5,TE_bottom,345,345,345,1.0,1.0
classes_count,10kb,5,TE_top,15,15,15,1.0,1.0
classes_count,10kb,10,LINE,6,12,6,0.5,1.0
classes_count,10kb,10,LTR,22,51,20,0.37735849056603776,0.9090909090909091
classes_count,10kb,10,SINE,32,93,30,0.3157894736842105,0.9375
classes_count,10kb,10,SVA,5,0,0,0.0,0.0
classes_count,10kb,10,TE_bottom,345,579,309,0.5024390243902439,0.8956521739130435
classes_count,10kb,10,TE_top,15,44,14,0.3111111111111111,0.9333333333333333
classes_count,20kb,5,LINE,6,10,5,0.45454545454545453,0.8333333333333334
classes_count,20kb,5,LTR,22,18,14,0.5384615384615384,0.6363636363636364
classes_count,20kb,5,SINE,32,44,20,0.35714285714285715,0.625
classes_count,20kb,5,SVA,5,7,3,0.3333333333333333,0.6
classes_count,20kb,5,TE_bottom,345,202,187,0.5194444444444445,0.5420289855072464
classes_count,20kb,5,TE_top,15,18,9,0.375,0.6
classes_count,20kb,10,DNA,0,4,0,0.0,
classes_count,20kb,10,LINE,6,8,5,0.5555555555555556,0.8333333333333334
classes_count,20kb,10,LTR,22,39,18,0.4186046511627907,0.8181818181818182
classes_count,20kb,10,SINE,32,126,29,0.2248062015503876,0.90625
classes_count,20kb,10,SVA,5,0,0,0.0,0.0
classes_count,20kb,10,TE_bottom,345,306,226,0.5317647058823529,0.6550724637681159
classes_count,20kb,10,TE_top,15,61,12,0.1875,0.8
classes_divergence,5kb,5,LINE / highest,9,6,2,0.15384615384615385,0.2222222222222222
classes_divergence,5kb,5,LINE / lowest,16,11,8,0.42105263157894735,0.5
classes_divergence,5kb,5,LTR / highest,9,4,3,0.3,0.3333333333333333
classes_divergence,5kb,5,LTR / lowest,1,1,0,0.0,0.0
classes_divergence,5kb,5,SINE / highest,148,19,16,0.10596026490066225,0.10810810810810811
classes_divergence,5kb,5,SINE / lowest,2,0,0,0.0,0.0
classes_divergence,5kb,5,TE_all / highest,214,167,102,0.3655913978494624,0.4766355140186916
classes_divergence,5kb,5,TE_all / lowest,15,1,1,0.06666666666666667,0.06666666666666667
classes_divergence,5kb,10,LINE / highest,9,17,5,0.23809523809523808,0.5555555555555556
classes_divergence,5kb,10,LINE / lowest,16,12,10,0.5555555555555556,0.625
classes_divergence,5kb,10,LTR / highest,9,13,6,0.375,0.6666666666666666
classes_divergence,5kb,10,LTR / lowest,1,0,0,0.0,0.0
classes_divergence,5kb,10,SINE / highest,148,61,39,0.22941176470588234,0.2635135135135135
classes_divergence,5kb,10,SINE / lowest,2,1,0,0.0,0.0
classes_divergence,5kb,10,TE_all / highest,214,279,130,0.3581267217630854,0.6074766355140186
classes_divergence,5kb,10,TE_all / lowest,15,19,11,0.4782608695652174,0.7333333333333333
classes_divergence,10kb,5,LINE / highest,9,9,9,1.0,1.0
classes_divergence,10kb,5,LINE / lowest,16,16,16,1.0,1.0
classes_divergence,10kb,5,LTR / highest,9,9,9,1.0,1.0
classes_divergence,10kb,5,LTR / lowest,1,1,1,1.0,1.0
classes_divergence,10kb,5,SINE / highest,148,148,148,1.0,1.0
classes_divergence,10kb,5,SINE / lowest,2,2,2,1.0,1.0
classes_divergence,10kb,5,TE_all / highest,214,214,214,1.0,1.0
classes_divergence,10kb,5,TE_all / lowest,15,15,15,1.0,1.0
classes_divergence,10kb,10,DNA / highest,0,1,0,0.0,
classes_divergence,10kb,10,LINE / highest,9,28,8,0.27586206896551724,0.8888888888888888
classes_divergence,10kb,10,LINE / lowest,16,27,14,0.4827586206896552,0.875
classes_divergence,10kb,10,LTR / highest,9,8,8,0.8888888888888888,0.8888888888888888
classes_divergence,10kb,10,LTR / lowest,1,2,0,0.0,0.0
classes_divergence,10kb,10,SINE / highest,148,211,118,0.4896265560165975,0.7972972972972973
classes_divergence,10kb,10,SINE / lowest,2,11,0,0.0,0.0
classes_divergence,10kb,10,TE_all / highest,214,312,175,0.4985754985754986,0.8177570093457944
classes_divergence,10kb,10,TE_all / lowest,15,32,14,0.42424242424242425,0.9333333333333333
classes_divergence,20kb,5,DNA / highest,0,1,0,0.0,
classes_divergence,20kb,5,LINE / highest,9,9,5,0.38461538461538464,0.5555555555555556
classes_divergence,20kb,5,LINE / lowest,16,27,14,0.4827586206896552,0.875
