level,window,percentile,group,term_id,term_name,status,fdr_published,fdr_cell
classes_count,5kb,5,LINE,GO:0007186,G protein-coupled receptor signaling pathway,lost,0.0278277530731289,0.0084397145393528
classes_count,5kb,5,LINE,GO:0009881,photoreceptor activity,gained,,0.0342737312163779
classes_count,5kb,5,LTR,GO:0000166,nucleotide binding,gained,6.778336989383424e-05,0.0037534828575426
classes_count,5kb,5,LTR,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",gained,3.284292752113761e-83,8.060852871807923e-73
classes_count,5kb,5,LTR,GO:0003682,chromatin binding,gained,2.4805691208757004e-10,6.646406306800733e-10
classes_count,5kb,5,LTR,GO:0005524,ATP binding,gained,0.002778729683784,0.0011149904266326
classes_count,5kb,5,LTR,GO:0005576,extracellular region,gained,,0.0293492752284905
classes_count,5kb,5,LTR,GO:0005615,extracellular space,gained,,0.0010888333283133
classes_count,5kb,5,LTR,GO:0005667,transcription regulator complex,gained,6.758228014648845e-18,2.159950037848124e-19
classes_count,5kb,5,LTR,GO:0005730,nucleolus,gained,0.0136107039433447,0.0398929509838562
classes_count,5kb,5,LTR,GO:0005856,cytoskeleton,gained,,0.0011777943312497
classes_count,5kb,5,LTR,GO:0006355,regulation of DNA-templated transcription,gained,6.151194225058447e-56,2.7974900359372725e-58
classes_count,5kb,5,LTR,GO:0006412,translation,gained,0.0045558431712418,0.0151154520358264
classes_count,5kb,5,LTR,GO:0007155,cell adhesion,gained,,0.0234052609823392
classes_count,5kb,5,LTR,GO:0007399,nervous system development,gained,2.1404676080245957e-28,1.778833479963842e-40
classes_count,5kb,5,LTR,GO:0008270,zinc ion binding,gained,,0.0003475164816739
classes_count,5kb,5,LTR,GO:0014069,postsynaptic density,gained,,0.0359049693224172
classes_count,5kb,5,LTR,GO:0015031,protein transport,gained,0.0001355690698718,2.9673838614455065e-05
classes_count,5kb,5,LTR,GO:0016607,nuclear speck,gained,,0.0150284512419455
classes_count,5kb,5,LTR,GO:0031012,extracellular matrix,gained,,0.0463696196138146
classes_count,5kb,5,LTR,GO:0098978,glutamatergic synapse,gained,0.0001719057409008,1.1374858193842523e-10
classes_count,5kb,5,LTR,GO:1990837,sequence-specific double-stranded DNA binding,lost,2.6748736668232187e-81,5.539324596950455e-66
classes_count,5kb,5,SINE,GO:0000166,nucleotide binding,lost,6.778336989383424e-05,0.0037534828575426
classes_count,5kb,5,SINE,GO:0000388,spliceosome conformational change to release U4 (or U4atac) and U1 (or U11),lost,0.0220411727526337,
classes_count,5kb,5,SINE,GO:0000398,"mRNA splicing, via spliceosome",lost,0.0042786012715271,
classes_count,5kb,5,SINE,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,gained,1.3018805426856218e-67,3.719575786977147e-57
classes_count,5kb,5,SINE,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",gained,3.284292752113761e-83,8.060852871807923e-73
classes_count,5kb,5,SINE,GO:0003700,DNA-binding transcription factor activity,gained,3.743681849598961e-72,7.498869891796576e-64
classes_count,5kb,5,SINE,GO:0004984,olfactory receptor activity,lost,0.0001052590970585,7.997013847272787e-07
