long_label,short_label
"RNA polymerase II transcription regulatory region sequence-specific DNA binding","Pol II regulatory region DNA binding"
"DNA-binding transcription activator activity, RNA polymerase II-specific","Pol II transcription activator activity"
"DNA-binding transcription repressor activity, RNA polymerase II-specific","Pol II transcription repressor activity"
"detection of chemical stimulus involved in sensory perception of smell","olfactory stimulus detection"
"detection of chemical stimulus involved in sensory perception of bitter taste","bitter taste stimulus detection"
"detection of chemical stimulus involved in sensory perception of taste","taste stimulus detection"
"negative regulation of fatty acid metabolic process","neg. reg. of fatty acid metabolism"
"positive regulation of fatty acid metabolic process","pos. reg. of fatty acid metabolism"
"termination of RNA polymerase II transcription","Pol II transcription termination"
"positive regulation of transcription elongation by RNA polymerase II","pos. reg. of Pol II elongation"
"anterior/posterior pattern specification","A/P pattern specification"
"embryonic skeletal system morphogenesis","embryonic skeleton morphogenesis"
"embryonic skeletal system development","embryonic skeleton development"
"monoatomic ion transmembrane transport","ion transmembrane transport"
"monoatomic cation transmembrane transport","cation transmembrane transport"
"anatomical structure morphogenesis","anatomical morphogenesis"
"mRNA splicing, via spliceosome","mRNA splicing (spliceosome)"
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","oxidoreductase, paired donors, O2"
"natural killer cell activation involved in immune response","NK cell activation (immune)"
"B cell activation involved in immune response","B cell activation (immune)"
"T cell activation involved in immune response","T cell activation (immune)"
"voltage-gated potassium channel complex","voltage-gated K+ channel complex"
"voltage-gated potassium channel activity","voltage-gated K+ channel activity"
"potassium ion transmembrane transport","K+ transmembrane transport"
"calcium-dependent cell-cell adhesion","Ca2+-dependent cell adhesion"
"outflow tract septum morphogenesis","outflow tract septum morphog."
"type I interferon receptor binding","type I IFN receptor binding"
"glutamate-gated receptor activity","glutamate-gated receptor"
"N-acylphosphatidylethanolamine metabolic process","NAPE metabolism"
"cysteine-type endopeptidase inhibitor activity","cysteine endopeptidase inhibitor"
"positive regulation of inflammatory response","pos. reg. of inflammatory response"
"ATP-dependent DNA damage sensor activity","ATP-dependent DNA damage sensor"
"sensory perception of chemical stimulus","chemosensory perception"
"antigen processing and presentation of peptide antigen via MHC class I","MHC-I antigen presentation"
"cellular response to cadmium ion","response to cadmium"
"cellular response to zinc ion","response to zinc"
"intracellular zinc ion homeostasis","zinc homeostasis"
"detoxification of copper ion","copper detoxification"
"MHC class I protein complex","MHC-I protein complex"
"beta-2-microglobulin binding","β2-microglobulin binding"
"transcription regulator complex","transcription regulator complex"
"sequence-specific DNA binding","sequence-specific DNA binding"
"chemical synaptic transmission","chemical synaptic transmission"
"postsynaptic density membrane","postsynaptic density membrane"
"inhibitory synapse assembly","inhibitory synapse assembly"
"olfactory receptor activity","olfactory receptor activity"
"flavone metabolic process","flavone metabolism"
