test,null_mean_l1_divergence
T1_divergence_unmatched,209.941
T1_divergence_unmatched,171.889
T1_divergence_unmatched,202.903
T1_divergence_unmatched,193.2
T1_divergence_unmatched,194.486
T1_divergence_unmatched,219.833
T1_divergence_unmatched,213.782
T1_divergence_unmatched,176.243
T1_divergence_unmatched,210.098
T1_divergence_unmatched,196.295
T1_divergence_unmatched,169.917
T1_divergence_unmatched,190.354
T1_divergence_unmatched,186.5
T1_divergence_unmatched,200.432
T1_divergence_unmatched,225.143
T1_divergence_unmatched,193.4
T1_divergence_unmatched,184.645
T1_divergence_unmatched,146.5
T1_divergence_unmatched,197.308
T1_divergence_unmatched,200.419
T1_divergence_unmatched,217.022
T1_divergence_unmatched,245.935
T1_divergence_unmatched,207.0
T1_divergence_unmatched,200.32
T1_divergence_unmatched,169.781
T1_divergence_unmatched,211.411
T1_divergence_unmatched,191.479
T1_divergence_unmatched,203.316
T1_divergence_unmatched,200.324
T1_divergence_unmatched,187.645
T1_divergence_unmatched,206.48
T1_divergence_unmatched,197.927
T1_divergence_unmatched,229.576
T1_divergence_unmatched,193.14
T1_divergence_unmatched,166.304
T1_divergence_unmatched,195.5
T1_divergence_unmatched,189.442
T1_divergence_unmatched,197.987
T1_divergence_unmatched,219.116
T1_divergence_unmatched,201.792
T1_divergence_unmatched,174.646
T1_divergence_unmatched,213.667
T1_divergence_unmatched,170.529
T1_divergence_unmatched,205.255
T1_divergence_unmatched,221.686
T1_divergence_unmatched,203.156
T1_divergence_unmatched,192.5
T1_divergence_unmatched,158.549
T1_divergence_unmatched,181.688
T1_divergence_unmatched,192.78
T1_divergence_unmatched,170.914
T1_divergence_unmatched,191.767
T1_divergence_unmatched,173.914
T1_divergence_unmatched,191.795
T1_divergence_unmatched,189.119
T1_divergence_unmatched,179.434
T1_divergence_unmatched,171.22
T1_divergence_unmatched,156.34
T1_divergence_unmatched,147.567
T1_divergence_unmatched,170.085
T1_divergence_unmatched,218.162
T1_divergence_unmatched,206.5
T1_divergence_unmatched,187.736
T1_divergence_unmatched,195.554
T1_divergence_unmatched,175.516
T1_divergence_unmatched,197.635
T1_divergence_unmatched,188.936
T1_divergence_unmatched,231.6
T1_divergence_unmatched,197.907
T1_divergence_unmatched,203.283
T1_divergence_unmatched,206.065
T1_divergence_unmatched,193.292
T1_divergence_unmatched,225.04
T1_divergence_unmatched,174.5
T1_divergence_unmatched,194.558
T1_divergence_unmatched,178.698
T1_divergence_unmatched,196.75
T1_divergence_unmatched,167.059
T1_divergence_unmatched,199.76
T1_divergence_unmatched,170.195
T1_divergence_unmatched,180.571
T1_divergence_unmatched,194.4
T1_divergence_unmatched,213.952
T1_divergence_unmatched,192.073
T1_divergence_unmatched,188.846
T1_divergence_unmatched,198.667
T1_divergence_unmatched,179.704
T1_divergence_unmatched,183.529
T1_divergence_unmatched,155.722
T1_divergence_unmatched,213.568
T1_divergence_unmatched,174.273
T1_divergence_unmatched,181.023
T1_divergence_unmatched,204.714
T1_divergence_unmatched,199.375
T1_divergence_unmatched,174.925
T1_divergence_unmatched,228.474
T1_divergence_unmatched,195.128
T1_divergence_unmatched,209.192
T1_divergence_unmatched,177.209
T1_divergence_unmatched,188.644
T1_divergence_unmatched,196.763
T1_divergence_unmatched,183.467
T1_divergence_unmatched,168.269
T1_divergence_unmatched,198.037
T1_divergence_unmatched,181.257
T1_divergence_unmatched,192.488
T1_divergence_unmatched,201.744
T1_divergence_unmatched,176.211
T1_divergence_unmatched,200.222
T1_divergence_unmatched,191.741
T1_divergence_unmatched,221.758
T1_divergence_unmatched,211.512
T1_divergence_unmatched,203.364
T1_divergence_unmatched,177.885
T1_divergence_unmatched,198.9
T1_divergence_unmatched,204.8
T1_divergence_unmatched,191.769
T1_divergence_unmatched,192.305
T1_divergence_unmatched,204.296
T1_divergence_unmatched,149.774
T1_divergence_unmatched,185.846
T1_divergence_unmatched,185.853
T1_divergence_unmatched,153.854
T1_divergence_unmatched,186.186
T1_divergence_unmatched,185.974
T1_divergence_unmatched,198.292
T1_divergence_unmatched,213.256
