subfamily_name,age_group,n,mean_divergence,min_divergence,max_divergence
L1PA2,young_primate,1,24.0,24,24
L1P1,young_primate,1,25.0,25,25
L1PA3,young_primate,3,30.333333333333332,19,39
L1PA4,young_primate,2,33.5,28,39
L1PA5,young_primate,2,44.5,37,52
L1PB,young_primate,2,72.0,71,73
L1MA2,old_mammalian,1,75.0,75,75
L1P5,young_primate,1,78.0,78,78
L1PA7,young_primate,2,78.5,64,93
L1P3,young_primate,5,80.6,0,103
L1PA6,young_primate,5,85.6,68,98
L1PA8,young_primate,6,90.16666666666667,64,109
L1PA14,young_primate,1,92.0,92,92
L1PA10,young_primate,1,98.0,98,98
L1MA3,old_mammalian,2,98.5,98,99
L1MA1,old_mammalian,2,119.0,103,135
L1MA5A,old_mammalian,4,142.0,111,179
L1MA4A,old_mammalian,2,142.0,134,150
L1MC,old_mammalian,2,153.0,152,154
L1PA15,young_primate,1,161.0,161,161
L1MA9,old_mammalian,1,162.0,162,162
L1MB2,old_mammalian,3,169.0,143,201
L1MA6,old_mammalian,1,171.0,171,171
L1M4,old_mammalian,2,173.5,169,178
L1P4e,young_primate,1,174.0,174,174
L1MCb,old_mammalian,1,174.0,174,174
L1PREC2,young_primate,4,176.5,174,180
L1M3,old_mammalian,5,181.0,159,199
L1MC3,old_mammalian,1,214.0,214,214
L1MC4a,old_mammalian,2,216.0,210,222
L1ME4c,old_mammalian,2,217.5,185,250
L1MD3,old_mammalian,2,222.0,219,225
L1MEf,old_mammalian,1,238.0,238,238
L1ME4b,old_mammalian,1,255.0,255,255
L1ME3A,old_mammalian,1,296.0,296,296
L1M2c,old_mammalian,3,307.0,245,360
