,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
5,GO:0016018,cyclosporin A binding,MF,1.6027207740888354e-09,3.004460363106931e-05,29.30740093240093,7,16,"['PPIAL4A', 'PPIAL4C', 'PPIAL4D', 'PPIAL4E', 'PPIAL4F', 'PPIAL4G', 'PPIAL4H']","['NKTR', 'PPIA', 'PPIAL4A', 'PPIAL4C', 'PPIAL4D', 'PPIAL4E', 'PPIAL4F', 'PPIAL4G', 'PPIAL4H', 'PPIB', 'PPIC', 'PPID', 'PPIE', 'PPIF', 'PPIG', 'PPIH']",L1MC2,LINE
0,GO:0019373,epoxygenase P450 pathway,BP,4.3448049307368926e-09,4.0723856615796894e-05,26.05102305102305,7,18,"['CYP1A2', 'CYP2A13', 'CYP2A6', 'CYP2A7', 'CYP2C19', 'CYP2C8', 'CYP2C9']","['CYP1A1', 'CYP1A2', 'CYP1B1', 'CYP2A13', 'CYP2A6', 'CYP2A7', 'CYP2B6', 'CYP2C18', 'CYP2C19', 'CYP2C8', 'CYP2C9', 'CYP2E1', 'CYP2F1', 'CYP2J2', 'CYP2S1', 'CYP4A11', 'CYP4F12', 'CYP4F2']",L1MC2,LINE
6,GO:0008392,arachidonate epoxygenase activity,MF,1.297659343476749e-06,0.006240188533975835,23.924408924408926,5,14,"['CYP2A13', 'CYP2A6', 'CYP2A7', 'CYP2C8', 'CYP2C9']","['CYP2A13', 'CYP2A6', 'CYP2A7', 'CYP2B6', 'CYP2C18', 'CYP2C8', 'CYP2C9', 'CYP2E1', 'CYP2F1', 'CYP2J2', 'CYP2S1', 'CYP4A11', 'CYP4F12', 'CYP4F2']",L1MC2,LINE
7,GO:0016712,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",MF,1.3315242790943848e-06,0.006240188533975835,12.339958287326708,7,38,"['CYP1A2', 'CYP2A13', 'CYP2A6', 'CYP2A7', 'CYP2C19', 'CYP2C8', 'CYP2C9']","['COQ6', 'CYP17A1', 'CYP19A1', 'CYP1A1', 'CYP1A2', 'CYP1B1', 'CYP26C1', 'CYP2A13', 'CYP2A6', 'CYP2A7', 'CYP2B6', 'CYP2C18', 'CYP2C19', 'CYP2C8', 'CYP2C9', 'CYP2D6', 'CYP2D7', 'CYP2E1', 'CYP2F1', 'CYP2J2', 'CYP2R1', 'CYP2S1', 'CYP2U1', 'CYP2W1', 'CYP3A4', 'CYP3A43', 'CYP3A5', 'CYP3A7', 'CYP4A11', 'CYP4A22', 'CYP4B1', 'CYP4F11', 'CYP4F12', 'CYP4F2', 'CYP4F3', 'CYP4F8', 'CYP4Z1', 'CYP51A1']",L1MC2,LINE
8,GO:0003755,peptidyl-prolyl cis-trans isomerase activity,MF,4.375881672363598e-06,0.0164060555660256,10.42040922040922,7,45,"['PPIAL4A', 'PPIAL4C', 'PPIAL4D', 'PPIAL4E', 'PPIAL4F', 'PPIAL4G', 'PPIAL4H']","['AIP', 'AIPL1', 'CWC27', 'FKBP10', 'FKBP11', 'FKBP14', 'FKBP15', 'FKBP1A', 'FKBP1B', 'FKBP1C', 'FKBP2', 'FKBP3', 'FKBP4', 'FKBP5', 'FKBP6', 'FKBP7', 'FKBP8', 'FKBP9', 'FKBP9P1', 'NKTR', 'PIN1', 'PIN4', 'PPIA', 'PPIAL4A', 'PPIAL4C', 'PPIAL4D', 'PPIAL4E', 'PPIAL4F', 'PPIAL4G', 'PPIAL4H', 'PPIB', 'PPIC', 'PPID', 'PPIE', 'PPIF', 'PPIG', 'PPIH', 'PPIL1', 'PPIL2', 'PPIL3', 'PPIL4', 'PPIL6', 'PPWD1', 'PTPA', 'RANBP2']",L1MC2,LINE
1,GO:0006721,terpenoid metabolic process,BP,1.3067988540887876e-05,0.03499607331249773,50.24125874125874,3,4,"['CYP2C19', 'CYP2C8', 'CYP2C9']","['CYP2C18', 'CYP2C19', 'CYP2C8', 'CYP2C9']",L1MC2,LINE
9,GO:0034875,caffeine oxidase activity,MF,1.3067988540887876e-05,0.03499607331249773,50.24125874125874,3,4,"['CYP1A2', 'CYP2C8', 'CYP2C9']","['CYP1A2', 'CYP2C8', 'CYP2C9', 'CYP3A4']",L1MC2,LINE
2,GO:0097267,omega-hydroxylase P450 pathway,BP,2.204555342938481e-05,0.04974962242573109,22.32944832944833,4,12,"['CYP1A2', 'CYP2C19', 'CYP2C8', 'CYP2C9']","['CYP1A1', 'CYP1A2', 'CYP1B1', 'CYP2C19', 'CYP2C8', 'CYP2C9', 'CYP2U1', 'CYP4A11', 'CYP4A22', 'CYP4F11', 'CYP4F2', 'CYP4F3']",L1MC2,LINE
10,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",MF,2.3884914212716303e-05,0.04974962242573109,6.7836298722374675,8,79,"['CYP1A2', 'CYP2A13', 'CYP2A6', 'CYP2A7', 'CYP2C19', 'CYP2C8', 'CYP2C9', 'CYP4F22']","['COQ6', 'CYP11A1', 'CYP11B1', 'CYP11B2', 'CYP17A1', 'CYP19A1', 'CYP1A1', 'CYP1A2', 'CYP1B1', 'CYP20A1', 'CYP21A2', 'CYP24A1', 'CYP26A1', 'CYP26B1', 'CYP26C1', 'CYP27A1', 'CYP27B1', 'CYP27C1', 'CYP2A13', 'CYP2A6', 'CYP2A7', 'CYP2B6', 'CYP2C18', 'CYP2C19', 'CYP2C8', 'CYP2C9', 'CYP2D6', 'CYP2D7', 'CYP2E1', 'CYP2F1', 'CYP2G1P', 'CYP2J2', 'CYP2R1', 'CYP2S1', 'CYP2U1', 'CYP2W1', 'CYP39A1', 'CYP3A4', 'CYP3A43', 'CYP3A5', 'CYP3A7', 'CYP46A1', 'CYP4A11', 'CYP4A22', 'CYP4B1', 'CYP4F11', 'CYP4F12', 'CYP4F2', 'CYP4F22', 'CYP4F3', 'CYP4F8', 'CYP4V2', 'CYP4X1', 'CYP4Z1', 'CYP4Z2P', 'CYP51A1', 'CYP7A1', 'CYP7B1', 'CYP8B1', 'EGLN1', 'EGLN2', 'EGLN3', 'OGFOD1', 'OGFOD2', 'OGFOD3', 'P3H1', 'P3H2', 'P3H3', 'P4HA1', 'P4HA2', 'P4HA3', 'P4HTM', 'PLOD1', 'PLOD2', 'PLOD3', 'PTGIS', 'PTGS1', 'PTGS2', 'TBXAS1']",L1MC2,LINE
3,GO:0042178,xenobiotic catabolic process,BP,5.361932091605028e-05,0.09981708938289534,11.962204462204463,5,28,"['CYP1A2', 'CYP2A6', 'CYP2C19', 'CYP2C8', 'CYP2C9']","['ACSL1', 'CRYZ', 'CYP1A1', 'CYP1A2', 'CYP1B1', 'CYP2A6', 'CYP2B6', 'CYP2C18', 'CYP2C19', 'CYP2C8', 'CYP2C9', 'CYP2D6', 'CYP2D7', 'CYP3A4', 'CYP3A5', 'DPYD', 'FMO4', 'GSTM3', 'GSTM4', 'GSTO1', 'NOS1', 'NR1I2', 'NUDT15', 'PRKCE', 'TPMT', 'UGT1A10', 'UGT1A7', 'UPP2']",L1MC2,LINE
