,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
0,GO:0002767,immune response-inhibiting cell surface receptor signaling pathway,BP,2.6120170952118826e-11,4.896487246684195e-07,598.7083333333334,4,24,"['FCAR', 'LILRA1', 'LILRB1', 'LILRB2']","['FCAR', 'GP6', 'HLA-G', 'KIR2DL1', 'KIR2DL3', 'KIR2DL4', 'KIR2DS4', 'KIR3DL1', 'KIR3DL2', 'KIR3DL3', 'KIR3DX1', 'LAIR1', 'LAIR2', 'LILRA1', 'LILRA2', 'LILRA3', 'LILRA4', 'LILRA5', 'LILRB1', 'LILRB2', 'LILRB3', 'LILRB4', 'LILRB5', 'NCR1']",L1P4c,LINE
6,GO:0032396,inhibitory MHC class I receptor activity,MF,1.6974596307531652e-09,1.5910289119049416e-05,1077.675,3,10,"['LILRA1', 'LILRB1', 'LILRB2']","['LILRA1', 'LILRA2', 'LILRA3', 'LILRA4', 'LILRA5', 'LILRB1', 'LILRB2', 'LILRB3', 'LILRB4', 'LILRB5']",L1P4c,LINE
1,GO:0140105,interleukin-10-mediated signaling pathway,BP,3.111197007164458e-09,1.9440833032101643e-05,898.0625,3,12,"['LILRA1', 'LILRB1', 'LILRB2']","['IL10', 'IL10RA', 'IL10RB', 'JAK1', 'LILRA1', 'LILRA2', 'LILRA3', 'LILRB1', 'LILRB2', 'LILRB4', 'STAT3', 'TYK2']",L1P4c,LINE
7,GO:0023025,MHC class Ib protein complex binding,MF,6.7809424508849e-08,0.0003177888679607209,3592.25,2,2,"['LILRB1', 'LILRB2']","['LILRB1', 'LILRB2']",L1P4c,LINE
2,GO:0002774,Fc receptor mediated inhibitory signaling pathway,BP,6.778111135092329e-07,0.002541249426768816,1436.9,2,5,"['LILRB1', 'LILRB2']","['LILRB1', 'LILRB2', 'LILRB4', 'LYN', 'PSG9']",L1P4c,LINE
8,GO:0023029,MHC class Ib protein binding,MF,1.0165751414230399e-06,0.003176119600186051,1197.4166666666667,2,6,"['LILRB1', 'LILRB2']","['KIR2DS4', 'KIR3DL2', 'LILRB1', 'LILRB2', 'TAP1', 'TAP2']",L1P4c,LINE
3,GO:0051926,negative regulation of calcium ion transport,BP,3.048027632247114e-06,0.008162617999157771,718.45,2,10,"['LILRB1', 'LILRB2']","['ADRA2A', 'CAV3', 'INPP5K', 'LILRB1', 'LILRB2', 'NOS1', 'NOS3', 'PACSIN3', 'PLN', 'STC1']",L1P4c,LINE
4,GO:0071222,cellular response to lipopolysaccharide,BP,1.1540983797085376e-05,0.024094861147961107,62.655523255813954,3,172,"['FCAR', 'LILRB1', 'LILRB2']","['ABCA1', 'ABL1', 'ACOD1', 'ADAM9', 'ADAMTS13', 'AICDA', 'AKAP8', 'ANKRD1', 'ARID5A', 'ASS1', 'AXL', 'B2M', 'BCL10', 'BCR', 'BPI', 'CACTIN', 'CAMP', 'CAPN2', 'CARD16', 'CARD17P', 'CASP1', 'CASP7', 'CCL2', 'CCL27', 'CCL28', 'CCR5', 'CD14', 'CD180', 'CD200', 'CD274', 'CD36', 'CD40', 'CD68', 'CD80', 'CD86', 'CDC73', 'CDK19', 'CDK4', 'CEBPB', 'CEBPE', 'CHMP5', 'CMPK2', 'CSF2', 'CSF3', 'CTR9', 'CTSG', 'CX3CR1', 'CXCL10', 'CXCL13', 'CXCL5', 'CXCL6', 'CXCL8', 'CXCL9', 'DAB2IP', 'EDNRB', 'EFNB2', 'EPHB2', 'FCAR', 'GATA1', 'GBP2', 'GBP3', 'GBP5', 'GFI1', 'GHSR', 'GIT1', 'GSTP1', 'HADHB', 'HAVCR2', 'HDAC5', 'HMGB1', 'HMGB2', 'HMGCS2', 'IL10', 'IL12B', 'IL18', 'IL18R1', 'IL18RAP', 'IL1A', 'IL1B', 'IL1F10', 'IL24', 'IL36A', 'IL36B', 'IL36G', 'IL36RN', 'IL37', 'IL6', 'IRAK1', 'IRF3', 'IRF8', 'IRGM', 'JAK2', 'KLRK1', 'KMO', 'LBP', 'LCN2', 'LDOC1', 'LILRB1', 'LILRB2', 'LITAF', 'LY96', 'MALT1', 'MAP2K3', 'MAP2K7', 'MAPK14', 'MAPK8', 'MEF2C', 'MMP3', 'MMP8', 'MMP9', 'MRC1', 'MYD88', 'NFKB1', 'NFKBIB', 'NFKBIL1', 'NFKBIZ', 'NLRP3', 'NLRP7', 'NOD2', 'NOS2', 'NR1D1', 'NR1H3', 'NR1H4', 'NUGGC', 'OPRK1', 'PABPN1', 'PAF1', 'PDCD1LG2', 'PDCD4', 'PDE4B', 'PF4', 'PF4V1', 'PLAA', 'PLSCR3', 'PLSCR4', 'PPARD', 'PPBP', 'PPM1E', 'PRPF8', 'PYCARD', 'RARA', 'RELA', 'RHOA', 'RIPK2', 'SBNO2', 'SELENOS', 'SERPINE1', 'SHPK', 'SLC7A5', 'SPON2', 'STAP1', 'TBXA2R', 'TICAM1', 'TICAM2', 'TLR4', 'TLR9', 'TNF', 'TNFAIP3', 'TNFRSF1B', 'TNFSF4', 'TNIP1', 'TNIP2', 'TNIP3', 'TRAF6', 'TRIM41', 'TSPO', 'UPF1', 'VIM', 'WNT5A', 'XBP1', 'ZC3H12A', 'ZFP36']",L1P4c,LINE
9,GO:0042288,MHC class I protein binding,MF,1.156800119127547e-05,0.024094861147961107,378.1315789473684,2,19,"['LILRB1', 'LILRB2']","['ATP5F1A', 'ATP5F1B', 'BCAP31', 'CD244', 'CD8A', 'CD8B', 'CD8B2', 'DERL1', 'HLA-E', 'KLRK1', 'LILRB1', 'LILRB2', 'PILRA', 'PILRB', 'TAP1', 'TAPBP', 'TUBB', 'TUBB4B', 'VCP']",L1P4c,LINE
5,GO:0002250,adaptive immune response,BP,2.1569077093680936e-05,0.0404204844515161,50.83372641509434,3,212,"['LILRA1', 'LILRB1', 'LILRB2']","['ADGRE1', 'AKIRIN2', 'ALCAM', 'ANXA1', 'ARG1', 'ARG2', 'BCL10', 'BMX', 'BTK', 'BTLA', 'BTN3A1', 'BTN3A2', 'BTN3A3', 'BTNL8', 'C17orf99', 'C1QBP', 'CAMK4', 'CARD9', 'CD160', 'CD19', 'CD1A', 'CD1B', 'CD1C', 'CD1E', 'CD209', 'CD244', 'CD247', 'CD274', 'CD3D', 'CD3E', 'CD3G', 'CD4', 'CD46', 'CD6', 'CD7', 'CD74', 'CD79A', 'CD79B', 'CD81', 'CD84', 'CD86', 'CD8A', 'CD8B', 'CD8B2', 'CLEC10A', 'CLEC4A', 'CLEC4C', 'CLEC4D', 'CLEC4M', 'CLEC6A', 'CRACR2A', 'CRTAM', 'CSK', 'CTLA4', 'CTNNBL1', 'CTSH', 'CTSL', 'CTSS', 'CX3CR1', 'DBNL', 'DCLRE1C', 'EIF2AK4', 'EOMES', 'ERAP1', 'ERAP2', 'FBXO38', 'FCAMR', 'FCGR1BP', 'FCRL4', 'FGA', 'FGB', 'FGL1', 'FYN', 'GPR183', 'HAVCR2', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-DMA', 'HLA-DMB', 'HLA-DOA', 'HLA-DOB', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DQA1', 'HLA-DQA2', 'HLA-DQB1', 'HLA-DQB2', 'HLA-DRA', 'HLA-DRB1', 'HLA-DRB3', 'HLA-E', 'HMGB1', 'HMHB1', 'ICOSLG', 'IFNA1', 'IFNA10', 'IFNA14', 'IFNA16', 'IFNA17', 'IFNA2', 'IFNA21', 'IFNA4', 'IFNA5', 'IFNA6', 'IFNA7', 'IFNA8', 'IFNB1', 'IFNE', 'IFNG', 'IFNK', 'IFNW1', 'IGHV1OR15-1', 'IL17A', 'IL17F', 'IL17RA', 'IL18R1', 'IL2', 'IL4I1', 'ITK', 'JAK2', 'JAK3', 'JAM3', 'JCHAIN', 'KCNJ8', 'KLRC1', 'KLRD1', 'KLRK1', 'LAG3', 'LAIR1', 'LAMP3', 'LAT', 'LAT2', 'LAX1', 'LILRA1', 'LILRA3', 'LILRB1', 'LILRB2', 'LILRB3', 'LILRB4', 'LILRB5', 'LIME1', 'LY9', 'LYN', 'MARCHF8', 'MCOLN1', 'MCOLN2', 'MICA', 'MICB', 'MPEG1', 'MYO1G', 'NEDD4', 'NFKBIZ', 'NLRP10', 'NOD2', 'ORAI1', 'OTUB1', 'OTUD7B', 'PAG1', 'PDCD1', 'PDCD1LG2', 'PDIA3', 'PIK3CD', 'PIK3CG', 'PRDM1', 'PRKCB', 'PRKD2', 'PRR7', 'PTK2B', 'RAG1', 'RAP1GAP', 'RAP1GAP2', 'RAPGEF3', 'RAPGEF4', 'RIPK2', 'RNF125', 'RNF19B', 'SEMA4A', 'SH2D1A', 'SH2D1B', 'SIGLEC10', 'SIPA1', 'SIT1', 'SKAP1', 'SLAMF1', 'SLAMF6', 'SLAMF7', 'SYK', 'TAP1', 'TAP2', 'TARM1', 'TEC', 'TFE3', 'TFEB', 'THEMIS', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF14', 'TNFRSF17', 'TNFRSF21', 'TNFSF18', 'TRAT1', 'TREM1', 'TREX1', 'TRPM4', 'TSC1', 'TXK', 'UNC93B1', 'VTCN1', 'ZAP70', 'ZNF683']",L1P4c,LINE
