,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
0,GO:0006369,termination of RNA polymerase II transcription,BP,1.1685535760581957e-11,1.0952852668393468e-07,238.68770764119603,5,14,"['SSU72L1', 'SSU72L2', 'SSU72L3', 'SSU72L4', 'SSU72L5']","['MAZ', 'PCF11', 'POLR2A', 'SCAF8', 'SETX', 'SSU72', 'SSU72L1', 'SSU72L2', 'SSU72L3', 'SSU72L4', 'SSU72L5', 'SSU72L6', 'TTF2', 'XRN2']",MER65D,LTR
6,GO:0008420,RNA polymerase II CTD heptapeptide repeat phosphatase activity,MF,7.520418277048022e-12,1.0952852668393468e-07,257.0483005366726,5,13,"['SSU72L1', 'SSU72L2', 'SSU72L3', 'SSU72L4', 'SSU72L5']","['CTDP1', 'CTDSP1', 'CTDSP2', 'CTDSPL', 'CTDSPL2', 'RPAP2', 'SSU72', 'SSU72L1', 'SSU72L2', 'SSU72L3', 'SSU72L4', 'SSU72L5', 'SSU72L6']",MER65D,LTR
5,GO:0005847,mRNA cleavage and polyadenylation specificity factor complex,CC,2.45372263708219e-10,1.5332494851580911e-06,139.234496124031,5,24,"['SSU72L1', 'SSU72L2', 'SSU72L3', 'SSU72L4', 'SSU72L5']","['CPSF1', 'CPSF2', 'CPSF3', 'CPSF4', 'CPSF4L', 'CPSF6', 'CPSF7', 'CSNK1A1', 'CSTF2', 'CSTF2T', 'FIP1L1', 'NUDT21', 'PIP5K1A', 'SSU72', 'SSU72L1', 'SSU72L2', 'SSU72L3', 'SSU72L4', 'SSU72L5', 'SSU72L6', 'SYMPK', 'TUT1', 'WDR33', 'ZC3H3']",MER65D,LTR
1,GO:0031124,mRNA 3'-end processing,BP,2.8532834099794987e-09,1.3371912700868921e-05,87.937576499388,5,38,"['SSU72L1', 'SSU72L2', 'SSU72L3', 'SSU72L4', 'SSU72L5']","['CDC73', 'CLP1', 'CPSF1', 'CPSF2', 'CPSF3', 'CPSF4', 'CPSF6', 'CPSF7', 'CSTF1', 'CSTF2', 'CSTF2T', 'CSTF3', 'FIP1L1', 'LEO1', 'MBLAC1', 'NCBP1', 'NCBP2', 'NUDT21', 'PAF1', 'PAPOLA', 'PCF11', 'RPRD1A', 'RPRD1B', 'RPRD2', 'SSU72', 'SSU72L1', 'SSU72L2', 'SSU72L3', 'SSU72L4', 'SSU72L5', 'SSU72L6', 'SYMPK', 'TENT2', 'TENT4B', 'TUT1', 'WDR33', 'ZC3H3', 'ZCCHC8']",MER65D,LTR
7,GO:0004722,protein serine/threonine phosphatase activity,MF,3.2593488439677595e-07,0.001161290237166732,34.80862403100775,5,96,"['SSU72L1', 'SSU72L2', 'SSU72L3', 'SSU72L4', 'SSU72L5']","['BCKDK', 'CDC14A', 'CDC14B', 'CDC14C', 'CDKN3', 'CPPED1', 'CTDNEP1', 'CTDP1', 'CTDSP1', 'CTDSP2', 'CTDSPL', 'CTDSPL2', 'DUSP1', 'DUSP10', 'DUSP12', 'DUSP14', 'DUSP15', 'DUSP16', 'DUSP18', 'DUSP19', 'DUSP2', 'DUSP21', 'DUSP22', 'DUSP23', 'DUSP26', 'DUSP28', 'DUSP29', 'DUSP3', 'DUSP4', 'DUSP5', 'DUSP6', 'DUSP7', 'DUSP8', 'DUSP9', 'EPM2A', 'EYA1', 'FIG4', 'ILKAP', 'LCK', 'MTMR14', 'MTMR3', 'MTMR4', 'MTMR6', 'PDP1', 'PDP2', 'PDXP', 'PGAM5', 'PHLPP1', 'PHLPP2', 'PP2D1', 'PPA2', 'PPEF1', 'PPEF2', 'PPM1A', 'PPM1B', 'PPM1D', 'PPM1E', 'PPM1F', 'PPM1G', 'PPM1H', 'PPM1J', 'PPM1K', 'PPM1L', 'PPM1M', 'PPM1N', 'PPP1CA', 'PPP1CB', 'PPP1CC', 'PPP1R3C', 'PPP1R3D', 'PPP2CA', 'PPP2CB', 'PPP2R1A', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP4C', 'PPP5C', 'PPP6C', 'PPTC7', 'PTEN', 'PTPMT1', 'RPAP2', 'SSH1', 'SSH2', 'SSH3', 'SSU72', 'SSU72L1', 'SSU72L2', 'SSU72L3', 'SSU72L4', 'SSU72L5', 'SSU72L6', 'TAB1', 'TIMM50', 'UBLCP1']",MER65D,LTR
8,GO:0032396,inhibitory MHC class I receptor activity,MF,3.716921702230018e-07,0.001161290237166732,200.49767441860465,3,10,"['LILRA1', 'LILRB1', 'LILRB2']","['LILRA1', 'LILRA2', 'LILRA3', 'LILRA4', 'LILRA5', 'LILRB1', 'LILRB2', 'LILRB3', 'LILRB4', 'LILRB5']",MER65D,LTR
2,GO:0140105,interleukin-10-mediated signaling pathway,BP,6.80013966132949e-07,0.0018210774013040372,167.08139534883722,3,12,"['LILRA1', 'LILRB1', 'LILRB2']","['IL10', 'IL10RA', 'IL10RB', 'JAK1', 'LILRA1', 'LILRA2', 'LILRA3', 'LILRB1', 'LILRB2', 'LILRB4', 'STAT3', 'TYK2']",MER65D,LTR
9,GO:0023025,MHC class Ib protein complex binding,MF,2.1868539404103802e-06,0.005124345495866624,668.3255813953489,2,2,"['LILRB1', 'LILRB2']","['LILRB1', 'LILRB2']",MER65D,LTR
10,GO:0004721,phosphoprotein phosphatase activity,MF,2.782938650925577e-06,0.005796551994472318,22.578566939032054,5,148,"['SSU72L1', 'SSU72L2', 'SSU72L3', 'SSU72L4', 'SSU72L5']","['ACP1', 'CDC14A', 'CDC14B', 'CDC14C', 'CDC25A', 'CDC25B', 'CDC25C', 'CDKN3', 'CTDNEP1', 'CTDP1', 'CTDSP1', 'CTDSP2', 'CTDSPL', 'CTDSPL2', 'DLG1', 'DNAJC6', 'DUSP1', 'DUSP10', 'DUSP11', 'DUSP12', 'DUSP14', 'DUSP15', 'DUSP16', 'DUSP18', 'DUSP19', 'DUSP2', 'DUSP21', 'DUSP22', 'DUSP23', 'DUSP26', 'DUSP28', 'DUSP29', 'DUSP3', 'DUSP4', 'DUSP5', 'DUSP6', 'DUSP7', 'DUSP8', 'DUSP9', 'EPM2A', 'EYA1', 'EYA2', 'EYA3', 'EYA4', 'HTT', 'ILKAP', 'MDP1', 'MTM1', 'PDP1', 'PDP2', 'PDXP', 'PGP', 'PHLPP1', 'PHLPP2', 'PHPT1', 'PPEF1', 'PPEF2', 'PPM1A', 'PPM1B', 'PPM1D', 'PPM1E', 'PPM1F', 'PPM1G', 'PPM1H', 'PPM1J', 'PPM1K', 'PPM1L', 'PPM1M', 'PPM1N', 'PPP1CA', 'PPP1CB', 'PPP1CC', 'PPP1R3B', 'PPP1R3D', 'PPP1R3E', 'PPP2CA', 'PPP2CB', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PPP4C', 'PPP4R1', 'PPP5C', 'PPP6C', 'PPTC7', 'PTEN', 'PTP4A1', 'PTP4A2', 'PTP4A3', 'PTPA', 'PTPDC1', 'PTPMT1', 'PTPN1', 'PTPN11', 'PTPN12', 'PTPN13', 'PTPN14', 'PTPN18', 'PTPN2', 'PTPN20', 'PTPN21', 'PTPN22', 'PTPN23', 'PTPN3', 'PTPN4', 'PTPN5', 'PTPN6', 'PTPN7', 'PTPN9', 'PTPRA', 'PTPRB', 'PTPRC', 'PTPRD', 'PTPRE', 'PTPRF', 'PTPRG', 'PTPRH', 'PTPRJ', 'PTPRK', 'PTPRM', 'PTPRN2', 'PTPRO', 'PTPRQ', 'PTPRR', 'PTPRS', 'PTPRT', 'PTPRU', 'PTPRZ1', 'RNGTT', 'RPAP2', 'SSH1', 'SSH2', 'SSH3', 'SSU72', 'SSU72L1', 'SSU72L2', 'SSU72L3', 'SSU72L4', 'SSU72L5', 'SSU72L6', 'TIMM50', 'TNS1', 'TNS2', 'TNS3', 'TPTE', 'UBASH3B', 'UBLCP1']",MER65D,LTR
3,GO:0002767,immune response-inhibiting cell surface receptor signaling pathway,BP,6.178245688758369e-06,0.011581739368146438,83.54069767441861,3,24,"['LILRA1', 'LILRB1', 'LILRB2']","['FCAR', 'GP6', 'HLA-G', 'KIR2DL1', 'KIR2DL3', 'KIR2DL4', 'KIR2DS4', 'KIR3DL1', 'KIR3DL2', 'KIR3DL3', 'KIR3DX1', 'LAIR1', 'LAIR2', 'LILRA1', 'LILRA2', 'LILRA3', 'LILRA4', 'LILRA5', 'LILRB1', 'LILRB2', 'LILRB3', 'LILRB4', 'LILRB5', 'NCR1']",MER65D,LTR
4,GO:0002774,Fc receptor mediated inhibitory signaling pathway,BP,2.180620126568372e-05,0.03716173172059155,267.3302325581395,2,5,"['LILRB1', 'LILRB2']","['LILRB1', 'LILRB2', 'LILRB4', 'LYN', 'PSG9']",MER65D,LTR
11,GO:0023029,MHC class Ib protein binding,MF,3.267819788547443e-05,0.051048791463425315,222.7751937984496,2,6,"['LILRB1', 'LILRB2']","['KIR2DS4', 'KIR3DL2', 'LILRB1', 'LILRB2', 'TAP1', 'TAP2']",MER65D,LTR
