,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
0,GO:0071395,cellular response to jasmonic acid stimulus,BP,2.4331208087976993e-10,2.2805641340860835e-06,249.89565217391305,4,4,"['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']","['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']",MER68,LTR
8,GO:0140169,3-alpha-hydroxysteroid 3-dehydrogenase [NAD(P)+] activity,MF,2.4331208087976993e-10,2.2805641340860835e-06,249.89565217391305,4,4,"['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']","['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']",MER68,LTR
9,GO:0047086,ketosteroid monooxygenase activity,MF,1.212800727225097e-09,7.578387477520556e-06,199.91652173913045,4,5,"['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']","['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'AKR1D1']",MER68,LTR
10,GO:0047023,androsterone dehydrogenase [NAD(P)+] activity,MF,1.682230909288324e-08,6.307020125103784e-05,124.94782608695652,4,8,"['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']","['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'DHRS9', 'HSD17B6', 'RDH16', 'RDH5']",MER68,LTR
11,GO:0032052,bile acid binding,MF,1.682230909288324e-08,6.307020125103784e-05,124.94782608695652,4,8,"['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']","['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'NAPEPLD', 'NR1H4', 'PLA2G1B', 'PYGL']",MER68,LTR
1,GO:0044597,daunorubicin metabolic process,BP,3.0186615660583596e-08,8.083975673904286e-05,111.06473429951691,4,9,"['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']","['AKR1A1', 'AKR1B1', 'AKR1B10', 'AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'AKR7A2', 'CBR4']",MER68,LTR
12,GO:0047044,"androstan-3-alpha,17-beta-diol dehydrogenase (NAD+) activity",MF,3.0186615660583596e-08,8.083975673904286e-05,111.06473429951691,4,9,"['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']","['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'DHRS9', 'HSD17B10', 'HSD17B6', 'RDH16', 'RDH5']",MER68,LTR
2,GO:0044598,doxorubicin metabolic process,BP,5.0155622170788386e-08,0.00010446858813484435,99.95826086956522,4,10,"['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']","['AKR1A1', 'AKR1B1', 'AKR1B10', 'AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'AKR7A2', 'CBR4', 'SULT1C4']",MER68,LTR
3,GO:0042448,progesterone metabolic process,BP,5.0155622170788386e-08,0.00010446858813484435,99.95826086956522,4,10,"['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']","['AFP', 'AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'CYP17A1', 'CYP46A1', 'DHRS9', 'SRD5A1', 'STAT5B']",MER68,LTR
13,GO:0016655,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",MF,7.857255036938656e-08,0.00014729210292245204,90.8711462450593,4,11,"['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']","['AIFM2', 'AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'ALDH7A1', 'CBR1', 'CBR3', 'DCXR', 'DHRS4', 'NDUFS7']",MER68,LTR
14,GO:0004032,aldose reductase (NADPH) activity,MF,1.1749484903719886e-07,0.00020023258545921182,83.29855072463768,4,12,"['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']","['ADH4', 'AKR1A1', 'AKR1B1', 'AKR1B10', 'AKR1B15', 'AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'AKR1D1', 'AKR1E2', 'AKR7A2']",MER68,LTR
4,GO:0032787,monocarboxylic acid metabolic process,BP,7.129814389418238e-07,0.0010281192349541099,55.53236714975846,4,18,"['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']","['ACOT1', 'ACOT2', 'ACOT4', 'ADH7', 'AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'AKR1C8', 'AKR1D1', 'BAAT', 'CYP1A2', 'CYP2C18', 'CYP2C19', 'CYP2C8', 'CYP2C9', 'GLYAT', 'MCAT']",MER68,LTR
15,GO:0004303,estradiol 17-beta-dehydrogenase [NAD(P)+] activity,MF,7.129814389418238e-07,0.0010281192349541099,55.53236714975846,4,18,"['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']","['AKR1B15', 'AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'DHRS11', 'HSD17B1', 'HSD17B10', 'HSD17B11', 'HSD17B12', 'HSD17B13', 'HSD17B2', 'HSD17B3', 'HSD17B4', 'HSD17B6', 'HSD17B7', 'HSD17B8', 'RDH8']",MER68,LTR
5,GO:0006066,alcohol metabolic process,BP,9.00322778981024e-07,0.001205532201055591,52.60961098398169,4,19,"['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']","['ADH1A', 'ADH4', 'AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'AKR1C8', 'AKR1D1', 'ALDH2', 'ALDH3B1', 'ALDH3B2', 'CYP11A1', 'CYP11B1', 'CYP11B2', 'CYP24A1', 'CYP27A1', 'CYP27B1', 'CYP27C1', 'DHRS4']",MER68,LTR
16,GO:0047024,"5-alpha-androstane-3-beta,17-beta-diol dehydrogenase (NADP+) activity",MF,1.2375798724858872e-06,0.0015466448193080294,124.94782608695651,3,6,"['AKR1C1', 'AKR1C3', 'AKR1C4']","['AKR1C1', 'AKR1C3', 'AKR1C4', 'HSD17B6', 'HSD17B7', 'HSD3B1']",MER68,LTR
6,GO:0042445,hormone metabolic process,BP,4.6255524155226525e-06,0.005419412848836728,35.69937888198758,4,28,"['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']","['ACE', 'AHDC1', 'AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'AKR1C8', 'AKR1D1', 'ARL15', 'BBS1', 'CRHBP', 'CYP17A1', 'CYP1A1', 'CYP1A2', 'CYP1B1', 'DDO', 'FOXA1', 'GHR', 'GHRHR', 'KLK6', 'LEP', 'NAGLU', 'NR5A1', 'PAPSS2', 'PRLHR', 'PTPN11', 'SELENOM', 'WNT4']",MER68,LTR
7,GO:0006693,prostaglandin metabolic process,BP,5.349099088034215e-06,0.0055707895280160775,34.46836581709145,4,29,"['AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4']","['ACOX1', 'AKR1B1', 'AKR1C1', 'AKR1C2', 'AKR1C3', 'AKR1C4', 'ATP6V1B1', 'CES2', 'COMT', 'CYP2S1', 'CYP4F8', 'GSTA1', 'GSTP1', 'HPGD', 'HPGDS', 'PLA2G4A', 'PRXL2B', 'PTGDS', 'PTGES', 'PTGES2', 'PTGES3', 'PTGIS', 'PTGR1', 'PTGR2', 'PTGR3', 'PTGS1', 'PTGS2', 'TBXAS1', 'TNFRSF1A']",MER68,LTR
17,GO:0047045,testosterone dehydrogenase (NADP+) activity,MF,5.152415080229094e-06,0.0055707895280160775,83.29855072463768,3,9,"['AKR1C1', 'AKR1C3', 'AKR1C4']","['AKR1B15', 'AKR1C1', 'AKR1C3', 'AKR1C4', 'DHRS1', 'HSD17B1', 'HSD17B3', 'HSD17B6', 'SRD5A2']",MER68,LTR
18,GO:0047718,indanol dehydrogenase activity,MF,4.7499162380159835e-05,0.043519868811249425,166.59710144927536,2,3,"['AKR1C1', 'AKR1C2']","['AKR1B10', 'AKR1C1', 'AKR1C2']",MER68,LTR
19,GO:0047115,"trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity",MF,4.7499162380159835e-05,0.043519868811249425,166.59710144927536,2,3,"['AKR1C1', 'AKR1C2']","['AKR1C1', 'AKR1C2', 'DHDH']",MER68,LTR
