,Term ID,Term Name,Term Database,P-value,FDR,Fold Enrichment,Overlap Count,Total Term Genes (Human),Overlapping Genes,Full Term Gene List,subfamily_name,class_name
13,GO:0016251,RNA polymerase II general transcription initiation factor activity,MF,7.13230720984508e-22,1.3370223095575587e-17,61.57514539332721,14,54,"['TAF11L10', 'TAF11L11', 'TAF11L12', 'TAF11L13', 'TAF11L14', 'TAF11L2', 'TAF11L3', 'TAF11L4', 'TAF11L5', 'TAF11L6', 'TAF11L7', 'TAF11L8', 'TAF11L9', 'TBPL2']","['BRF2', 'CCNH', 'DR1', 'DRAP1', 'GTF2A1', 'GTF2A2', 'GTF2B', 'GTF2E1', 'GTF2E2', 'GTF2F1', 'GTF2F2', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'LINC02218', 'PRRX1', 'SNAPC1', 'SNAPC2', 'SNAPC4', 'SNAPC5', 'TAF1', 'TAF10', 'TAF11', 'TAF11L10', 'TAF11L11', 'TAF11L12', 'TAF11L13', 'TAF11L14', 'TAF11L2', 'TAF11L3', 'TAF11L4', 'TAF11L5', 'TAF11L6', 'TAF11L7', 'TAF11L8', 'TAF11L9', 'TAF12', 'TAF13', 'TAF1L', 'TAF2', 'TAF3', 'TAF4', 'TAF4B', 'TAF5', 'TAF6', 'TAF6L', 'TAF7', 'TAF7L', 'TAF8', 'TAF9', 'TAF9B', 'TBP', 'TBPL1', 'TBPL2']",MLT1E3,LTR
8,GO:0005669,transcription factor TFIID complex,CC,6.09247580644391e-21,5.710477573379877e-17,67.1207330219188,13,46,"['TAF11L10', 'TAF11L11', 'TAF11L12', 'TAF11L13', 'TAF11L14', 'TAF11L2', 'TAF11L3', 'TAF11L4', 'TAF11L5', 'TAF11L6', 'TAF11L7', 'TAF11L8', 'TAF11L9']","['ERCC2', 'ERCC3', 'GTF2A1', 'GTF2A2', 'GTF2B', 'GTF2E1', 'GTF2E2', 'GTF2F1', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'GTF2H5', 'LINC02218', 'TAF1', 'TAF10', 'TAF11', 'TAF11L10', 'TAF11L11', 'TAF11L12', 'TAF11L13', 'TAF11L14', 'TAF11L2', 'TAF11L3', 'TAF11L4', 'TAF11L5', 'TAF11L6', 'TAF11L7', 'TAF11L8', 'TAF11L9', 'TAF12', 'TAF13', 'TAF1L', 'TAF2', 'TAF3', 'TAF4', 'TAF4B', 'TAF5', 'TAF6', 'TAF6L', 'TAF7', 'TAF7L', 'TAF8', 'TAF9', 'TAF9B', 'TBP', 'TCEA1']",MLT1E3,LTR
0,GO:0051123,RNA polymerase II preinitiation complex assembly,BP,9.198470024814021e-19,5.747817302838788e-15,47.500826446280996,13,65,"['TAF11L10', 'TAF11L11', 'TAF11L12', 'TAF11L13', 'TAF11L14', 'TAF11L2', 'TAF11L3', 'TAF11L4', 'TAF11L5', 'TAF11L6', 'TAF11L7', 'TAF11L8', 'TAF11L9']","['DR1', 'ESR1', 'GTF2A1', 'GTF2A2', 'GTF2B', 'GTF2E1', 'GTF2E2', 'LINC02218', 'MED1', 'MED10', 'MED11', 'MED14', 'MED15', 'MED16', 'MED17', 'MED18', 'MED19', 'MED20', 'MED21', 'MED22', 'MED23', 'MED24', 'MED25', 'MED26', 'MED27', 'MED28', 'MED29', 'MED30', 'MED31', 'MED4', 'MED6', 'MED7', 'MED8', 'MED9', 'TAF1', 'TAF10', 'TAF11', 'TAF11L10', 'TAF11L11', 'TAF11L12', 'TAF11L13', 'TAF11L14', 'TAF11L2', 'TAF11L3', 'TAF11L4', 'TAF11L5', 'TAF11L6', 'TAF11L7', 'TAF11L8', 'TAF11L9', 'TAF12', 'TAF13', 'TAF1L', 'TAF2', 'TAF3', 'TAF4', 'TAF4B', 'TAF5', 'TAF6', 'TAF6L', 'TAF7', 'TAF7L', 'TAF8', 'TAF9', 'TBP']",MLT1E3,LTR
1,GO:0006367,transcription initiation at RNA polymerase II promoter,BP,4.699124617713025e-18,2.2022447520912092e-14,42.29525642477075,13,73,"['TAF11L10', 'TAF11L11', 'TAF11L12', 'TAF11L13', 'TAF11L14', 'TAF11L2', 'TAF11L3', 'TAF11L4', 'TAF11L5', 'TAF11L6', 'TAF11L7', 'TAF11L8', 'TAF11L9']","['CCNH', 'CDK7', 'CDK9', 'E2F2', 'E2F3', 'ELOA', 'ELOB', 'ELOC', 'ERCC2', 'ERCC3', 'GTF2A1', 'GTF2A1L', 'GTF2A2', 'GTF2B', 'GTF2E1', 'GTF2E2', 'GTF2F1', 'GTF2F2', 'GTF2H1', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'GTF2H5', 'LINC02218', 'MAZ', 'MED17', 'MED23', 'MED26', 'MED27', 'MED7', 'MNAT1', 'POLR2A', 'POLR2B', 'POLR2C', 'POLR2D', 'POLR2E', 'POLR2F', 'POLR2G', 'POLR2H', 'POLR2I', 'POLR2J', 'POLR2K', 'POLR2L', 'POLR2M', 'PPARGC1A', 'TAF1', 'TAF10', 'TAF11', 'TAF11L10', 'TAF11L11', 'TAF11L12', 'TAF11L13', 'TAF11L14', 'TAF11L2', 'TAF11L3', 'TAF11L4', 'TAF11L5', 'TAF11L6', 'TAF11L7', 'TAF11L8', 'TAF11L9', 'TAF12', 'TAF13', 'TAF2', 'TAF4', 'TAF4B', 'TAF5', 'TAF6', 'TAF6L', 'TAF7', 'TAF7L', 'TAF8', 'TBP']",MLT1E3,LTR
14,GO:0046982,protein heterodimerization activity,MF,1.4667982367748333e-11,5.4993199493162046e-08,10.540124211452882,15,338,"['H3Y1', 'H3Y2', 'TAF11L10', 'TAF11L11', 'TAF11L12', 'TAF11L13', 'TAF11L14', 'TAF11L2', 'TAF11L3', 'TAF11L4', 'TAF11L5', 'TAF11L6', 'TAF11L7', 'TAF11L8', 'TAF11L9']","['ABCD2', 'ABCG1', 'ABCG4', 'ABCG5', 'ABCG8', 'ABTB2', 'ABTB3', 'ADCY8', 'ADD1', 'ADD2', 'ADORA1', 'ADRA1A', 'ADRA1B', 'ADRA2A', 'ADRA2C', 'ADRB1', 'AGTR1', 'AHR', 'AOC3', 'APOA2', 'APP', 'ARNT', 'ARNT2', 'ATF2', 'ATF3', 'ATF4', 'ATF6', 'ATP1A1', 'ATP1A2', 'ATP1B1', 'ATP1B2', 'AURKA', 'BAK1', 'BARD1', 'BAX', 'BCL11A', 'BCL2', 'BDKRB2', 'BHLHA9', 'BHLHE40', 'BHLHE41', 'BIRC5', 'BMP6', 'BOK', 'BUD23', 'CAV1', 'CAV2', 'CD247', 'CEACAM6', 'CEACAM8', 'CEBPA', 'CEBPB', 'CENPA', 'CENPS', 'CENPT', 'CENPW', 'CFHR5', 'CHRAC1', 'CHUK', 'CLU', 'CREB3L3', 'CYBA', 'CYBB', 'DDIT3', 'DGKD', 'DR1', 'DRAP1', 'DUOX1', 'EPAS1', 'ERBB2', 'ERBB3', 'EXT1', 'EXT2', 'FBXO7', 'FMR1', 'FXR1', 'FXR2', 'FZD4', 'FZD9', 'GABBR1', 'GABBR2', 'GADD45A', 'GCA', 'GPHA2', 'GPHB5', 'GTF2A1', 'GTF2A2', 'H2AB1', 'H2AB2', 'H2AC1', 'H2AC11', 'H2AC12', 'H2AC14', 'H2AC18', 'H2AC20', 'H2AC21', 'H2AC25', 'H2AC4', 'H2AC6', 'H2AC7', 'H2AJ', 'H2AL3', 'H2AP', 'H2AX', 'H2AZ1', 'H2AZ2', 'H2BC1', 'H2BC10', 'H2BC11', 'H2BC12', 'H2BC12L', 'H2BC13', 'H2BC14', 'H2BC15', 'H2BC17', 'H2BC18', 'H2BC20P', 'H2BC21', 'H2BC26', 'H2BC3', 'H2BC5', 'H2BC9', 'H2BK1', 'H2BN1', 'H2BW1', 'H2BW2', 'H3-3A', 'H3-4', 'H3-5', 'H3-7', 'H3C1', 'H3C13', 'H3Y1', 'H3Y2', 'H4C1', 'H4C7', 'HEXA', 'HIF1A', 'HIP1', 'HIP1R', 'HNF1A', 'HSF1', 'IKBKB', 'IKBKG', 'IKZF3', 'IL12A', 'IL12B', 'IL17A', 'IL17F', 'IRAK1', 'IRAK2', 'IRAK3', 'ITGA3', 'ITGB1', 'JAM3', 'JDP2', 'KATNA1', 'KATNB1', 'KCNB1', 'KCNB2', 'KCNK1', 'KCNK12', 'KCNK13', 'KCNK16', 'KCNK17', 'KCNK2', 'KCNK3', 'KCNK5', 'KCNK9', 'KRT1', 'KRT10', 'KRT25', 'LINC02218', 'LSM5', 'LSM6', 'MACROH2A1', 'MACROH2A2', 'MAPK4', 'MAPK6', 'MCL1', 'MEF2A', 'MEF2C', 'METTL3', 'MICU1', 'MICU2', 'MICU3', 'MIGA1', 'MIGA2', 'MLX', 'MLXIPL', 'MTTP', 'NAE1', 'NEUROD1', 'NEUROD2', 'NFE2L1', 'NFYB', 'NFYC', 'NOLC1', 'NPAS1', 'NPAS3', 'NPAS4', 'NR4A1', 'NR4A2', 'P2RY1', 'P4HB', 'PAFAH1B1', 'PAFAH1B2', 'PAFAH1B3', 'PDCD6', 'PDGFA', 'PDGFB', 'PDSS1', 'PDSS2', 'PEF1', 'PGLYRP3', 'PGLYRP4', 'PHB1', 'PHB2', 'PIK3R1', 'PIK3R2', 'PML', 'POLE3', 'POLE4', 'PPP2CA', 'PPP2R1A', 'PRMT5', 'PSMF1', 'QTRT2', 'RALGAPA1', 'RALGAPA2', 'RALGAPB', 'RAN', 'RCC1', 'ROPN1B', 'RRAGA', 'RRAGC', 'RRAGD', 'RUNX1', 'SAE1', 'SDCBP', 'SDCBP2', 'SEPHS1', 'SIM1', 'SIM2', 'SLC3A1', 'SLC3A2', 'SLC51A', 'SLC51B', 'SLC7A13', 'SLC7A8', 'SLC7A9', 'SMC1A', 'SMC3', 'SNX1', 'SNX2', 'SOHLH1', 'SOHLH2', 'SOS1', 'SOS2', 'SRGAP2C', 'SRI', 'SUPT3H', 'SUPT4H1', 'SUPT5H', 'SUPT7L', 'SYT1', 'SYT10', 'SYT5', 'TAF1', 'TAF11', 'TAF11L10', 'TAF11L11', 'TAF11L12', 'TAF11L13', 'TAF11L14', 'TAF11L2', 'TAF11L3', 'TAF11L4', 'TAF11L5', 'TAF11L6', 'TAF11L7', 'TAF11L8', 'TAF11L9', 'TAF12', 'TAF13', 'TAF3', 'TAF4', 'TAF4B', 'TAF6', 'TAF6L', 'TAF7', 'TAF8', 'TAF9', 'TAF9B', 'TCF12', 'TCF3', 'TCF4', 'TCOF1', 'TENM1', 'TENM2', 'TENM3', 'TENM4', 'TFAP2B', 'TFEB', 'TLR4', 'TLR6', 'TOP2A', 'TP53', 'TPM1', 'TPM2', 'TPM4', 'TRMT112', 'TUBA1A', 'TUBB2B', 'UBA2', 'UBA3', 'UGT1A1', 'UGT1A10', 'UGT1A3', 'UGT1A4', 'UGT1A5', 'UGT1A6', 'UGT1A7', 'UGT1A8', 'UGT1A9', 'USF1', 'USF2', 'VAPA', 'VAPB', 'XBP1', 'YWHAE', 'YWHAH', 'ZBTB1', 'ZHX1', 'ZHX2', 'ZHX3', 'ZNF396', 'ZNF397']",MLT1E3,LTR
9,GO:0042612,MHC class I protein complex,CC,6.157148535240404e-08,0.00019236984406936102,95.00165289256199,4,10,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['B2M', 'HFE', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'MR1']",MLT1E3,LTR
15,GO:0030881,beta-2-microglobulin binding,MF,1.4418945554926064e-07,0.00038613936196092,79.168044077135,4,12,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['CD1D', 'FCGRT', 'HFE', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'MICA', 'MR1']",MLT1E3,LTR
2,GO:0002486,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",BP,2.896883036989324e-07,0.0006033885490155763,67.85832349468713,4,14,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['AZGP1', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'RAET1E', 'RAET1G', 'RAET1L', 'ULBP1', 'ULBP2', 'ULBP3']",MLT1E3,LTR
3,GO:0002476,antigen processing and presentation of endogenous peptide antigen via MHC class Ib,BP,2.896883036989324e-07,0.0006033885490155763,67.85832349468713,4,14,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['AZGP1', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'RAET1E', 'RAET1G', 'RAET1L', 'ULBP1', 'ULBP2', 'ULBP3']",MLT1E3,LTR
4,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,BP,6.820682958914465e-07,0.0012786052274781055,55.883325230918814,4,17,"['HLA-A', 'HLA-F', 'HLA-G', 'HLA-H']","['ABCB9', 'ACE', 'B2M', 'ERAP1', 'ERAP2', 'HFE', 'HLA-A', 'HLA-B', 'HLA-C', 'HLA-E', 'HLA-F', 'HLA-G', 'HLA-H', 'LNPEP', 'MR1', 'SAR1B', 'TAPBP']",MLT1E3,LTR
