,family_name,class_name,Observed_TEs_number,Total_TEs_number,Observed_Odds_Ratio,Enrichment_p_value,Enrichment_p_value_adjusted,Average_divergence_genes,Average_divergence_all,Observed_TEs_number_log,Total_TEs_number_log,Random_Odds_Ratio_Mean,Random_Odds_Ratio_SD,Random_Odds_Ratio_Quantile_Of_Observed,p_raw_empirical,p_raw_empirical_clamped,p_adjusted_empirical_bh,family_label,neg_log10_adj_p,OR_Observed_to_Random
0,PIF-Harbinger,DNA,16,402,0.43319173857045923,0.00027260411752050263,0.0004613300450346967,264.1875,266.9029850746269,1.2041199826559248,2.60422605308447,1.6563152976063407,0.34447826680165594,1.0,0.0,0.003992015968063872,0.008800000000000007,PIF-Harbinger (DNA),3.3359882601806627,0.26153941776453765
1,Merlin,DNA,10,232,0.4707545524821238,0.014089257689281397,0.022140262083156483,197.7,222.56034482758622,1.0,2.3654879848909,1.5660482606573465,0.44655236630245393,0.998,0.0040000000000000036,0.0040000000000000036,0.008800000000000007,Merlin (DNA),1.654817242509013,0.3006002843644967
2,hAT-hAT19,DNA,1,18,0.614750086625483,1.0,1.0,314.0,226.22222222222223,0.0,1.255272505103306,1.7077858066699418,2.3373266154951216,0.574,0.8520000000000001,0.8520000000000001,0.8718139534883722,hAT-hAT19 (DNA),-0.0,0.3599690805629782
3,hAT-Tip100?,DNA,4,67,0.6635397726239586,0.6621501088589132,0.8569001408762407,251.0,266.2835820895522,0.6020599913279624,1.8260748027008264,1.7986007099597936,0.9413928444434918,0.892,0.21599999999999997,0.21599999999999997,0.288,hAT-Tip100? (DNA),0.06706978577025038,0.3689199992803247
4,TcMar,DNA,16,223,0.8077875440028374,0.47698467553149826,0.6558539288558101,273.9375,265.39461883408075,1.2041199826559248,2.3483048630481607,1.5659226740878252,0.44509285060711345,0.968,0.06400000000000006,0.06400000000000006,0.10429629629629639,TcMar (DNA),0.18319287549594815,0.5158540439893601
5,Crypton-A,DNA,12,150,0.9087609956904336,0.8850156830490384,0.9750171766982025,245.25,269.4266666666667,1.0791812460476249,2.1760912590556813,1.57120408642309,0.5660228967987719,0.874,0.252,0.252,0.32611764705882357,Crypton-A (DNA),0.010987733348091068,0.5783850764793165
6,TcMar-Pogo,DNA,3,37,0.922125131202766,1.0,1.0,213.66666666666666,250.9189189189189,0.47712125471966244,1.568201724066995,1.6383023211804195,1.272176713587909,0.6,0.8,0.8,0.8585365853658538,TcMar-Pogo (DNA),-0.0,0.5628540711206232
7,Kolobok,DNA,33,404,0.9295816609808816,0.79124332829489,0.9670751790270877,258.8181818181818,252.52970297029702,1.5185139398778875,2.606381365110605,1.5658919749456546,0.3322228646867377,0.98,0.040000000000000036,0.040000000000000036,0.07652173913043485,Kolobok (DNA),0.014539763179138339,0.5936435436506681
8,Crypton,DNA,25,305,0.933102806061156,0.8391889232156486,0.9750171766982025,257.6,258.07540983606555,1.3979400086720377,2.484299839346786,1.5200639943857237,0.3608016817012412,0.948,0.10400000000000009,0.10400000000000009,0.1634285714285716,Crypton (DNA),0.010987733348091068,0.6138575806726047
9,ERVL-MaLR,LTR,21431,259882,0.9392659928180683,8.013508908678122e-19,1.9588577332324297e-18,208.40441416639447,206.46988248512787,4.331042436293782,5.41477620034984,1.5990667650201371,0.013065424637666332,1.0,0.0,0.003992015968063872,0.008800000000000007,ERVL-MaLR (LTR),17.707997104544173,0.5873838499834246
10,ERVL,LTR,9949,116199,0.9785829974437318,0.039142557123747264,0.05938870736016826,229.98803899889435,237.09224692122996,3.997779430865604,5.065202390564203,1.697779597268004,0.020755986704381398,1.0,0.0,0.003992015968063872,0.008800000000000007,ERVL (LTR),1.226296127365771,0.5763898912546873
11,PiggyBac,DNA,185,2156,0.9809178088932972,0.8487144638612993,0.9750171766982025,130.55135135135134,127.05844155844156,2.2671717284030137,3.3336487565147013,1.565221118822437,0.1366419036011347,1.0,0.0,0.003992015968063872,0.008800000000000007,PiggyBac (DNA),0.010987733348091068,0.626695996557516
12,L1-Tx1,LINE,13,151,0.9844910822809876,1.0,1.0,265.53846153846155,281.6158940397351,1.1139433523068367,2.1789769472931693,1.7463938184591774,0.5896214376141803,0.916,0.16799999999999993,0.16799999999999993,0.24639999999999992,L1-Tx1 (LINE),-0.0,0.5637279930076667
13,MULE-MuDR,DNA,212,2459,0.9860076959564614,0.8863792515438205,0.9750171766982025,192.33018867924528,185.62830418869459,2.3263358609287517,3.390758528738717,1.8534097137382017,0.1500363929327796,1.0,0.0,0.003992015968063872,0.008800000000000007,MULE-MuDR (DNA),0.010987733348091068,0.5319966161004686
14,Gypsy,LTR,1622,18413,1.0095360539364349,0.7147675275361766,0.8985648917597648,273.68927250308263,280.0096670830392,3.2100508498751372,4.265124553159181,1.706530523519118,0.052540958979211023,1.0,0.0,0.003992015968063872,0.008800000000000007,Gypsy (LTR),0.04645055393002546,0.5915722221332569
15,hAT?,DNA,3,34,1.0113630481920621,1.0,1.0,225.66666666666666,226.44117647058823,0.47712125471966244,1.5314789170422551,1.993731296142782,1.7051252423097807,0.652,0.696,0.696,0.7852307692307692,hAT? (DNA),-0.0,0.5072714914736599
16,hAT,DNA,275,3038,1.0401580795057472,0.5205386788820517,0.6940515718427357,254.22545454545454,261.0941408821593,2.439332693830263,3.4825877695267677,1.5464586241517913,0.12001964649971004,1.0,0.0,0.003992015968063872,0.008800000000000007,hAT (DNA),0.15860825788148886,0.672606472142931
17,Helitron,RC,173,1869,1.0660259906185654,0.41266152618336444,0.5857131339376785,263.6878612716763,272.4933119315142,2.2380461031287955,3.271609301378832,1.6137594996877738,0.1627682879857987,1.0,0.0,0.003992015968063872,0.008800000000000007,Helitron (RC),0.2323150373128181,0.660585416119823
18,TcMar-Mariner,DNA,1513,15617,1.1211001493961092,3.079350504917712e-05,5.645475925682473e-05,156.6259087904825,154.89511429852084,3.179838928023187,4.193597610298094,1.5462796698483494,0.05013250630622608,1.0,0.0,0.003992015968063872,0.008800000000000007,TcMar-Mariner (DNA),4.24829944024297,0.7250306469502121
19,TcMar-Tigger,DNA,11686,106067,1.2939963880297698,1.650434117386077e-142,8.068789018331933e-142,209.92041759370187,210.42718281840723,4.067665881974249,5.025580285436279,1.6459076705193616,0.021378936687753487,1.0,0.0,0.003992015968063872,0.008800000000000007,TcMar-Tigger (DNA),141.0931916402618,0.7861901437165384
20,TcMar-Tc2,DNA,775,6918,1.318466218343441,2.655214236579879e-12,5.310428473159758e-12,238.20387096774195,242.2442902572998,2.88930170250631,3.839980557678343,1.6099868659117724,0.08253309927170292,1.0,0.0,0.003992015968063872,0.008800000000000007,TcMar-Tc2 (DNA),11.274870436353252,0.8189297976643825
21,hAT-Blackjack,DNA,1983,16167,1.4610750039305582,1.9930628548787616e-51,6.263911829618965e-51,217.16641452344933,227.3720541844498,3.2973227142053028,4.208629438315688,1.5580215731662346,0.04983944186862643,0.978,0.04400000000000004,0.04400000000000004,0.08066666666666675,hAT-Blackjack (DNA),50.20315436400558,0.9377758492530626
22,tRNA-Deu,SINE,56,455,1.4667722359042348,0.00979025138547958,0.015954483739300057,285.51785714285717,278.63956043956046,1.7481880270062005,2.6580113966571126,1.5708087871021577,0.32686603796677605,0.582,0.8360000000000001,0.8360000000000001,0.8718139534883722,tRNA-Deu (SINE),1.7971172442940802,0.9337687998360065
23,tRNA-RTE,SINE,527,4154,1.5184862639092769,1.5853479083620725e-17,3.6713319983121677e-17,307.22201138519927,311.30621088107847,2.7218106152125467,3.6184664921990803,1.5244671176216766,0.0994185988950497,0.494,0.988,0.988,0.988,tRNA-RTE (SINE),16.435176340498614,0.9960767578104731
24,ERV1,LTR,15501,116610,1.6022368545274372,0.0,0.0,154.62241145732534,162.70687762627563,4.190359716265324,5.066735795350929,1.777234221542296,0.021572019571321027,1.0,0.0,0.003992015968063872,0.008800000000000007,ERV1 (LTR),300.0,0.9015338749987636
25,hAT-Tip100,DNA,7629,57232,1.6073549468712756,2.731598035343319e-290,1.5023789194388253e-289,248.32835233975618,256.4433883142298,3.882467614895371,4.757638922804895,1.6254858468517495,0.027866914381950592,0.738,0.524,0.524,0.6231351351351352,hAT-Tip100 (DNA),288.8232205188155,0.9888458579841898
26,hAT-Charlie,DNA,31570,232104,1.6453331213013533,0.0,0.0,227.03063034526448,233.11264777858202,4.499274581892218,5.3656826250011935,1.5804522400350816,0.013199572290230471,0.0,0.0,0.003992015968063872,0.008800000000000007,hAT-Charlie (DNA),300.0,1.0410520986479361
