subfamily_name,subfamily_name,subfamily_name.1,class_name,Observed_TEs_number,Total_TEs_number,Observed_Odds_Ratio,Enrichment_p_value,Enrichment_p_value_adjusted,Average_divergence_genes,Average_divergence_all,Observed_TEs_number_log,Total_TEs_number_log,Random_Odds_Ratio_Mean,Random_Odds_Ratio_SD,Random_Odds_Ratio_Quantile_Of_Observed,p_raw_empirical,p_raw_empirical_clamped,p_adjusted_empirical_bh,Status,OR_Observed_to_Random,Enrichment_p_value_adjusted_log,avg_weight,total_weight,node_degree,gene_number
L1MC3,L1MC3,L1MC3,LINE,1035,6404,2.0146300074569345,7.501252038949902e-81,1.1586393352053699e-79,185.88888888888889,192.77311055590252,3.014940349792937,3.8064513232472623,3.033173497470073,0.143434174038868,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.664198737440278,-78.93605173151394,0.006743826316813407,5.179258611312696,768.0,817.0
LTR60B,LTR60B,LTR60B,LTR,19,201,1.0910125252373375,0.7071403393042195,0.7756827330371621,197.1578947368421,188.0199004975124,1.2787536009528289,2.303196057420489,1.6612833172797663,0.519001207399127,0.87,0.26,0.26,0.3696268656716417,Non-Significant,0.6567287553478796,-0.11031587599186429,0.008842472942182364,1.0080419154087894,114.0,17.0
MER34C_v,MER34C_v,MER34C_v,LTR,26,420,0.6896434701406069,0.0690165119149404,0.1117363641909021,162.80769230769232,166.08809523809524,1.414973347970818,2.6232492903979003,1.676311412203167,0.3446148103768632,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.41140534218174424,-0.9518054643300522,0.007379227495619757,1.3208817217159365,179.0,24.0
MSTA1,MSTA1,MSTA1,LTR,20,502,0.4336410993331694,4.901459092719936e-05,0.0001333897081661,169.15,171.51195219123505,1.3010299956639813,2.7007037171450192,1.5846878333913337,0.3068889858713053,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.2736444933795886,-3.8748776776091165,0.004528588601829264,0.36228708814634114,80.0,18.0
MER4A1,MER4A1,MER4A1,LTR,202,1778,1.3395001264885675,0.000152989369235,0.0003983299522452,103.75742574257426,106.4167604049494,2.305351369446624,3.249931756634195,1.7199911836134278,0.1757820860841522,0.988,0.024,0.024,0.0523511450381679,Non-Significant,0.778783135198688,-3.399757035780655,0.006375372363140103,2.9517974041338677,463.0,167.0
MLT1I,MLT1I,MLT1I,LTR,671,8729,0.8702471676860386,0.0004519960498111,0.0011182499673899,278.09985096870344,285.0704548058197,2.826722520168992,3.9409644934928,1.579306063453758,0.0725330047487802,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.5510313598004618,-2.951461105820082,0.006786340851912496,4.59435275674476,677.0,563.0
L1M5,L1M5,L1M5,LINE,5750,32019,2.287583673260752,0.0,0.0,246.7412173913044,251.2081264249352,3.759667844689631,4.50540776414594,2.663780257221313,0.0612180689129617,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.8587734168609743,-inf,0.0076983614555179184,6.705272827756107,871.0,1436.0
MLT1H2,MLT1H2,MLT1H2,LTR,310,3839,0.9180313501209664,0.1529286358372957,0.222671886321056,247.1516129032258,253.34983068507424,2.4913616938342726,3.584218112117405,1.6049007407677505,0.1118259540591449,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.5720175253217216,-0.6523346118225762,0.006553221222667487,3.6566974422484573,558.0,267.0
L1MA4,L1MA4,L1MA4,LINE,827,6651,1.4839938273960327,5.0308482935072135e-24,3.9117412241352e-23,151.6541717049577,154.96662156066756,2.9175055095525466,3.822886947834151,2.685618735848506,0.1304004086435713,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.5525705520248291,-22.407629883088777,0.0067291657371660275,4.925749319605532,732.0,659.0
AluY,AluY,AluY,SINE,17358,111981,1.917183751602156,0.0,0.0,71.24951031224795,81.13510327644869,4.239499684031626,5.049144341463508,1.535472727420903,0.0201375646845096,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.2485951182098844,-inf,0.006922181140600878,5.75925470897993,832.0,1436.0
MER4D1,MER4D1,MER4D1,LTR,161,1100,1.7918758580604344,1.5191955449273716e-10,6.730389565317775e-10,129.29192546583852,130.98272727272726,2.206825876031849,3.041392685158225,1.6797256050095737,0.2120953377114013,0.276,0.552,0.552,0.6648429926238146,Non-Significant,1.0667670080853602,-9.171959797414749,0.006733100118904282,2.740371748394043,407.0,126.0
MER4A,MER4A,MER4A,LTR,127,684,2.3828470366398253,9.474574690950403e-16,5.553558395772468e-15,117.73228346456692,121.57748538011695,2.103803720955957,2.835056101720116,1.6813319378649108,0.2835592153261603,0.01,0.02,0.02,0.0450887573964497,Significant,1.4172377167031955,-14.255428657157632,0.006375491527743339,2.5884495602637956,406.0,107.0
MIRb,MIRb,MIRb,SINE,33131,206087,2.002040632700369,0.0,0.0,282.24381998732304,289.9157443215729,4.520234544482251,5.314050597279791,1.5337016097283926,0.0149451892810593,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.3053651505620547,-inf,0.0071962314104714094,5.548294417473457,771.0,1436.0
MER31B,MER31B,MER31B,LTR,157,1153,1.6473577879775425,3.744929356211937e-08,1.4173689583278954e-07,187.0891719745223,193.520381613183,2.1958996524092336,3.061829307294699,1.6132247425620423,0.2042187035452496,0.406,0.812,0.812,0.864972972972973,Non-Significant,1.0211582704597575,-6.848517082915357,0.007062335333617118,3.0862405407906803,437.0,132.0
AluJb,AluJb,AluJb,SINE,45199,251692,2.28776601056212,0.0,0.0,170.50344034160048,176.1032571555711,4.655128826420096,5.400869411769775,1.5394969018427933,0.0133156009448922,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.4860478171951117,-inf,0.007397620320072588,5.792336710616836,783.0,1436.0
AluSx3,AluSx3,AluSx3,SINE,3638,19746,2.360325724393465,0.0,0.0,109.14183617372184,113.68737972247544,3.5608626947274646,4.295479132678017,1.5314887106409716,0.0429043717676777,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.5411969464702104,-inf,0.007292802600072699,6.104075776260849,837.0,1436.0
AluSx,AluSx,AluSx,SINE,58886,301005,2.5420711058947845,0.0,0.0,115.54165676052033,120.18273450607133,4.770012054626552,5.478573709727977,1.536607213911256,0.0130425010479127,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.6543402132183385,-inf,0.006932372224020237,5.476574056975988,790.0,1436.0
MER112,MER112,MER112,DNA,743,4054,2.3451889211791204,1.3125442830712354e-81,2.0836640493755862e-80,243.54912516823688,253.2427232363098,2.8709888137605755,3.60788374435699,1.5384601311408936,0.1029276150629676,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.5243741932005554,-79.68117230133396,0.006478721299576353,4.250041172522088,656.0,560.0
Ricksha_0,Ricksha_0,Ricksha_0,DNA,22,246,1.026413095559502,0.909876949186012,0.941166835221368,145.04545454545453,152.16260162601623,1.3424226808222062,2.3909351071033798,1.8269118629336167,0.4995894928481021,0.972,0.056,0.056,0.1084881355932204,Non-Significant,0.5618295640772235,-0.026333384868435988,0.0070409089129780675,0.8519499784703461,121.0,17.0
MIR3,MIR3,MIR3,SINE,15134,78717,2.4875663504971577,0.0,0.0,275.48962600766487,284.58489271694805,4.179953729631548,4.896068534251123,1.523317913391641,0.0222751533310737,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.6329922523911204,-inf,0.006716424720667256,5.332841228209801,794.0,1436.0
MER46C,MER46C,MER46C,DNA,385,2495,1.9068919584887545,2.9188789399199742e-27,2.5084801716755874e-26,249.13506493506492,253.13466933867736,2.5854607295085006,3.397070549959409,1.536931605394668,0.1316519639254003,0.002,0.004,0.004,0.0107072599531616,Significant,1.2407136087224158,-25.60058932751082,0.005720782221762506,3.1521510041911407,551.0,283.0
Charlie20a,Charlie20a,Charlie20a,DNA,58,655,1.015315894063862,0.889906012381395,0.9246932474108496,253.68965517241375,275.26412213740457,1.7634279935629371,2.816241299991783,1.64676884220703,0.2648273114032605,0.998,0.004,0.004,0.0107072599531616,Significant,0.6165503427324487,-0.034002313802939,0.006242747330687931,1.360918918089969,218.0,40.0
AluSg,AluSg,AluSg,SINE,6595,34195,2.497235768482332,0.0,0.0,104.1005307050796,108.50615587074134,3.819214799882384,4.533962608069048,1.5322455199361262,0.0353461139708692,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.6297882656471612,-inf,0.006741101277030107,5.467033135671417,811.0,1436.0
L1MD3,L1MD3,L1MD3,LINE,754,3849,2.5460031926034925,1.961132141910893e-96,3.558054028895477e-95,192.02519893899205,198.6326318524292,2.877371345869774,3.585347911094591,3.023192154326538,0.1908874378531715,0.996,0.008,0.008,0.0200526315789473,Significant,0.8421572505604273,-94.44878746145923,0.006552207763152039,4.566888810916971,697.0,594.0
L1ME1,L1ME1,L1ME1,LINE,2149,14169,1.8684482004574816,7.668435121869901e-136,1.6855810277494801e-134,217.8092135877152,223.53384148493188,3.3322364154914434,4.151339200296363,2.6881668866962336,0.0876278388545862,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.6950640638066229,-133.7732503656238,0.007365474233540302,6.33430784084466,860.0,1436.0
L1MD,L1MD,L1MD,LINE,713,4878,1.789050281983634,6.72205807217964e-41,7.760921592425585e-40,216.015427769986,227.01086510865107,2.8530895298518657,3.688241795977712,2.681222403460006,0.1481309057707416,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.6672517280457373,-39.1100867041619,0.006934151948851253,4.944050339530944,713.0,572.0
AluYf1,AluYf1,AluYf1,SINE,244,1358,2.289034696814585,8.271818743646186e-27,6.951977076461464e-26,68.68032786885246,73.84167893961708,2.3873898263387296,3.132899769944483,1.5252073924435203,0.1805657037263483,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.5008022568965813,-25.157891668605235,0.005653030033941547,2.5212513951379303,446.0,199.0
MER39B,MER39B,MER39B,LTR,146,1369,1.2475959778538228,0.0127868483039432,0.0251555380574993,137.76027397260273,172.99488677867058,2.164352855784437,3.13640344813399,1.6338884212338638,0.1861021203053588,0.99,0.02,0.02,0.0450887573964497,Significant,0.7635747714716502,-1.5993663890158794,0.006117146272661843,2.147118341704307,351.0,123.0
AluSq2,AluSq2,AluSq2,SINE,5106,29577,2.180625189915387,0.0,0.0,103.36917352134743,107.0516955742638,3.708080810468232,4.470954121333649,1.5349492529802868,0.0405907132095401,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.4206496961912216,-inf,0.007227852599528834,6.085851888803278,842.0,1436.0
AluSx1,AluSx1,AluSx1,SINE,10175,54030,2.424780113395101,0.0,0.0,106.26800982800982,111.09181935961504,4.007534417897258,4.732634967539195,1.53355821602692,0.0284087640746388,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.5811464397335513,-inf,0.007165599532663983,5.804135621457826,810.0,1436.0
MLT1K,MLT1K,MLT1K,LTR,1315,13573,1.1211246035312872,0.0001055388630043,0.0002792382416989,270.5368821292776,277.8407131805791,3.1189257528257768,4.132675849092962,1.5998066099173447,0.0567183528257791,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.700787580562135,-3.5540251053127925,0.007206113630898225,5.7144481093022925,793.0,1047.0
LTR9B,LTR9B,LTR9B,LTR,61,515,1.4041759524548925,0.0153591279306414,0.0295050138230641,122.52459016393442,123.7009708737864,1.7853298350107671,2.711807229041191,1.7226667248602394,0.3097488348567704,0.844,0.312,0.312,0.4291407942238268,Non-Significant,0.8151175919235415,-1.530104177558483,0.006443433818157047,1.5850847192666335,246.0,48.0
MER5A,MER5A,MER5A,DNA,4342,31115,1.6948963407731754,4.348939958615097e-201,1.1835329458802516e-199,245.11768770152003,247.5902940703841,3.637689819118401,4.492969805320489,1.5168608767537537,0.0351841459577521,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.1173709908059841,-198.9268196481575,0.007572403725786191,6.338101918483042,837.0,1436.0
MER4E1,MER4E1,MER4E1,LTR,125,758,2.0637349861966454,7.723104073594683e-12,3.693517973271432e-11,95.44,99.47493403693932,2.096910013008056,2.8796692056320534,1.672485496547788,0.2481188634531139,0.046,0.092,0.092,0.1637943925233646,Non-Significant,1.233932964116247,-10.432559783288829,0.00703035697218957,2.678566006404226,381.0,95.0
AluSx4,AluSx4,AluSx4,SINE,1624,9561,2.1383487878431007,7.587748570089709e-145,1.8068326282526122e-143,105.9045566502463,108.6362305198201,3.2105860249051563,3.9805033181933953,1.5349942624678885,0.0681473059097961,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.3930663065835622,-142.74308207543734,0.006526707505518798,5.345373447019896,819.0,1333.0
L2c,L2c,L2c,LINE,17631,86373,2.6805254631084976,0.0,0.0,292.237592876184,298.6011485070566,4.246276945434062,4.936378004243094,2.120097171381357,0.0283794185640314,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.2643408515855863,-inf,0.006874440716895924,5.630166947137761,819.0,1436.0
L1ME4a,L1ME4a,L1ME4a,LINE,3977,21065,2.432291447363143,0.0,0.0,247.4201659542369,251.40488962734395,3.59955559098598,4.323561463462867,2.645689491877207,0.0711821922197604,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.9193412359351926,-inf,0.0077641446023044396,6.43647587531038,829.0,1436.0
MIRc,MIRc,MIRc,SINE,14136,82173,2.171406170318901,0.0,0.0,279.9165959252971,288.2740316162243,4.150326536498707,4.9147291426346,1.5358940846949412,0.0227599738569564,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.4137733792693037,-inf,0.006884858489523528,5.501001933129299,799.0,1436.0
MLT1E3,MLT1E3,MLT1E3,LTR,164,1337,1.4611454145975324,1.2472958344804762e-05,3.618424210180671e-05,231.0548780487805,226.59985041136875,2.214843848047698,3.126131407261985,1.6202747408426532,0.1883602452374963,0.792,0.4159999999999999,0.4159999999999999,0.5360631341600901,Non-Significant,0.9017886768003538,-4.441480519471541,0.006207104886588702,2.085587241893804,336.0,121.0
