our_set,their_category,gene
LINE,L1-enriched genes,ARHGAP20
LINE,L1-enriched genes,CASP8
LINE,L1-enriched genes,CD86
LINE,L1-enriched genes,CEP112
LINE,L1-enriched genes,CLDN34
LINE,L1-enriched genes,CPS1
LINE,L1-enriched genes,CYP2J2
LINE,L1-enriched genes,DDX4
LINE,L1-enriched genes,DNAH9
LINE,L1-enriched genes,DYNAP
LINE,L1-enriched genes,FETUB
LINE,L1-enriched genes,GABRA3
LINE,L1-enriched genes,GBP6
LINE,L1-enriched genes,GPR34
LINE,L1-enriched genes,HTR7
LINE,L1-enriched genes,KBTBD3
LINE,L1-enriched genes,MCF2
LINE,L1-enriched genes,NLRP9
LINE,L1-enriched genes,NOX4
LINE,L1-enriched genes,OCRL
LINE,L1-enriched genes,OOSP1
LINE,L1-enriched genes,OXCT1
LINE,L1-enriched genes,PDCD6IP
LINE,L1-enriched genes,POLK
LINE,L1-enriched genes,PRLR
LINE,L1-enriched genes,SCAPER
LINE,L1-enriched genes,SCN7A
LINE,L1-enriched genes,SPIN4
LINE,L1-enriched genes,STK33
LINE,L1-enriched genes,SYCP3
LINE,L1-enriched genes,TAS2R10
LINE,L1-enriched genes,TEX28
LINE,L1-enriched genes,TMEM126A
LINE,L1-enriched genes,TMEM140
LINE,L1-enriched genes,WDR48
LINE,L1-enriched genes,ZC2HC1A
LINE,Low-complexity-repeat-enriched genes,ACTR5
LINE,Low-complexity-repeat-enriched genes,AHSA2P
LINE,Low-complexity-repeat-enriched genes,ANKS1B
LINE,Low-complexity-repeat-enriched genes,ARAP1
LINE,Low-complexity-repeat-enriched genes,C1orf198
LINE,Low-complexity-repeat-enriched genes,C2CD4B
LINE,Low-complexity-repeat-enriched genes,CACNB4
LINE,Low-complexity-repeat-enriched genes,CALR4P
LINE,Low-complexity-repeat-enriched genes,CAPN6
LINE,Low-complexity-repeat-enriched genes,CDYL
LINE,Low-complexity-repeat-enriched genes,CLCN3
LINE,Low-complexity-repeat-enriched genes,CLDN34
LINE,Low-complexity-repeat-enriched genes,CMAS
LINE,Low-complexity-repeat-enriched genes,CPLX2
LINE,Low-complexity-repeat-enriched genes,CSRNP1
LINE,Low-complexity-repeat-enriched genes,CUL4B
LINE,Low-complexity-repeat-enriched genes,DAB2IP
LINE,Low-complexity-repeat-enriched genes,DOCK11
LINE,Low-complexity-repeat-enriched genes,DRAP1
LINE,Low-complexity-repeat-enriched genes,DRP2
