our_set,their_category,n_ours_in_universe,n_theirs_in_universe,n_shared,n_expected_by_chance,fold_over_expected,jaccard,overlap_coefficient,fisher_odds_ratio,fisher_p_raw,fisher_p_adjusted,significant,direction
LINE,L1-enriched genes,940,516,36,26.032632030914556,1.382879762493815,0.02535211267605634,0.06976744186046512,1.4279867256637169,0.05162187700065884,0.0709800808759059,False,excess
LINE,Low-complexity-repeat-enriched genes,940,2032,82,102.51610133104337,0.7998743508125313,0.02837370242214533,0.08723404255319149,0.77152830075907,0.02758096777798485,0.03957269289884783,True,depletion
LINE,SINE-enriched genes,940,1684,52,84.9592099613568,0.6120584221963916,0.02021772939346812,0.05531914893617021,0.5762564034622858,5.3497064428698995e-05,0.00012610022329621906,True,depletion
LTR,L1-enriched genes,668,516,24,18.499785315586088,1.2973123520401058,0.020689655172413793,0.046511627906976744,1.3234358430540827,0.18565718567719744,0.2450674850939006,False,excess
LTR,Low-complexity-repeat-enriched genes,668,2032,37,72.85186775440103,0.5078799094723938,0.013894104393541119,0.05538922155688623,0.4693612001477545,1.3267055478671807e-06,3.648440256634747e-06,True,depletion
LTR,SINE-enriched genes,668,1684,35,60.37526835551739,0.5797075682364486,0.015105740181268883,0.05239520958083832,0.5470547040333699,0.000255573423407762,0.0004961131160268322,True,depletion
SINE,L1-enriched genes,1103,516,4,30.546801202232718,0.1309466079121775,0.002476780185758514,0.007751937984496124,0.12096934713375797,1.8422214055868836e-09,7.599163298045895e-09,True,depletion
SINE,Low-complexity-repeat-enriched genes,1103,2032,55,120.29282954057535,0.4572176098114662,0.017857142857142856,0.04986400725294651,0.41283925447995456,1.4393781562212066e-12,7.916579859216636e-12,True,depletion
SINE,SINE-enriched genes,1103,1684,270,99.6914984972091,2.7083553168534102,0.10727056019070322,0.24478694469628287,3.694023578313928,3.675015180023761e-56,6.0637750470392054e-55,True,excess
DNA,L1-enriched genes,923,516,27,25.561829111206528,1.0562624404746908,0.019121813031161474,0.05232558139534884,1.0611579754601228,0.7571564256759586,0.7808175639783324,False,excess
DNA,Low-complexity-repeat-enriched genes,923,2032,98,100.66208673250323,0.9735542266317468,0.03430171508575429,0.10617551462621885,0.9689135407853091,0.8284710054054636,0.8284710054054636,False,depletion
DNA,SINE-enriched genes,923,1684,62,83.42271361099185,0.7432028678557734,0.0243614931237721,0.06717226435536294,0.714188330891588,0.011207004999796414,0.01681050749969462,True,depletion
SVA,L1-enriched genes,684,516,24,18.942893945899527,1.2669658642730859,0.02040816326530612,0.046511627906976744,1.290169992609017,0.2336361944924582,0.29653824685581237,False,excess
SVA,Low-complexity-repeat-enriched genes,684,2032,70,74.59682267067411,0.9383777685684026,0.026455026455026454,0.1023391812865497,0.9289032330899468,0.6170742514175109,0.678781676559262,False,depletion
SVA,SINE-enriched genes,684,1684,93,61.82138256762559,1.5043338750677169,0.04087912087912088,0.13596491228070176,1.6178153126565356,7.432369861027453e-05,0.00016351213694260397,True,excess
Helitron,L1-enriched genes,82,516,3,2.2709317303563763,1.3210436755530346,0.005042016806722689,0.036585365853658534,1.335183951439781,0.4968408256692298,0.5653705947270546,False,excess
Helitron,Low-complexity-repeat-enriched genes,82,2032,11,8.942893945899527,1.2300268868830422,0.005230622919638612,0.13414634146341464,1.267110829250615,0.47519934882798687,0.5600563754044131,False,excess
Helitron,SINE-enriched genes,82,1684,6,7.411335337054529,0.8095707085336887,0.003409090909090909,0.07317073170731707,0.7938021454112039,0.7022743003505507,0.7475823197280056,False,depletion
TE_top,L1-enriched genes,1044,516,16,28.91283812795191,0.5533873889928421,0.010362694300518135,0.031007751937984496,0.5319221789883268,0.011146247670491662,0.01681050749969462,True,depletion
TE_top,Low-complexity-repeat-enriched genes,1044,2032,61,113.85830828681837,0.5357536126949649,0.02023217247097844,0.05842911877394636,0.4916853893149549,8.552196121287856e-09,3.135805244472214e-08,True,depletion
TE_top,SINE-enriched genes,1044,1684,198,94.35895234006011,2.0983700548775492,0.0782608695652174,0.1896551724137931,2.5360384868703645,7.861916585079694e-25,6.486081182690748e-24,True,excess
TE_bottom,L1-enriched genes,910,516,11,25.201803349076858,0.43647670159298063,0.0077738515901060075,0.02131782945736434,0.4171565766142799,0.0017557057481739921,0.003049383667881144,True,depletion
TE_bottom,Low-complexity-repeat-enriched genes,910,2032,235,99.24431086303134,2.3678939171065156,0.08681196896933875,0.25824175824175827,3.085286176549393,1.378876149184507e-38,1.5167637641029577e-37,True,excess
TE_bottom,SINE-enriched genes,910,1684,25,82.24774581365394,0.30395969825898567,0.00973141300116777,0.027472527472527472,0.2735123943019244,1.368095357910498e-14,9.029429362209287e-14,True,depletion
L1 (family),L1-enriched genes,797,516,49,22.07234864748819,2.2199721825061034,0.038765822784810125,0.09496124031007752,2.436281189524671,1.9141097259861957e-07,6.316562095754445e-07,True,excess
L1 (family),Low-complexity-repeat-enriched genes,797,2032,48,86.92056676685273,0.5522283365771248,0.017259978425026967,0.060225846925972396,0.5120052543175847,1.686714536162882e-06,4.2816599764134695e-06,True,depletion
L1 (family),SINE-enriched genes,797,1684,48,72.03456419063976,0.6663467814279797,0.01972872996300863,0.060225846925972396,0.6345477751916981,0.0019169745281241843,0.003163007971404904,True,depletion
Alu (family),L1-enriched genes,1051,516,12,29.106698153714042,0.4122762374704047,0.0077170418006430866,0.023255813953488372,0.391333241670104,0.00031839592514108463,0.0005837258627586552,True,depletion
Alu (family),Low-complexity-repeat-enriched genes,1051,2032,67,114.62172606268786,0.5845314173977539,0.022214854111405835,0.06374881065651761,0.5411117317280043,3.099641756075455e-07,9.298925268226366e-07,True,depletion
Alu (family),SINE-enriched genes,1051,1684,273,94.99162730785746,2.8739375009887653,0.11088545897644192,0.2597526165556613,4.021296132663119,1.3484577299051094e-62,4.449910508686861e-61,True,excess
MIR (family),L1-enriched genes,1072,516,12,29.688278231000428,0.40419993057965986,0.007614213197969543,0.023255813953488372,0.3831087151841869,0.00024045654465541284,0.000495941623351789,True,depletion
MIR (family),Low-complexity-repeat-enriched genes,1072,2032,106,116.91197939029627,0.9066650017628394,0.035356904603068715,0.09888059701492537,0.8907227887317282,0.28924872620288733,0.35352622091464003,False,depletion
MIR (family),SINE-enriched genes,1072,1684,45,96.88965221124947,0.46444588222781574,0.016599040944300997,0.04197761194029851,0.42563120339010235,5.961409357622266e-10,2.810378697164782e-09,True,depletion
