set,window_a,window_b,n_a,n_b,n_shared,expected_shared,jaccard,overlap_coefficient,hypergeometric_p
TE_number,5kb,10kb,1431,1431,1146,71.5250087320992,0.6678321678321678,0.80083857442348,0.0
TE_number,10kb,20kb,1431,1431,1213,71.5250087320992,0.7355973317161917,0.8476589797344515,0.0
TE_number,5kb,20kb,1431,1431,1031,71.5250087320992,0.5630802839978154,0.7204751921733054,0.0
LINE,5kb,10kb,1431,1431,1079,71.5250087320992,0.6051598429613012,0.7540181691125087,0.0
LINE,10kb,20kb,1431,1431,1131,71.5250087320992,0.6533795493934142,0.790356394129979,0.0
LINE,5kb,20kb,1431,1431,963,71.5250087320992,0.5071090047393365,0.6729559748427673,0.0
LTR,5kb,10kb,1431,1431,855,71.5250087320992,0.4260089686098655,0.5974842767295597,0.0
LTR,10kb,20kb,1431,1431,925,71.5250087320992,0.4775425916365514,0.6464011180992313,0.0
LTR,5kb,20kb,1431,1431,683,71.5250087320992,0.31344653510784765,0.4772886093640811,0.0
SINE,5kb,10kb,1431,1431,1116,71.5250087320992,0.6391752577319587,0.779874213836478,0.0
SINE,10kb,20kb,1431,1431,1183,71.5250087320992,0.7045860631328171,0.8266946191474493,0.0
SINE,5kb,20kb,1431,1431,983,71.5250087320992,0.5231506120276743,0.686932215234102,0.0
DNA,5kb,10kb,1431,1431,850,71.5250087320992,0.4224652087475149,0.593990216631726,0.0
DNA,10kb,20kb,1431,1431,952,71.5250087320992,0.49842931937172774,0.6652690426275332,0.0
DNA,5kb,20kb,1431,1431,677,71.5250087320992,0.30983981693363843,0.47309573724668064,0.0
Retroposon,5kb,10kb,1431,1431,890,71.5250087320992,0.4513184584178499,0.6219426974143956,0.0
Retroposon,10kb,20kb,1431,1431,769,71.5250087320992,0.36741519350215,0.5373864430468204,0.0
Retroposon,5kb,20kb,1431,1431,408,71.5250087320992,0.16625916870415647,0.2851153039832285,3.5316648794956357e-205
RC,5kb,10kb,1431,1431,1332,71.5250087320992,0.8705882352941177,0.9308176100628931,0.0
RC,10kb,20kb,1431,1431,1206,71.5250087320992,0.7282608695652174,0.8427672955974843,0.0
RC,5kb,20kb,1431,1431,1118,71.5250087320992,0.6410550458715596,0.7812718378756115,0.0
