set,window_a,window_b,n_genes,kendall_tau,ci_lower_2.5,ci_upper_97.5
TE_number,5kb,10kb,28110,0.7420955009476583,0.7379512506465091,0.7461497167580534
TE_number,10kb,20kb,28506,0.777190541847023,0.7737640289589072,0.7810485656441948
TE_number,5kb,20kb,28110,0.60954333920795,0.6041140796706603,0.615207646426687
LINE,5kb,10kb,28110,0.7497875818493258,0.7462227390496463,0.7535902633751446
LINE,10kb,20kb,28506,0.7415257300698769,0.7370548282982413,0.7450841425770389
LINE,5kb,20kb,28110,0.6075525287609449,0.6017805235702712,0.61232119637992
LTR,5kb,10kb,28110,0.6946291170584169,0.6897713915602444,0.7000214070744639
LTR,10kb,20kb,28506,0.6980941308684705,0.6932570904828909,0.7028624176363302
LTR,5kb,20kb,28110,0.5181868216272176,0.512310909323792,0.5254742343666919
SINE,5kb,10kb,28110,0.742585794693445,0.7389086470739564,0.7461026380990705
SINE,10kb,20kb,28506,0.7931670566296865,0.7900070272300039,0.795963390887651
SINE,5kb,20kb,28110,0.6265633627765309,0.6217003309585429,0.6317147769829853
DNA,5kb,10kb,28110,0.669132817628474,0.6635944900879026,0.6754199191308932
DNA,10kb,20kb,28506,0.6789500190535583,0.6743113013018185,0.6844406747528679
DNA,5kb,20kb,28110,0.4819304768446702,0.4746529359408428,0.488392977424656
Retroposon,5kb,10kb,28110,0.6961508891795516,0.672297446600383,0.7149152795071225
Retroposon,10kb,20kb,28506,0.7066073550331265,0.6900162147308615,0.7196472802539329
Retroposon,5kb,20kb,28110,0.4928171617168754,0.47224024839752987,0.5106983656066568
RC,5kb,10kb,28110,0.7330003737991165,0.673719399951217,0.7875303532529656
RC,10kb,20kb,28506,0.6687934317182254,0.6280567951259196,0.7121222518695446
RC,5kb,20kb,28110,0.49195666466092325,0.43940575529876197,0.5461570266384616
