window,class_name,observed_tes,total_tes,observed_or,fisher_p_raw,random_or_mean,random_or_sd,random_or_quantile_of_observed,or_observed_to_random,empirical_p_raw,n_permutations,fisher_p_adjusted,empirical_p_adjusted,significant
5kb,DNA,27179,458177,1.2931405479267588,0.0,1.568362969623374,0.012087522891216897,0.0,0.8245161183812526,0.003992015968063872,500,0.0,0.0048,True
5kb,LINE,105405,1005214,2.403058575036729,0.0,2.9635442104763303,0.012701751301215682,0.0,0.81087319923953,0.003992015968063872,500,0.0,0.0048,True
5kb,LTR,23464,531410,0.9472173381485549,2.754879568367951e-16,1.6736345923282607,0.012057213922781857,0.0,0.5659642448181252,0.003992015968063872,500,3.3058554820415413e-16,0.0048,True
5kb,RC,93,1869,1.0737645388736463,0.5094585102139647,1.5690000845591798,0.18701700082123218,0.002,0.6843623205892478,0.004,500,0.5094585102139647,0.0048,False
5kb,Retroposon,545,6274,1.950686717652342,2.4331248651297686e-42,1.8149443368763032,0.10971960300534281,0.882,1.0747914842444506,0.236,500,3.649687297694653e-42,0.236,True
5kb,SINE,136966,1706485,1.7901788326378538,0.0,1.4475068619702498,0.0057740975018433114,1.0,1.2367325362459296,0.003992015968063872,500,0.0,0.0048,True
10kb,DNA,57684,458177,1.5053547361321549,0.0,1.6051460401668096,0.009813357259648773,0.0,0.9378303895486767,0.003992015968063872,500,0.0,0.003992015968063872,True
10kb,LINE,169930,1005214,2.12680202851148,0.0,2.4255444178446317,0.009384728211337404,0.0,0.876834912964151,0.003992015968063872,500,0.0,0.003992015968063872,True
10kb,LTR,51103,531410,1.1119447497358184,6.305140730914831e-112,1.6667481246535434,0.009895185136313198,0.0,0.6671342437940054,0.003992015968063872,500,7.566168877097797e-112,0.003992015968063872,True
10kb,RC,173,1869,1.0660259906185654,0.41266152618336444,1.6137594996877738,0.1629313008338506,0.0,0.660585416119823,0.003992015968063872,500,0.41266152618336444,0.003992015968063872,False
10kb,Retroposon,1170,6274,2.3956524032152684,9.310337567003153e-133,1.7506958992659638,0.09412519421347317,1.0,1.3684000769178266,0.003992015968063872,500,1.396550635050473e-132,0.003992015968063872,True
10kb,SINE,302480,1706485,2.252910674269425,0.0,1.534615914749547,0.0052791814200445685,1.0,1.468061586365801,0.003992015968063872,500,0.0,0.003992015968063872,True
20kb,DNA,117300,458177,1.8232746548520125,0.0,1.835411813632371,0.010504626302545837,0.118,0.9933872285825934,0.236,500,0.0,0.236,True
20kb,LINE,296734,1005214,2.2196684515926437,0.0,2.40846733467013,0.008813149703496635,0.0,0.9216103617600673,0.003992015968063872,500,0.0,0.004790419161676646,True
20kb,LTR,108792,531410,1.3638912585056688,0.0,1.8786372391861663,0.009549906925713027,0.0,0.7260003315469847,0.003992015968063872,500,0.0,0.004790419161676646,True
20kb,RC,372,1869,1.3165171617233478,3.7184943456377576e-06,1.8394103808001665,0.15319023572776408,0.0,0.7157278090116281,0.003992015968063872,500,3.7184943456377576e-06,0.004790419161676646,True
20kb,Retroposon,2377,6274,3.2315101395898296,0.0,1.9403155207848621,0.09135407174123153,1.0,1.6654560070120328,0.003992015968063872,500,0.0,0.004790419161676646,True
20kb,SINE,631660,1706485,3.1162153506922943,0.0,1.7867119574289632,0.005044004576640927,1.0,1.7441061709669508,0.003992015968063872,500,0.0,0.004790419161676646,True
