category,mouse_symbol,human_symbol,mapping_path,in_our_background
L1-enriched genes,1110012L19Rik,,unmapped,False
L1-enriched genes,1700006A11Rik,,unmapped,False
L1-enriched genes,1700007B14Rik,,unmapped,False
L1-enriched genes,1700007G11Rik,,unmapped,False
L1-enriched genes,1700007K09Rik,,unmapped,False
L1-enriched genes,1700008P02Rik,,unmapped,False
L1-enriched genes,1700017D01Rik,,unmapped,False
L1-enriched genes,1700019D03Rik,,unmapped,False
L1-enriched genes,1700026D08Rik,,unmapped,False
L1-enriched genes,1700029J07Rik,,unmapped,False
L1-enriched genes,1700040F15Rik,,unmapped,False
L1-enriched genes,1700057G04Rik,,unmapped,False
L1-enriched genes,1700080E11Rik,,unmapped,False
L1-enriched genes,1700084M14Rik,,unmapped,False
L1-enriched genes,1810009J06Rik,,unmapped,False
L1-enriched genes,2010106E10Rik,,unmapped,False
L1-enriched genes,2210408I21Rik,KIAA0825,mgi_ortholog,True
L1-enriched genes,2310057J18Rik,C6orf58,mgi_ortholog,True
L1-enriched genes,2310061N02Rik,,unmapped,False
L1-enriched genes,3830403N18Rik,SYCP3,mgi_ortholog,True
L1-enriched genes,42257,,unmapped,False
L1-enriched genes,4921506M07Rik,,unmapped,False
L1-enriched genes,4921511H03Rik,,unmapped,False
L1-enriched genes,4921511M17Rik,,unmapped,False
L1-enriched genes,4930438A08Rik,,unmapped,False
L1-enriched genes,4930447F04Rik,,unmapped,False
L1-enriched genes,4930486L24Rik,,unmapped,False
L1-enriched genes,4930516K23Rik,,unmapped,False
L1-enriched genes,4930533K18Rik,,unmapped,False
L1-enriched genes,4930544G11Rik,,unmapped,False
L1-enriched genes,4930563M21Rik,,unmapped,False
L1-enriched genes,4930595M18Rik,,unmapped,False
L1-enriched genes,4932429P05Rik,,unmapped,False
L1-enriched genes,4933402N22Rik,,unmapped,False
L1-enriched genes,5430401F13Rik,,unmapped,False
L1-enriched genes,5430427O19Rik,,unmapped,False
L1-enriched genes,5530400C23Rik,,unmapped,False
L1-enriched genes,5830411N06Rik,,unmapped,False
L1-enriched genes,9230110F15Rik,,unmapped,False
L1-enriched genes,9430007A20Rik,,unmapped,False
L1-enriched genes,A630010A05Rik,,unmapped,False
L1-enriched genes,A630095E13Rik,,unmapped,False
L1-enriched genes,AI607873,,unmapped,False
L1-enriched genes,Aard,AARD,mgi_ortholog,True
L1-enriched genes,Abca16,,unmapped,False
L1-enriched genes,Abca4,ABCA4,mgi_ortholog,True
L1-enriched genes,Acap2,ACAP2,mgi_ortholog,True
L1-enriched genes,Acnat2,,unmapped,False
