chrom,start,end,window_id,n_l1,mean_l1_divergence,n_young_l1,n_genes
chr14,61115516,61334879,w0,48,155.062,14,0
chr7,117399474,117618837,w1,47,187.0,14,2
chr16,86980889,87200252,w2,39,198.744,5,5
chr12,4647151,4866514,w3,42,182.095,7,5
chr2,71364318,71583681,w4,43,210.721,3,1
chr21,35885661,36105024,w5,45,182.244,12,1
chr13,90652902,90872265,w6,41,162.488,13,0
chr14,58329404,58548767,w7,38,205.421,2,2
chr2,15119821,15339184,w8,31,178.161,7,0
chr7,94070060,94289423,w9,43,182.0,8,2
chr6,141839610,142058973,w10,54,205.815,12,1
chr19,1270338,1489701,w11,21,217.667,1,11
chr11,28601225,28820588,w12,23,219.478,4,1
chr15,84490368,84709731,w13,43,180.023,15,1
chr7,37575190,37794553,w14,58,194.517,10,1
chr3,11651731,11871094,w15,50,197.44,6,2
chr9,108160822,108380185,w16,27,219.333,1,3
chr1,192267693,192487056,w17,48,178.604,11,7
chr15,39764450,39983813,w18,57,201.474,5,5
chr10,97046568,97265931,w19,43,185.628,6,3
chr13,64772900,64992263,w20,47,187.021,15,0
chr5,44817388,45036751,w21,36,158.389,17,0
chr21,18666029,18885392,w22,43,174.233,15,0
chr17,51307698,51527061,w23,24,199.792,1,10
chr14,85762056,85981419,w24,78,187.962,16,1
chr3,48138101,48357464,w25,36,199.861,0,8
chr7,20869269,21088632,w26,36,181.333,10,3
chr1,215513771,215733134,w27,56,204.696,12,1
chr2,230919581,231138944,w28,39,177.923,12,0
chr12,6956378,7175741,w29,25,206.92,4,16
chr13,109071988,109291351,w30,50,192.0,14,1
chr21,33297241,33516604,w31,25,186.28,6,2
chr5,167824623,168043986,w32,27,201.741,6,0
chr6,4263281,4482644,w33,64,184.016,11,2
chr7,151061393,151280756,w34,35,206.8,2,2
chr3,36388790,36608153,w35,51,181.804,14,0
chr2,19193990,19413353,w36,51,175.569,16,2
chr7,138060129,138279492,w37,54,163.185,16,2
chr3,159851828,160071191,w38,32,199.906,8,4
chr11,60366546,60585909,w39,76,180.237,22,5
chr7,135947823,136167186,w40,36,196.417,5,2
chr15,87951774,88171137,w41,37,209.081,3,8
chr12,1226374,1445737,w42,61,195.016,9,0
chr5,11172145,11391508,w43,18,152.833,8,0
chr15,58290629,58509992,w44,18,227.056,1,2
chr15,4206690,4426053,w45,15,291.0,10,0
chr6,109935571,110154934,w46,50,196.04,9,2
chr4,66535614,66754977,w47,51,174.667,23,0
chr12,66990585,67209948,w48,45,187.689,12,2
chr2,222347800,222567163,w49,35,170.086,11,0
chr3,149371010,149590373,w50,54,200.981,15,0
chr1,89301878,89521241,w51,43,160.581,16,4
chr14,91003968,91223331,w52,40,220.275,1,2
chr11,65059422,65278785,w53,41,209.439,1,15
chr12,50674665,50894028,w54,66,189.576,9,3
chr14,94900739,95120102,w55,20,230.05,2,13
chr7,3335283,3554646,w56,56,212.982,7,1
chr9,82684809,82904172,w57,31,171.0,10,0
chr2,227023089,227242452,w58,33,175.0,10,1
chr2,226680687,226900050,w59,49,200.857,6,0
chr11,21034655,21254018,w60,36,186.556,10,0
chr7,131339369,131558732,w61,60,209.317,3,5
chr9,56213512,56432875,w62,0,,0,0
chr14,77746767,77966130,w63,48,207.292,10,0
chr11,642409,861772,w64,30,236.567,0,15
chr9,3743017,3962380,w65,28,202.714,5,1
chr9,31347687,31567050,w66,69,202.174,16,1
chr4,111403385,111622748,w67,44,181.5,11,2
chr1,233453294,233672657,w68,45,178.667,9,2
chr7,130463452,130682815,w69,58,197.707,3,2
chr3,35562292,35781655,w70,32,193.812,10,2
chr6,31903229,32122592,w71,32,190.938,6,17
chr16,85308166,85527529,w72,17,197.471,3,0
chr3,149001540,149220903,w73,54,201.852,9,2
chr1,143508435,143727798,w74,55,202.582,13,4
chr4,9390551,9609914,w75,58,187.879,16,3
chr4,28504499,28723862,w76,33,168.606,14,0
chr11,76969547,77188910,w77,33,173.636,5,4
chr9,127098543,127317906,w78,28,199.071,2,2
chr14,65383368,65602731,w79,40,192.075,2,3
chr11,66725771,66945134,w80,41,199.585,2,6
chr6,157872077,158091440,w81,36,192.361,4,3
chr15,4984501,5203864,w82,0,,0,0
chr2,34483206,34702569,w83,56,170.875,21,1
chr1,57735115,57954478,w84,27,188.815,5,1
chr2,2223220,2442583,w85,52,173.288,17,2
chr12,59190689,59410052,w86,64,201.984,17,0
chr7,62688223,62907586,w87,0,,0,0
chr2,33650866,33870229,w88,43,191.163,8,2
chr8,8378791,8598154,w89,46,199.087,2,6
chr2,19602059,19821422,w90,30,186.267,5,0
chr12,60359528,60578891,w91,67,206.433,13,0
chr7,115474696,115694059,w92,26,185.385,6,0
chr6,24507737,24727100,w93,55,213.945,3,7
chr4,143287938,143507301,w94,26,194.615,3,2
chr10,22701325,22920688,w95,43,188.837,9,1
chr5,104684109,104903472,w96,44,184.705,13,0
chr2,77492444,77711807,w97,46,192.522,14,1
chr2,27896594,28115957,w98,69,175.855,12,4
chr20,49252609,49471972,w99,36,208.056,3,0
chr18,39835998,40055361,w100,27,200.963,6,4
chr12,64159846,64379209,w101,48,145.042,17,3
chr4,91019024,91238387,w102,51,165.569,17,2
chr21,10762978,10982341,w103,14,194.857,5,0
chr14,37917642,38137005,w104,59,193.305,19,0
chr12,78383979,78603342,w105,35,160.629,15,0
chr7,1881054,2100417,w106,47,259.149,0,2
chr4,191925477,192144840,w107,40,188.85,12,1
chr2,21289699,21509062,w108,24,204.708,4,0
chr18,75412499,75631862,w109,24,223.333,0,2
chr7,157179548,157398911,w110,28,195.393,6,0
chr3,195247349,195466712,w111,38,158.5,13,1
chr5,165120278,165339641,w112,37,200.757,9,0
chr9,94412677,94632040,w113,40,180.425,14,0
chr3,57386107,57605470,w114,62,167.71,12,2
chr16,35505682,35725045,w115,43,197.023,17,0
chr13,96347844,96567207,w116,19,158.474,5,2
chr12,26953556,27172919,w117,58,191.345,8,2
chr7,16652809,16872172,w118,53,210.321,8,3
chr10,18210138,18429501,w119,49,169.633,14,1
chr9,138049519,138268882,w120,27,219.259,1,0
chr11,63224465,63443828,w121,86,143.744,53,3
chr1,231507234,231726597,w122,39,185.026,6,0
chr6,101839124,102058487,w123,55,197.164,12,1
chr1,106507706,106727069,w124,43,173.698,16,0
chr8,39257480,39476843,w125,78,182.154,23,4
chr5,61694501,61913864,w126,73,180.356,15,3
chr2,80198207,80417570,w127,21,186.095,6,2
chr2,68032003,68251366,w128,45,195.667,3,3
chr10,20615051,20834414,w129,40,184.95,8,0
chr3,32555879,32775242,w130,59,190.085,9,2
chr19,33358715,33578078,w131,55,206.6,8,1
chr9,104979752,105199115,w132,50,196.56,9,5
chr5,3811294,4030657,w133,38,175.237,13,0
chr10,47981948,48201311,w134,51,218.882,7,1
chr1,71476981,71696344,w135,40,184.575,12,0
chr20,38690460,38909823,w136,41,197.878,1,3
chr7,110200617,110419980,w137,73,176.616,28,1
chr14,73203938,73423301,w138,26,151.231,12,1
chr1,137678213,137897576,w139,0,,0,0
chr8,46147014,46366377,w140,2,42.5,2,0
chr8,137211179,137430542,w141,34,170.941,15,0
chr19,18091171,18310534,w142,14,201.286,0,6
chr9,65432065,65651428,w143,0,,0,0
chr7,104935949,105155312,w144,30,140.833,14,0
chr4,123660474,123879837,w145,47,183.213,13,0
chr5,95569596,95788959,w146,49,144.592,18,1
chr8,35937465,36156828,w147,30,168.2,14,1
chr7,151455198,151674561,w148,56,201.268,9,11
chr1,87525229,87744592,w149,28,200.643,2,0
chr15,69784279,70003642,w150,54,203.148,8,2
chr18,32760592,32979955,w151,41,152.122,14,1
chr2,43924700,44144063,w152,25,200.44,1,1
chr9,30249990,30469353,w153,75,190.253,22,1
chr2,67353489,67572852,w154,42,202.738,11,2
chr11,15614877,15834240,w155,24,232.25,1,1
chr4,124548140,124767503,w156,42,153.476,15,1
chr11,120332746,120552109,w157,33,207.879,1,3
chr13,70486886,70706249,w158,44,199.136,7,0
chr14,78257668,78477031,w159,38,196.789,10,0
chr2,103198617,103417980,w160,37,186.838,8,3
chr18,22722533,22941896,w161,63,170.937,23,0
chr3,40156291,40375654,w162,48,188.25,9,2
chr1,155656796,155876159,w163,16,202.562,1,13
chr9,2704838,2924201,w164,44,195.205,14,2
chr6,20902084,21121447,w165,36,202.111,7,0
chr15,77970944,78190307,w166,55,214.182,6,2
chr15,79606311,79825674,w167,51,199.51,12,0
chr5,125993574,126212937,w168,57,185.018,17,1
chr20,16451622,16670985,w169,51,210.353,6,1
chr4,85796650,86016013,w170,41,180.268,9,2
chr8,20180184,20399547,w171,60,182.25,18,1
