chrom,start,end,score,subfamily_name,family_name,class_name,length
chr9,21144851,21152610,214,L1MC3,L1,LINE,7759
chr9,21145943,21152540,171,L1MA6,L1,LINE,6597
chr9,21151445,21151918,146,MER87B,ERV1,LTR,473
chr9,21151642,21155008,347,L2,L2,LINE,3366
chr9,21152059,21158215,39,L1PA4,L1,LINE,6156
chr9,21152073,21152385,180,AluJb,Alu,SINE,312
chr9,21153095,21153406,108,AluSx,Alu,SINE,311
chr9,21154236,21160540,75,L1MA2,L1,LINE,6304
chr9,21156039,21156359,221,AluJb,Alu,SINE,320
chr9,21156840,21162995,25,L1P1,L1,LINE,6155
chr9,21157998,21164561,174,L1P4e,L1,LINE,6563
chr9,21159571,21166884,268,MER57A-int,ERV1,LTR,7313
chr9,21160226,21160514,217,AluJb,Alu,SINE,288
chr9,21165515,21165837,249,AluJb,Alu,SINE,322
chr9,21168909,21169160,302,MIRb,MIR,SINE,251
chr9,21168932,21175089,174,L1MCb,L1,LINE,6157
chr9,21169149,21175641,238,L1MEf,L1,LINE,6492
chr9,21169471,21169789,179,AluJb,Alu,SINE,318
chr9,21170861,21174243,330,L2,L2,LINE,3382
chr9,21171208,21177368,73,L1PB,L1,LINE,6160
chr9,21171317,21177457,71,L1PB,L1,LINE,6140
chr9,21171705,21172002,106,AluSx,Alu,SINE,297
chr9,21172260,21172573,104,AluSx,Alu,SINE,313
chr9,21173277,21176701,246,L2d,L2,LINE,3424
chr9,21174134,21180282,78,L1P5,L1,LINE,6148
chr9,21176796,21177116,180,AluSx,Alu,SINE,320
chr9,21176855,21180258,336,L2,L2,LINE,3403
chr9,21177159,21183314,91,L1PA6,L1,LINE,6155
chr9,21180414,21187454,159,L1M3,L1,LINE,7040
chr9,21180653,21181682,192,MER106B,hAT-Charlie,DNA,1029
chr9,21181408,21187542,163,L1MB2,L1,LINE,6134
chr9,21183740,21184056,71,AluY,Alu,SINE,316
chr9,21184493,21190793,162,L1MA9,L1,LINE,6300
chr9,21186080,21186356,194,MLT1A0,ERVL-MaLR,LTR,276
chr9,21186624,21186947,101,AluY,Alu,SINE,323
chr9,21187932,21188193,278,MIR,MIR,SINE,261
chr9,21187941,21191364,310,L2a,L2,LINE,3423
chr9,21188942,21196974,219,L1MD3,L1,LINE,8032
chr9,21189043,21192432,353,L2,L2,LINE,3389
chr9,21191430,21191696,192,MER8,TcMar-Tigger,DNA,266
chr9,21193153,21201286,174,L1PREC2,L1,LINE,8133
chr9,21198118,21204273,98,L1PA6,L1,LINE,6155
chr9,21198282,21204181,108,L1PA8,L1,LINE,5899
chr9,21201370,21207515,178,L1M4,L1,LINE,6145
chr9,21201575,21202594,190,MER106B,hAT-Charlie,DNA,1019
chr9,21205215,21213347,180,L1PREC2,L1,LINE,8132
chr9,21210071,21216245,91,L1PA8,L1,LINE,6174
chr9,21211063,21211376,94,AluSz6,Alu,SINE,313
chr9,21211545,21211857,100,AluSc8,Alu,SINE,312
chr9,21211795,21212097,111,Alu,Alu,SINE,302
chr9,21211808,21212120,82,AluSz6,Alu,SINE,312
chr9,21212467,21212737,268,MIR,MIR,SINE,270
chr9,21213197,21219337,98,L1P3,L1,LINE,6140
chr9,21216219,21217235,192,MER106B,hAT-Charlie,DNA,1016
chr9,21216653,21222808,68,L1PA6,L1,LINE,6155
chr9,21217599,21223759,101,L1P3,L1,LINE,6160
chr9,21219908,21226045,188,L1M3,L1,LINE,6137
chr9,21221147,21222164,204,MER106B,hAT-Charlie,DNA,1017
chr9,21223753,21231884,176,L1PREC2,L1,LINE,8131
chr9,21228607,21234483,109,L1PA8,L1,LINE,5876
chr9,21230326,21237246,33,L1PA3,L1,LINE,6920
chr9,21231365,21232382,196,MER106B,hAT-Charlie,DNA,1017
chr9,21231437,21237592,91,L1PA6,L1,LINE,6155
chr9,21232360,21238516,19,L1PA3,L1,LINE,6156
chr9,21234693,21240828,176,L1M3,L1,LINE,6135
chr9,21238018,21238331,70,AluY,Alu,SINE,313
chr9,21238748,21244886,80,L1PA6,L1,LINE,6138
chr9,21238766,21244663,91,L1PA8,L1,LINE,5897
chr9,21240331,21246486,39,L1PA3,L1,LINE,6155
chr9,21241980,21248117,199,L1M3,L1,LINE,6137
chr9,21242217,21243240,199,MER106B,hAT-Charlie,DNA,1023
chr9,21245821,21253942,176,L1PREC2,L1,LINE,8121
chr9,21250434,21256580,103,L1P3,L1,LINE,6146
chr9,21250696,21256868,64,L1PA8,L1,LINE,6172
chr9,21253980,21255312,190,MER106B,hAT-Charlie,DNA,1332
chr9,21254187,21254498,129,AluSg,Alu,SINE,311
chr9,21254240,21261051,245,L1M2c,L1,LINE,6811
chr9,21255221,21262116,152,L1MC,L1,LINE,6895
chr9,21255312,21258730,367,L2,L2,LINE,3418
chr9,21255710,21263422,179,L1MA5A,L1,LINE,7712
chr9,21256346,21262638,98,L1MA3,L1,LINE,6292
chr9,21259180,21265480,150,L1MA4A,L1,LINE,6300
chr9,21259703,21259965,286,MIR,MIR,SINE,262
chr9,21260607,21266760,24,L1PA2,L1,LINE,6153
chr9,21261822,21262131,85,AluY,Alu,SINE,309
chr9,21264587,21264897,120,AluSc,Alu,SINE,310
chr9,21267946,21268204,325,MIRb,MIR,SINE,258
chr9,21268665,21276087,141,MER50,ERV1,LTR,7422
chr9,21269202,21275741,169,L1M4,L1,LINE,6539
chr9,21269690,21276175,143,L1MB2,L1,LINE,6485
chr9,21272523,21272896,95,THE1C,ERVL-MaLR,LTR,373
chr9,21273311,21273629,170,AluSx,Alu,SINE,318
chr9,21273430,21279727,135,L1MA1,L1,LINE,6297
chr9,21274581,21274939,196,MLT1A0,ERVL-MaLR,LTR,358
chr9,21275809,21276120,10,AluYe5,Alu,SINE,311
chr9,21276425,21278475,207,Ricksha_c,MULE-MuDR,DNA,2050
chr9,21276465,21278518,195,Ricksha_c,MULE-MuDR,DNA,2053
chr9,21277251,21277512,278,MIR,MIR,SINE,261
chr9,21277643,21285514,222,L1MC4a,L1,LINE,7871
chr9,21278504,21278937,95,MER57A1,ERV1,LTR,433
chr9,21280064,21280645,136,MER4B,ERV1,LTR,581
chr9,21281839,21282265,183,MER83,ERV1,LTR,426
chr9,21283034,21283297,317,MIRb,MIR,SINE,263
chr9,21283411,21283723,91,AluYk3,Alu,SINE,312
chr9,21283740,21292186,64,L1PA7,L1,LINE,8446
chr9,21286517,21289738,52,L1PA5,L1,LINE,3221
chr9,21288358,21291751,318,L2c,L2,LINE,3393
chr9,21289105,21292522,430,L2,L2,LINE,3417
chr9,21292979,21294006,194,MER106B,hAT-Charlie,DNA,1027
chr9,21294869,21298292,300,L2a,L2,LINE,3423
chr9,21295733,21296147,218,MER31B,ERV1,LTR,414
chr9,21296011,21302738,316,L1M2c,L1,LINE,6727
chr9,21296302,21304285,225,L1MD3,L1,LINE,7983
chr9,21296490,21302793,103,L1MA1,L1,LINE,6303
chr9,21296763,21303410,111,L1MA5A,L1,LINE,6647
chr9,21297470,21303618,154,L1MC,L1,LINE,6148
chr9,21297499,21303004,142,L1MA5A,L1,LINE,5505
chr9,21297857,21301276,358,L2,L2,LINE,3419
chr9,21297947,21304116,99,L1MA3,L1,LINE,6169
chr9,21298662,21298994,135,AluSx,Alu,SINE,332
chr9,21299006,21305161,37,L1PA5,L1,LINE,6155
chr9,21299767,21306544,201,L1MB2,L1,LINE,6777
chr9,21300407,21306565,92,L1PA14,L1,LINE,6158
chr9,21302719,21302793,239,MER75A,PiggyBac,DNA,74
chr9,21302842,21303192,137,MER1B,hAT-Charlie,DNA,350
chr9,21305237,21305595,206,MLT1A0,ERVL-MaLR,LTR,358
chr9,21306821,21308863,186,Ricksha_c,MULE-MuDR,DNA,2042
chr9,21308121,21315990,210,L1MC4a,L1,LINE,7869
chr9,21309091,21317071,161,L1PA15,L1,LINE,7980
chr9,21310912,21313864,212,BLACKJACK,hAT-Blackjack,DNA,2952
chr9,21311433,21317590,28,L1PA4,L1,LINE,6157
chr9,21315751,21319111,371,L2,L2,LINE,3360
chr9,21316984,21317249,196,MIRc,MIR,SINE,265
chr9,21319630,21321001,195,MER106B,hAT-Charlie,DNA,1371
chr9,21320531,21320841,70,AluSc5,Alu,SINE,310
chr9,21321439,21328246,360,L1M2c,L1,LINE,6807
chr9,21322013,21322274,232,MIR,MIR,SINE,261
chr9,21322023,21325447,275,L2a,L2,LINE,3424
chr9,21322871,21323343,199,MER31B,ERV1,LTR,472
chr9,21322989,21329220,136,L1MA5A,L1,LINE,6231
chr9,21324304,21324599,84,AluY,Alu,SINE,295
chr9,21325027,21326085,88,MER11C,ERVK,LTR,1058
chr9,21326456,21332753,134,L1MA4A,L1,LINE,6297
chr9,21326981,21327243,283,MIR,MIR,SINE,262
chr9,21332510,21338693,78,L1PA8,L1,LINE,6183
chr9,21333472,21333780,201,AluJb,Alu,SINE,308
chr9,21334511,21334779,355,MIRb,MIR,SINE,268
chr9,21336169,21336478,131,AluSz6,Alu,SINE,309
chr9,21337045,21340414,337,L2b,L2,LINE,3369
chr9,21338174,21338676,229,MLT1F1,ERVL-MaLR,LTR,502
chr9,21339063,21339378,105,AluSq2,Alu,SINE,315
chr9,21339940,21346015,185,L1ME4c,L1,LINE,6075
chr9,21340807,21346887,250,L1ME4c,L1,LINE,6080
chr9,21342397,21342541,169,FLAM_C,Alu,SINE,144
chr9,21344264,21344598,141,Tigger4b,TcMar-Tigger,DNA,334
chr9,21344822,21345120,171,AluYc3,Alu,SINE,298
chr9,21345416,21352023,237,MER4-int,ERV1,LTR,6607
chr9,21346990,21350799,250,MamRTE1,RTE-BovB,LINE,3809
chr9,21347047,21347629,203,AmnSINE1,5S-Deu-L2,SINE,582
chr9,21349048,21355216,296,L1ME3A,L1,LINE,6168
chr9,21350366,21356498,255,L1ME4b,L1,LINE,6132
chr9,21351477,21351789,89,AluSx3,Alu,SINE,312
chr9,21351845,21352155,220,AluJb,Alu,SINE,310
chr9,21352072,21354610,330,L2c,L2,LINE,2538
chr9,21353233,21361791,98,L1PA10,L1,LINE,8558
chr9,21353867,21354122,362,MIRb,MIR,SINE,255
chr9,21354444,21360591,101,L1P3,L1,LINE,6147
chr9,21354526,21360678,93,L1PA7,L1,LINE,6152
chr9,21354751,21355005,294,MIR,MIR,SINE,254
chr9,21356054,21362200,0,L1P3,L1,LINE,6146
chr9,21362663,21363259,121,LTR43,ERV1,LTR,596
chr9,21365260,21371917,183,L1M3,L1,LINE,6657
chr9,21365282,21366236,216,MER106B,hAT-Charlie,DNA,954
chr9,21367546,21367846,142,AluSx,Alu,SINE,300
chr9,21368297,21368784,125,THE1B,ERVL-MaLR,LTR,487
