chrom,chrom_bp,newly_resolved_bp,fraction_newly_resolved
chrY,62460029,35921578,0.5751130535017843
chr9,150617247,31007873,0.20587199419466218
chr22,51324926,9640618,0.18783501022485644
chr16,96330374,14745029,0.15306728695977034
chr15,99753195,12511137,0.1254209150894866
chr21,45090682,4141237,0.09184241214182566
chr13,113566686,10408838,0.09165397324352671
chr19,61707364,5284726,0.08564173961474031
chr1,248387328,19499288,0.07850355393331498
chr20,66210255,4944225,0.07467461045120578
chr18,80542538,5591941,0.06942841806152172
chr14,101161492,6235569,0.0616397492437142
chr17,84276897,4976871,0.05905379976199171
chr4,193574945,5886432,0.030409059395574152
chr11,135127769,3925828,0.02905271084583658
chr3,201105948,5739076,0.028537574632054145
chr10,134758134,3777254,0.028029877587945822
chr7,160567428,4484086,0.027926498268378567
chr5,182045439,4550147,0.024994567427750827
chr12,133324548,3215922,0.0241210043329755
chrX,154259566,3230131,0.0209395830920463
chr6,172126628,3504514,0.02036009210614409
chr8,146259331,2211466,0.015120170350020267
chr2,242696752,3317853,0.013670776278044298
